"Word","Freq"
"shall",2413
"city",959
"may",783
"code",754
"public",643
"provisions",611
"building",561
"chapter",550
"aberdeen",546
"development",534
"general",511
"property",502
"within",476
"use",472
"area",470
"ord",441
"ch",430
"required",398
"requirements",393
"feet",372
"plan",371
"article",368
"water",354
"person",347
"permit",336
"areas",333
"owner",328
"see",323
"department",322
"-o",301
"provided",292
"parking",289
"following",288
"land",279
"site",278
"director",273
"flood",272
"structure",271
"time",268
"including",265
"will",259
"section",256
"management",253
"district",250
"state",245
"used",245
"amended",241
"lot",239
"violation",239
"construction",233
"council",231
"approved",230
"approval",225
"subject",223
"control",221
"discharge",221
"one",220
"proposed",220
"forest",217
"per",216
"subsection",215
"include",212
"regulations",210
"maryland",207
"residential",207
"minimum",203
"date",199
"upon",199
"stormwater",196
"design",194
"part",194
"notice",193
"uses",193
"facilities",191
"information",191
"system",190
"service",186
"works",186
"necessary",185
"buildings",184
"structures",182
"existing",176
"sign",175
"provide",172
"wastewater",172
"accordance",171
"application",168
"official",167
"days",165
"project",165
"commercial",164
"review",164
"zoning",164
"located",163
"must",163
"standards",162
"mayor",159
"vehicle",156
"board",154
"purpose",153
"sewer",153
"user",153
"planning",152
"street",152
"unit",152
"business",151
"commission",146
"permitted",146
"square",141
"plans",140
"applicable",136
"materials",136
"compliance",133
"order",132
"line",131
"action",130
"unless",128
"floor",127
"note",127
"established",126
"facility",126
"dwelling",125
"employee",125
"local",125
"protection",123
"districts",122
"equipment",121
"prior",121
"subdivision",121
"except",120
"period",120
"limited",119
"sediment",119
"new",118
"art",117
"conservation",117
"year",117
"editor's",115
"fees",115
"height",114
"conditions",113
"location",113
"maintenance",113
"storage",113
"applicant",110
"interest",110
"space",108
"fire",107
"least",107
"preliminary",107
"amendment",106
"office",106
"designed",104
"natural",104
"signs",104
"municipal",103
"purposes",103
"annotated",102
"traffic",102
"enforcement",101
"special",101
"taxicab",101
"specified",100
"treatment",100
"community",99
"county",98
"final",98
"open",98
"premises",98
"streets",98
"issued",97
"added",96
"agreement",96
"base",96
"erosion",96
"individual",96
"industrial",96
"place",96
"safety",96
"offense",95
"park",95
"two",95
"without",95
"appropriate",94
"private",94
"designated",93
"inspection",93
"maintained",93
"grading",92
"hazard",92
"set",92
"require",91
"waste",91
"access",90
"number",90
"way",90
"authorized",88
"deemed",88
"adjacent",87
"adoption",87
"condition",87
"activity",86
"exceed",86
"effective",84
"manner",84
"report",84
"vehicles",84
"home",83
"map",83
"violations",83
"address",82
"adopted",82
"road",82
"whether",82
"available",81
"law",81
"request",81
"account",80
"agency",80
"pretreatment",80
"work",80
"apply",79
"connection",79
"systems",79
"comply",78
"floodplain",78
"health",78
"meet",78
"practices",78
"day",77
"reasonable",77
"tod",77
"activities",76
"amount",76
"cause",76
"permits",76
"surface",76
"yard",76
"zone",76
"persons",75
"determined",74
"statement",74
"units",74
"charges",73
"developer",73
"elevation",73
"less",73
"made",73
"penalties",73
"prevent",73
"principal",73
"addition",72
"administrator",72
"includes",72
"manager",72
"members",72
"overlay",72
"properties",72
"provision",72
"utility",72
"frontage",71
"hearing",71
"manual",71
"repair",71
"esd",70
"first",70
"submitted",70
"terms",70
"three",70
"written",70
"determine",69
"afforestation",68
"associated",68
"material",68
"officials",68
"police",68
"reforestation",68
"responsible",68
"services",68
"standard",68
"rear",67
"side",67
"trees",67
"committee",66
"fee",66
"otherwise",66
"pursuant",66
"thereof",66
"event",65
"front",65
"greater",65
"portion",65
"r-",65
"specific",65
"years",64
"additional",63
"harford",63
"act",62
"considered",62
"either",62
"establishment",62
"five",62
"procedures",62
"said",62
"also",61
"authority",61
"capacity",61
"city's",61
"filed",61
"form",61
"improvements",61
"issuance",61
"license",61
"operation",61
"parcel",61
"sanitary",61
"size",61
"another",60
"federal",60
"forth",60
"housing",60
"program",60
"submit",60
"extension",59
"ordinance",59
"structural",59
"tax",59
"term",59
"variance",59
"costs",58
"duties",58
"every",58
"gross",58
"identity",58
"prohibited",58
"spaces",58
"tenant",58
"disposal",57
"intended",57
"make",57
"maximum",57
"permanent",57
"resources",57
"temporary",57
"covered",56
"defined",56
"ethics",56
"financial",56
"good",56
"member",56
"take",56
"adequate",55
"administration",55
"change",55
"court",55
"damage",55
"file",55
"granted",55
"potw",55
"type",55
"current",54
"environmental",54
"improvement",54
"rules",54
"similar",54
"stand",54
"accessory",53
"annexation",53
"cost",53
"decision",53
"description",53
"licensed",53
"payment",53
"personal",53
"placed",53
"waters",53
"amendments",52
"charge",52
"lines",52
"owners",52
"rate",52
"title",52
"total",52
"certificate",51
"failure",51
"flow",51
"name",51
"owned",51
"parks",51
