"Word","Freq"
"shall",2749
"city",1532
"sec",1346
"use",865
"may",749
"public",722
"code",691
"article",663
"permit",636
"land",628
"building",597
"section",580
"feet",511
"zoning",500
"within",497
"means",491
"required",482
"council",440
"property",438
"lot",383
"ordinance",377
"district",355
"structure",332
"administrator",331
"water",322
"permitted",321
"area",319
"must",313
"time",313
"ord",297
"street",296
"plan",288
"uses",288
"proposed",286
"provided",282
"will",282
"state",271
"following",266
"application",263
"afton",259
"subdivision",257
"commission",254
"person",254
"one",252
"structures",250
"flood",248
"standards",248
"upon",246
"areas",238
"construction",237
"site",237
"provisions",236
"system",236
"requirements",230
"existing",227
"license",227
"including",226
"used",223
"development",220
"facilities",220
"cd12",215
"applicant",214
"company",210
"except",208
"fee",208
"owner",203
"buildings",191
"regulations",190
"days",189
"reserved",189
"sign",187
"chapter",184
"soil",183
"minimum",182
"residential",182
"purpose",181
"treatment",181
"way",179
"natural",178
"conditional",177
"parking",176
"conditions",174
"new",170
"planning",169
"less",166
"include",165
"located",165
"notice",163
"sewage",163
"division",162
"signs",162
"business",161
"design",160
"general",160
"agricultural",159
"reference",159
"systems",159
"permits",155
"control",154
"issued",154
"streets",153
"premises",152
"service",151
"approved",148
"line",148
"secs",148
"percent",145
"plat",145
"review",145
"necessary",144
"official",143
"least",142
"approval",141
"date",141
"accessory",140
"animal",140
"location",139
"lots",139
"county",138
"prior",136
"subject",135
"exceed",133
"made",133
"districts",132
"dwelling",130
"parcel",130
"surface",130
"violation",130
"access",128
"commercial",127
"storage",127
"two",127
"period",126
"solar",126
"unless",126
"part",124
"provide",120
"cross",119
"preservation",118
"require",116
"administrative",115
"set",115
"safety",114
"setback",114
"materials",112
"size",112
"allowed",111
"per",111
"energy",110
"ground",110
"height",110
"minnesota",110
"vehicle",110
"adjacent",109
"acres",108
"hearing",108
"maximum",108
"square",108
"industrial",107
"operation",107
"purposes",107
"unit",107
"law",106
"private",105
"variance",104
"final",103
"also",102
"defined",102
"designated",102
"without",102
"work",102
"fire",98
"accordance",97
"lines",97
"open",96
