"Word","Freq"
"shall",10171
"city",5862
"code",4923
"passed",4531
"ord",4524
"may",2561
"chapter",2483
"public",2436
"permit",2271
"person",1798
"building",1723
"required",1603
"property",1562
"council",1445
"within",1418
"section",1415
"upon",1355
"use",1324
"provisions",1289
"director",1234
"time",1205
"provided",1184
"application",1136
"feet",1097
"notice",1078
"service",1036
"business",1017
"following",942
"area",891
"water",890
"penalty",868
"parking",863
"development",844
"one",836
"street",815
"pursuant",795
"license",792
"services",778
"days",766
"hearing",754
"see",751
"state",749
"purpose",741
"applicant",736
"department",721
"lot",710
"title",707
"owner",679
"used",668
"fire",665
"date",663
"work",659
"including",653
"alhambra",646
"general",644
"thereof",644
"official",640
"violation",622
"made",617
"facilities",608
"requirements",601
"regulations",598
"subject",594
"sign",593
"proposed",592
"plan",588
"approved",587
"district",586
"set",575
"standards",575
"will",575
"place",574
"amount",570
"officer",565
"fee",557
"signs",549
"permitted",548
"police",548
"facility",546
"vehicle",546
"except",541
"manager",539
"approval",538
"issued",537
"health",536
"office",522
"system",518
"commission",512
"tax",505
"authorized",501
"means",498
"premises",492
"construction",486
"period",481
"without",472
"include",470
"conditions",468
"safety",463
"written",459
"cal",456
"structure",456
"unless",456
"located",449
"applicable",448
"equipment",443
"board",442
"must",440
"minimum",438
"persons",438
"division",437
"residential",437
"county",431
"waste",429
"finance",428
"necessary",428
"map",425
"resolution",425
"franchise",420
"provide",415
"fees",413
"manner",410
"appeal",409
"design",407
"law",407
"california",406
"ordinance",405
"zone",405
"prior",401
"review",400
"cause",398
"forth",394
"number",394
"part",393
"information",391
"sale",385
"less",381
"order",379
"act",378
"establishment",376
"first",375
"location",373
"municipal",373
"purposes",372
"otherwise",369
"employee",367
"existing",367
"land",367
"areas",366
"year",366
"additional",365
"apply",363
"commercial",363
"action",362
"established",361
"limited",361
"uses",351
"unlawful",350
"hereby",349
"assessment",343
"inspection",339
"report",338
"square",338
"whether",336
"chief",335
"specified",334
"line",333
"deemed",332
"maximum",332
"permits",332
"planning",332
"amended",331
"control",331
"per",331
"sewer",327
"accordance",326
"every",326
"two",325
"special",323
"works",323
"defined",322
"hours",322
"nuisance",321
"herein",320
"request",320
"compliance",319
"prohibited",319
"name",314
"decision",313
"engineer",311
"operation",311
"wireless",311
"streets",310
"administrative",309
"definitions",306
"said",306
"make",305
"structures",305
"form",304
"designated",303
"day",302
"least",299
"address",298
"removal",298
"new",295
"way",294
"paid",292
"costs",291
"employees",291
"payment",291
"authority",290
"vehicles",289
"issuance",288
"writing",288
"real",286
"maintenance",285
"private",285
"statement",285
"election",283
"rules",282
"buildings",281
"parcel",281
"massage",280
"ordinances",280
"frontage",275
"also",274
"grantee",273
"require",272
"project",271
"site",271
"ten",270
"filed",269
"emergency",267
"portion",266
"exceed",263
"height",263
"conduct",262
"five",259
"material",259
"record",259
"addition",258
"connection",256
"enforcement",256
"collection",254
"temporary",254
"final",253
"reasonable",252
"right",252
"access",251
"fund",248
"materials",248
"members",248
"cost",247
"permittee",247
"charter",246
"either",246
"specific",245
"unit",245
"maintained",244
"responsible",244
"abatement",243
"held",243
"sec",239
"similar",238
"device",237
"bonds",236
"condition",236
"granted",236
"industrial",233
"pay",233
"comply",230
"term",230
"duties",229
"filing",229
"adopted",228
"certificate",228
"committee",228
"effect",228
"event",228
"space",228
"plans",226
"given",223
"laws",221
"officers",219
"interest",218
"open",218
"three",218
"personnel",217
"solid",217
"utility",217
"clerk",216
"imposed",216
"years",214
"adult",212
"devices",211
"provision",211
"annual",208
"effective",208
"civil",207
"failure",207
"copy",205
"procedures",204
"total",202
"zoning",201
"article",200
"change",199
"file",198
"case",197
"agency",195
"evidence",195
"motor",195
"charge",194
"et",194
"hazardous",193
"seq",193
"installation",192
"city's",191
"units",191
