"Word","Freq"
"shall",4768
"city",4045
"section",1745
"article",1386
"building",1356
"may",1352
"chapter",1340
"use",1161
"feet",1094
"public",1049
"property",980
"code",945
"anoka",923
"council",794
"permit",771
"within",756
"license",746
"district",726
"means",722
"person",680
"following",679
"area",645
"must",622
"permitted",618
"required",618
"uses",611
"street",597
"parking",591
"state",536
"division",524
"upon",520
"lot",519
"owner",516
"residential",506
"one",502
"application",491
"areas",480
"land",469
"business",465
"dwelling",464
"development",456
"will",452
"provided",450
"time",436
"including",435
"structure",432
"used",431
"materials",419
"site",401
"unit",394
"facilities",393
"standards",387
"commission",380
"plan",377
"water",374
"buildings",372
"proposed",369
"requirements",368
"way",365
"located",346
"sign",344
"signs",341
"less",338
"minimum",320
"purpose",319
"regulations",311
"premises",309
"planning",306
"approved",303
"applicant",302
"park",299
"provisions",295
"zoning",295
"structures",292
"days",290
"line",287
"existing",275
"height",274
"square",272
"least",271
"minn",270
"yard",270
"general",269
"violation",267
"equipment",266
"right-of",266
"unless",266
"side",260
"ordinance",259
"two",259
"vehicle",259
"space",258
"except",257
"provide",253
"service",253
"approval",252
"accessory",250
"location",249
"prohibited",248
"home",247
"law",244
"safety",244
"minnesota",243
"conditions",240
"flood",240
"include",240
"storage",237
"front",236
"licensed",236
"construction",235
"streets",230
"stats",229
"hearing",228
"fee",227
"part",227
"design",224
"issued",224
"department",223
"commercial",220
"adjacent",219
"special",219
"information",218
"exterior",217
"necessary",217
"surface",217
"made",215
"codoe",208
"lots",208
"persons",208
"plat",207
"set",207
"compliance",205
"date",205
"control",204
"exceed",203
"vehicles",203
"allowed",200
"conditional",200
"limited",198
"traffic",196
"private",193
"similar",192
"new",191
"period",190
"system",190
"health",188
"percent",188
"place",187
"purposes",187
"width",184
"open",182
"established",180
"police",180
"subject",179
"notice",178
"sale",178
"districts",177
"event",177
"every",176
"ten",176
"thereof",176
"order",174
"rear",173
"number",171
"without",171
"material",170
"facility",169
"otherwise",168
"services",167
"prior",166
"work",166
"condition",164
"reference",164
"industrial",163
"main",163
"floor",162
"licensee",162
"subdivision",161
"maintenance",160
"manner",160
"per",159
"designed",158
"trees",158
"lines",157
"interim",155
"apply",154
"five",154
"liquor",154
"designated",153
"determined",153
"forth",153
"family",152
"conduct",149
"three",148
"fire",147
"architectural",146
"river",146
"statutes",146
"along",144
"defined",144
"page",144
"foot",142
"year",142
"maintained",141
"operation",141
"comply",140
"temporary",140
"ground",139
"appropriate",137
"planned",137
"official",136
"amount",135
"establishment",134
"granted",133
"principal",133
"specified",132
"lighting",131
"reserved",131
"subd",131
"subsection",131
"activities",130
"additional",130
"applicable",130
"access",129
"constructed",128
"costs",128
"review",128
"reasonable",127
"require",127
"sections",127
"single",127
"intended",126
"follows",125
"maximum",125
"setback",125
"spaces",124
"community",123
"misdemeanor",123
"sewer",123
"officer",122
