"Word","Freq"
"shall",4834
"city",2441
"may",1193
"public",1172
"development",1114
"property",837
"within",820
"code",797
"required",784
"prior",747
"use",733
"ye",690
"ord",669
"vol",669
"passed",654
"article",653
"street",653
"person",648
"building",644
"permit",616
"chapter",605
"zoning",596
"council",589
"construction",576
"area",531
"per",525
"following",509
"plan",499
"approved",468
"business",467
"facilities",455
"requirements",455
"land",448
"feet",445
"services",442
"fee",440
"minimum",434
"provided",430
"section",429
"lot",428
"apache",414
"water",408
"junction",407
"will",398
"department",394
"see",393
"approval",392
"license",385
"fees",380
"provisions",370
"upon",368
"including",367
"time",366
"state",365
"regulations",363
"engineer",361
"proposed",358
"design",345
"way",343
"existing",337
"streets",336
"subject",332
"ch",329
"must",326
"structure",323
"notice",321
"residential",320
"days",317
"licensee",317
"provide",317
"used",315
"accordance",314
"owner",314
"service",314
"application",311
"director",310
"arizona",308
"areas",306
"general",303
"parking",303
"drainage",299
"manager",294
"cu",293
"plans",293
"vehicle",292
"standards",287
"date",280
"type",276
"site",271
"subdivision",269
"system",269
"include",261
"sign",260
"ft",258
"unless",257
"plat",255
"private",252
"review",249
"district",246
"structures",246
"improvements",244
"final",242
"location",241
"purpose",239
"applicant",232
"control",232
"access",230
"line",227
"traffic",226
"standard",225
"located",223
"unit",223
"number",221
"flood",220
"set",217
"office",214
"violation",214
"allowed",213
"hearing",213
"signs",213
"commercial",212
"applicable",211
"court",211
"except",211
"issued",209
"conditions",208
"new",206
"right-of",204
"agreement",203
"animal",203
"necessary",203
"apply",199
"pursuant",199
"special",198
"park",197
"permitted",196
"uses",195
"home",191
"division",189
"legal",184
"event",183
"document",182
"maximum",182
"without",182
"cost",179
"less",179
"place",179
"shown",179
"limited",178
"penalty",178
"utility",177
"work",177
"period",176
"report",176
"made",175
"side",175
"clerk",172
"facility",170
"size",170
"commission",169
"ordinance",169
"designee",168
"forth",168
"accessory",167
"authorized",167
"administrator",166
"information",166
"part",165
"written",165
"county",164
"project",164
"safety",164
"request",163
"comply",162
"map",162
"otherwise",162
"temporary",162
"thereof",162
