"Word","Freq"
"shall",4708
"city",2553
"ord",2150
"eff",1656
"sec",1468
"may",1294
"permit",1125
"chapter",1067
"public",975
"section",907
"person",882
"use",774
"property",739
"within",687
"mean",680
"provisions",621
"required",612
"council",594
"code",593
"upon",566
"article",565
"vehicle",541
"provided",512
"one",495
"time",492
"notice",489
"area",443
"service",443
"business",427
"owner",426
"tax",412
"manager",409
"pursuant",396
"application",380
"including",360
"following",357
"building",352
"will",351
"development",347
"applicant",341
"days",341
"unit",331
"used",325
"july",316
"water",312
"set",311
"violation",311
"place",304
"state",304
"lot",303
"requirements",300
"hearing",294
"thereof",292
"avalon",284
"license",284
"permits",284
"commission",283
"amount",280
"made",278
"proposed",275
"date",274
"street",273
"director",271
"except",271
"conditions",270
"structure",269
"issued",268
"subject",268
"prior",267
"otherwise",258
"amended",257
"ordinance",257
"forth",251
"facilities",249
"december",246
"event",244
"land",244
"period",242
"permitted",237
"include",233
"feet",232
"applicable",231
"control",227
"march",224
"private",224
"purpose",222
"title",222
"construction",221
"authorized",220
"project",219
"standards",219
"safety",218
"written",218
"parking",216
"unless",215
"officer",213
"traffic",212
"necessary",210
"system",208
"housing",207
"sewer",207
"limited",206
"special",204
"planning",200
"without",200
"order",199
"approval",198
"clerkbase",198
"persons",198
"employee",197
"units",197
"department",194
"said",192
"harbor",191
"regulations",190
"two",190
"number",188
"plan",188
"year",187
"areas",186
"provide",185
"services",185
"commercial",182
"part",182
"percent",181
"action",180
"health",180
"hundred",179
"franchise",178
"less",178
"government",177
"fire",176
"purposes",176
"emergency",174
"information",174
"approved",173
"january",173
"fees",171
"day",170
"waste",169
"cause",168
"general",168
"appeal",167
"flood",166
"dollars",165
"effective",165
"food",165
"new",165
"fee",164
"residential",164
"line",163
"location",162
"additional",159
"sign",159
"existing",158
"hereby",157
"signs",156
"zone",156
"california",155
"structures",154
"vessel",153
"accordance",150
"parcel",150
"works",150
"compliance",149
"site",148
"whether",146
"costs",145
"law",145
"animal",144
"located",144
"must",144
"april",143
"unlawful",143
"uses",143
"agreement",142
"october",142
"apply",141
"conditional",141
"enforcement",141
"equipment",141
"work",141
"five",139
"resolution",139
"specified",139
"herein",138
"nuisance",138
"streets",137
"deemed",136
"ten",136
"addition",135
"defined",135
"manner",135
"per",135
"available",134
"condition",134
"established",134
"map",134
"rental",134
"require",134
"first",133
"county",132
"temporary",132
"vehicles",132
"cost",131
"three",131
"finance",130
"exceed",129
"granted",129
"minimum",128
"income",127
"charge",126
"due",126
"june",126
"premises",126
"report",126
"organization",125
"original",125
"paid",125
"portion",125
"provision",125
"request",125
"decision",124
"variance",124
"maintenance",123
"hours",122
"claim",121
"determined",121
"make",121
"transient",121
"adopted",120
"local",120
"operation",120
"right",120
"operator",119
"dog",118
"administrative",117
"comply",117
"designated",117
"november",117
"repair",117
"mooring",115
"subsection",115
"thirty",115
"discharge",114
"management",114
"space",114
"payment",112
"published",112
"terms",112
"inspection",111
"maintain",111
"reasonable",111
"either",110
"materials",110
"maximum",110
"similar",110
"grease",109
"dwelling",108
"performance",108
"clerk",107
"interest",107
"name",107
"september",107
"100ths",106
"least",106
"years",106
"also",105
"appropriate",105
"filed",105
"imposed",105
"removal",104
"official",103
"separate",103
"connection",102
"every",102
"pay",102
"city's",101
"franchisee",101
"result",101
"sections",101
"address",98
"avenue",98
"occupancy",98
"penalties",98
"way",98
"facility",97
"master",97
"size",97
"collection",96
"months",96
"authority",95
"definitions",95
"employees",95
"placed",95
"procedures",95
"review",95
"agency",94
"conduct",94
"municipal",94
"statement",94
"waters",94
"welfare",94
"device",93
"engineer",93
"rate",93
"violations",93
"activities",92
"case",92
"permittee",92
"determine",91
"laws",91
"surface",91
"fifty",90
"issuance",90
"six",90
"term",90
"fine",89
"insurance",89
"august",88
"act",87
"charges",87
"gross",87
"thousand",86
"activity",85
"maintained",85
"taxes",85
"adjacent",84
"agent",84
"change",84
"installation",83
"remove",83
"zoning",83
"collected",82
"court",82
"failure",82
"penalty",82
"writing",82
"buildings",81
"coastal",81
"prohibited",81
"revocation",81
"rules",81
"sale",81
"subdivision",81
"utility",81
"determination",80
"follows",80
"square",80
"storage",80
"constitute",79
"office",79
"shelter",79
"however",78
"abatement",77
"final",77
"inclusionary",77
"access",76
"floor",76
"owned",76
"owners",76
"program",76
"solid",76
"damage",75
"february",75
"findings",75
"given",75
"height",75
"means",75
"minor",75
"open",75
"projects",75
"civil",74
"federal",74
"loading",74
"registered",74
"whenever",74
"effect",73
"held",73
"month",73
"single",73
"autoette",72
"division",72
"hotel",72
"file",71
"nature",71
"basis",70
"home",70
"improvement",70
"intent",70
"landscape",70
"lots",70
"sidewalk",70
"designed",69
"form",69
"material",69
"alley",68
"duties",68
"duty",68
"grant",68
"holder",68
"interior",68
"legal",68
"responsible",68
"times",68
"vessels",68
"width",68
"corporation",67
"length",67
"events",66
"household",66
"issue",66
"road",66
"annual",65
"become",65
"can",65
"family",65
"jurisdiction",65
"misdemeanor",65
"real",65
"relating",65
"sanitary",65
"side",65
"base",64
"community",64
"contained",64
"good",64
"personal",64
"plans",64
"punishable",64
"individual",63
"room",63
"administrator",62
"contractor",62
"entity",62
"park",62
"records",62
"common",61
"establishment",61
"grantee",61
"limits",61
"power",61
"complete",60
"conducted",60
"considered",60
"contain",60
"deposit",60
"design",60
"immediately",60
"operate",60
"removed",60
"requested",60
"specific",60
"businesses",59
"certain",59
"contract",59
"filing",59
"inches",59
"providing",59
"substantial",59
"prescribed",58
"based",57
"beach",57
"consistent",57
"described",57
"evidence",57
"installed",57
"licensed",57
"officers",57
"ownership",57
"salt",57
"states",57
"created",56
"discretion",56
"full",56
"meet",56
"obtain",56
"obtained",56
"rates",56
"submitted",56
"transportation",56
"zones",56
"matter",55
"ordinances",55
"possession",55
"receipt",55
"received",55
"television",55
"thereto",55
"words",55
"disposal",54
"expiration",54
"granting",54
"hazard",54
"includes",54
"prevent",54
"residence",54
"sales",54
"sufficient",54
"affordable",53
"constructed",53
"equal",53
"give",53
"members",53
"motor",53
"occupant",53
"passengers",53
"transfer",53
"united",53
"approve",52
"determines",52
"directly",52
"fifteen",52
"level",52
"los",52
"making",52
"perform",52
"police",52
"utilities",52
"allow",51
"angeles",51
"lines",51
"nonconforming",51
"principal",51
"rights",51
"telephone",51
"type",51
"adoption",50
"applications",50
"assessment",50
"conversion",50
"copy",50
"density",50
"floodplain",50
"modification",50
"receipts",50
"right-of",50
"attorney",49
"certified",49
"extent",49
"four",49
"posted",49
"quality",49
"record",49
"restrictions",49
"taken",49
"therefor",49
"total",49
"circumstances",48
"crescent",48
"description",48
"exceeding",48
"mail",48
"places",48
"policy",48
"remain",48
"representative",48
"security",48
"twelve",48
"twenty",48
"user",48
"using",48
"value",48
"collect",47
"low",47
"operative",47
"protect",47
"regarding",47
"requirement",47
"association",46
"front",46
"hazardous",46
"impact",46
"meeting",46
"natural",46
"notify",46
"operations",46
"outdoor",46
"plumbing",46
"policies",46
"practices",46
"reasonably",46
"sound",46
"adequate",45
"another",45
"bond",45
"citation",45
"consideration",45
"employment",45
"interceptor",45
"lateral",45
"lien",45
"operating",45
"tentative",45
"time-share",45
"accessory",44
"actions",44
"cable",44
"charged",44
"elevation",44
"improvements",44
"intended",44
"keep",44
"money",44
"offense",44
"parts",44
"portions",44
"repairs",44
"replacement",44
"residents",44
"shown",44
"submit",44
"take",44
"advertising",43
"along",43
"alteration",43
"appear",43
"board",43
"current",43
"electrical",43
"encroachment",43
"entitled",43
"greater",43
"hold",43
"outside",43
"poles",43
"source",43
"systems",43
"allowed",42
"attached",42
"boat",42
"changes",42
"containing",42
"establish",42
"fails",42
"house",42
"intersection",42
"notwithstanding",42
"process",42
"receive",42
"rent",42
"together",42
"whose",42
"applicant's",41
"catalina",41
"criteria",41
"district",41
"ensure",41
"financial",41
"fund",41
"operated",41
"performed",41
"performer",41
"purchase",41
"reference",41
"continue",40
"firm",40
"guidelines",40
"guilty",40
"high",40
"liability",40
"limitations",40
"moderate",40
"need",40
"phrases",40
"plus",40
"properties",40
"qualified",40
"recognized",40
"recyclables",40
"resident",40
"responsibility",40
"small",40
"abate",39
"accommodation",39
"applied",39
"authorize",39
"bicycle",39
"calendar",39
"delivery",39
"devices",39
"direct",39
"enter",39
"member",39
"note",39
"obtaining",39
"permanent",39
"point",39
"present",39
"proper",39
"refuse",39
"reserved",39
"served",39
"completed",38
"congregate",38
"excess",38
"finds",38
"flow",38
"found",38
"licensee",38
"limit",38
"off-street",38
"receiving",38
"roof",38
"suspension",38
"termination",38
"antenna",37
"completion",37
"construed",37
"create",37
"denial",37
"designee",37
"eighty",37
"exh",37
"extension",37
"fixed",37
"kind",37
"known",37
"lowest",37
"multiple",37
"permission",37
"reason",37
"regular",37
"reports",37
"sixty",37
"tenant",37
"valid",37
"walls",37
"abandoned",36
"associated",36
"boats",36
"certificate",36
"credit",36
"declared",36
"energy",36
"expenses",36
"highway",36
"identification",36
"long",36
"marijuana",36
"payable",36
"procedure",36
"relations",36
"renewal",36
"revenue",36
"stop",36
"story",36
"wall",36
"affected",35
"bingo",35
"capacity",35
"chief",35
"excavation",35
"exempt",35
"fail",35
"forms",35
"funds",35
"increase",35
"injury",35
"powers",35
"regulation",35
"repealed",35
"serve",35
"specifically",35
"substantially",35
"truck",35
"age",34
"distance",34
"exclusive",34
"factors",34
"foot",34
"free",34
"lease",34
"manufactured",34
"notices",34
"parcels",34
"physical",34
"prepared",34
"properly",34
"protection",34
"receptacle",34
"recorded",34
"related",34
"setback",34
"thereafter",34
"beyond",33
"discharged",33
"documents",33
"game",33
"immediate",33
"infraction",33
"medical",33
"overhead",33
"provides",33
"revoked",33
"second",33
"sewage",33
"structural",33
"subsequent",33
"thereon",33
"trash",33
"underground",33
"average",32
"best",32
"consecutive",32
"coverage",32
"curb",32
"editor's",32
"fowl",32
"landscaped",32
"last",32
"later",32
"market",32
"party",32
"proof",32
"reasons",32
"recreational",32
"remedies",32
"safe",32
"seven",32
"showing",32
"storm",32
"yard",32
"affect",31
"appeals",31
"boundaries",31
"cease",31
"definition",31
"discharges",31
"distribution",31
"erosion",31
"finding",31
"fourteen",31
"freight",31
"impose",31
"incurred",31
"noise",31
"occupants",31
"previously",31
"requires",31
"solicitation",31
"care",30
"connected",30
"continued",30
"determining",30
"directed",30
"enforce",30
"establishments",30
