"Word","Freq"
"city",7330
"ord",7226
"shall",6706
"member",6549
"art",6257
"subtitle",4001
"code",3907
"retirement",3746
"may",3481
"baltimore",3049
"service",2899
"board",2820
"system",2453
"benefit",2304
"benefits",1983
"must",1881
"section",1859
"provided",1815
"person",1712
"director",1635
"general",1625
"subsection",1620
"property",1586
"date",1561
"public",1487
"within",1487
"year",1423
"street",1409
"feet",1397
"beneficiary",1395
"means",1349
"parking",1310
"required",1308
"death",1245
"use",1222
"time",1220
"plan",1186
"said",1181
"paragraph",1151
"district",1133
"article",1115
"paid",1114
"trustees",1101
"following",1090
"amount",1084
"years",1070
"part",1063
"credit",1035
"class",1025
"area",1024
"compensation",1022
"period",1020
"regulations",1009
"department",984
"employment",980
"subject",960
"tax",954
"zoning",953
"days",942
"vehicle",937
"receive",936
"retired",930
"provisions",912
"application",909
"made",894
"disability",887
"employee",849
"fund",821
"payment",804
"state",801
"line",798
"contributions",792
"notice",782
"authority",774
"rules",769
"members",761
"designated",757
"license",744
"will",742
"june",736
"interest",731
"reserved",725
"per",718
"drop",715
"hearing",694
"effective",688
"owner",683
"requirements",674
"commissioner",671
"development",669
"uses",658
"allowance",656
"pension",650
"cb",646
"permit",646
"eligible",645
"used",644
"business",639
"employees",638
"upon",636
"less",634
"otherwise",632
"1st",613
"including",613
"spouse",610
"payable",605
"police",602
"lot",592
"authorized",590
"day",587
"penalties",585
"duty",580
"accordance",572
"equal",564
"mayor",564
"age",562
"without",559
"least",557
"council",555
"entitled",555
"prohibited",552
"building",549
"standards",547
"july",542
"maximum",542
"annual",539
"purpose",538
"residential",538
"review",536
"housing",535
"except",533
"account",532
"surviving",529
"increase",527
"services",523
"finance",517
"ordinance",515
"transportation",515
"annuity",508
"systems",508
"law",502
"signs",497
"sign",496
"include",495
"final",492
"number",488
"set",487
"applicable",478
"center",478
"payments",477
"prior",477
"facility",475
"maryland",475
"apply",474
"fee",474
"violation",470
"dwelling",455
"title",455
"child",454
"total",451
"defined",447
"provide",447
"pay",446
"thence",445
"estimates",443
"receiving",441
"approval",440
"districts",440
"court",437
"running",433
"terms",432
"order",422
"streets",422
"minor",421
"purposes",417
"definitions",416
"determined",416
"approved",414
"funds",412
"persons",412
"establishment",411
"minimum",411
"structure",406
"areas",402
"rate",396
"elected",395
"imposed",393
"reserve",392
"enforcement",390
"commission",388
"form",388
"facilities",384
"unit",382
"written",379
"line-of",378
"thereof",376
"whether",373
"avenue",371
"average",370
"first",370
"place",369
"investment",368
"described",366
"fine",366
"necessary",361
"manner",360
"however",357
"accumulated",353
"additional",351
"value",351
"unless",349
"information",348
"provision",347
"immediately",346
"election",344
"vehicles",344
"full",342
"forth",340
"yard",337
"subparagraph",336
"new",335
"dies",334
"commercial",331
"located",329
"permitted",327
"renewal",326
"fiscal",324
"side",324
"addition",323
"traffic",322
"either",321
"work",321
"proposed",320
"office",317
"conduct",316
"way",316
"established",315
"conditions",314
"effect",312
"contribution",311
"transfer",310
"alley",309
