"Word","Freq"
"shall",3966
"town",1560
"air",1088
"bel",1066
"code",1018
"may",990
"public",837
"provisions",755
"building",734
"development",733
"property",717
"general",699
"article",641
"use",632
"board",576
"required",565
"area",564
"parking",557
"chapter",551
"within",546
"plan",526
"regulations",524
"feet",519
"amended",518
"requirements",483
"person",470
"areas",465
"ord",452
"provided",446
"site",435
"structure",421
"permit",383
"street",379
"department",367
"time",362
"construction",349
"standards",349
"district",343
"following",343
"owner",338
"lot",334
"state",330
"proposed",327
"upon",313
"flood",308
"approved",305
"official",303
"commission",300
"subsection",300
"maryland",295
"used",293
"see",290
"including",289
"part",288
"permitted",288
"commissioners",286
"section",285
"zoning",284
"approval",283
"one",277
"will",273
"sign",269
"water",265
"located",260
"management",260
"include",259
"design",258
"uses",257
"historic",255
"applicant",253
"violation",252
"ch",251
"minimum",250
"land",249
"necessary",246
"notice",246
"accordance",245
"residential",243
"special",241
"subject",239
"service",238
"existing",235
"county",234
"days",233
"stormwater",232
"forest",224
"provide",224
"planning",223
"structures",221
"election",218
"signs",216
"application",210
"business",210
"works",210
"control",206
"director",206
"purpose",202
"administrator",201
"square",198
"system",194
"buildings",193
"new",189
"thereof",187
"applicable",184
"specified",179
"conditions",178
"harford",177
"facilities",175
"prior",174
"review",174
"space",174
"premises",173
"set",172
"appeals",170
"must",170
"vehicle",170
"per",169
"conservation",167
"unit",166
"date",164
"line",164
"maintenance",164
"note",164
"except",163
"limited",162
"performance",161
"designated",158
"unless",158
"year",158
"office",156
"access",155
"preservation",155
"height",154
"two",154
"equipment",151
"plans",151
"traffic",150
"adjacent",149
"designed",149
"open",149
"editor's",148
"order",148
"interest",146
"private",146
"fire",145
"least",145
"trees",145
"community",144
"number",143
"without",143
"location",142
"tree",142
"materials",141
"period",140
"information",139
"way",139
"natural",135
"project",135
"persons",133
"voting",133
"units",131
"commercial",130
"services",130
"apply",129
"authority",128
"hearing",128
"safety",128
"work",128
"yard",127
"authorized",126
"forth",126
"final",125
"written",124
"determined",123
"issued",123
"individual",122
"made",122
"place",122
"day",118
"municipal",118
"storage",118
"appropriate",117
"employee",117
"action",116
"annotated",116
"maintained",116
"streets",115
"submitted",115
"established",114
"hazard",114
"law",114
"three",114
"less",113
"police",113
"exceed",112
"protection",112
"sediment",112
"sewer",112
"case",111
"enforcement",111
"adoption",110
"industrial",109
"plumbing",109
"vehicles",109
"request",108
"systems",108
"members",107
"specific",106
"subdivision",106
"condition",105
"dwelling",105
"health",104
"home",102
"improvements",102
"side",102
"agency",101
"alarm",101
"road",101
"comply",100
"require",100
"along",99
"certificate",99
"manner",99
"temporary",99
"art",98
"erosion",98
"otherwise",98
"variance",98
"amendment",97
"compliance",97
"facility",97
"floodplain",97
"decision",96
"front",96
"local",96
"professional",96
"base",95
"floor",95
"grading",95
"properties",95
"pursuant",95
"deemed",94
"improvement",94
"meet",94
"permits",94
"added",93
"form",93
"maximum",93
"similar",93
"size",93
"frontage",92
"hereby",92
"inches",92
"purposes",92
"additional",91
"administration",91
"discharge",91
"judges",91
"spaces",91
"establishment",90
"surface",90
"whether",90
"based",89
"districts",89
"inspection",89
"addition",88
"adopted",88
"court",88
"right-of",88
"cost",87
"portion",87
"accessory",86
"also",86
"cause",86
"defined",86
"installed",86
"landscaping",86
"lots",86
"operation",86
"practices",86
"repair",86
"hours",85
"make",85
"right",85
"committee",84
"architectural",83
"ensure",83
"removal",83
"sidewalk",83
"years",83
"comprehensive",82
"fees",82
"greater",82
"landscape",82
"material",82
"said",82
"follows",81
"herein",81
"pedestrian",81
"placed",81
"emergency",80
"event",80
"exception",80
"impact",80
"separate",80
"terms",80
"maintain",79
"setback",79
"elevation",78
"issuance",78
"town's",78
"amount",77
"exterior",77
"infraction",77
"means",77
"sanitary",77
"map",76
"penalties",76
"type",76
"walls",76
"activities",75
"agreement",75
"considered",75
"drainage",75
"resources",75
"violations",74
"wall",74
"activity",73
"address",73
"financial",73
"provision",73
"available",72
"constructed",72
"removed",72
"resolution",72
"voter",72
"width",72
"appeal",71
"either",71
"housing",71
"lieu",71
"prevent",71
"unlawful",71
"change",70
"preliminary",70
"process",70
"duties",69
"manual",69
"refuse",69
"four",68
"held",68
"name",68
"park",68
"specifications",68
"adequate",67
"boundaries",67
"damage",67
"ground",67
"intended",67
"lines",67
"safe",67
"loading",66
"procedures",66
"rear",66
"responsible",66
"table",66
"lighting",65
"measured",65
"structural",65
"substantial",65
"total",65
"act",64
"center",64
"every",64
"measures",64
"ordinance",64
"owners",64
"extension",63
"installation",63
"determine",62
"device",62
"granted",62
"licensed",62
"reasonable",62
"developer",61
"environmental",61
"includes",61
"record",61
"schedule",61
"submit",61
"sufficient",61
"treatment",61
"connection",60
"electrical",60
"esd",60
"features",60
"federal",60
"fund",60
"given",60
"grade",60
"principal",60
"prohibited",60
"registration",60
"sales",60
"standard",60
"devices",59
"effect",59
"intent",59
"occupancy",59
"proper",59
"received",59
"changes",58
"insurance",58
"real",58
"waters",58
"applications",57
"collection",57
"five",57
"nature",57
"waste",57
"afforestation",56
"associated",56
"file",56
"filed",56
"permanent",56
"related",56
"certain",55
"costs",55
"effective",55
"extent",55
"guidelines",55
"planting",55
"result",55
"sale",55
"window",55
"amendments",54
"bond",54
"ethics",54
"gas",54
"good",54
"definitions",53
"facade",53
"fee",53
"included",53
"minimize",53
"requirement",53
"soil",53
"storm",53
"utility",53
"allow",52
"barrier",52
"body",52
"fine",52
"immediately",52
"listed",52
"reforestation",52
"screening",52
"title",52
"words",52
"account",51
"allowed",51
"appointed",51
"attached",51
"designee",51
"matter",51
"motor",51
"rate",51
"tenant",51
"vehicular",51
"volume",51
"writing",51
"completion",50
"definition",50
"due",50
"elements",50
"jurisdiction",50
"member",50
"receipt",50
"serve",50
"shown",50
"taken",50
"charge",49
"corporation",49
"cover",49
"deleted",49
"elections",49
"environment",49
"failure",49
"first",49
"noise",49
"outdoor",49
"registered",49
"sites",49
"species",49
"term",49
"entity",48
"highway",48
"letter",48
"point",48
"rules",48
"sidewalks",48
"b-",47
"curb",47
"determination",47
"events",47
"free",47
"freestanding",47
"interior",47
"kept",47
"license",47
"modifications",47
"properly",47
"protect",47
"visible",47
"advertising",46
"basis",46
"disclosure",46
"found",46
"gross",46
"indicated",46
"legal",46
"litter",46
"methods",46
"overlay",46
"placement",46
"projects",46
"retail",46
"states",46
"welfare",46
"wetlands",46
"according",45
"additions",45
"capacity",45
"chief",45
"completed",45
"copy",45
"deleting",45
"establish",45
"group",45
"however",45
"parcel",45
"recreational",45
"single",45
"six",45
"alteration",44
"annual",44
"charges",44
"complete",44
"data",44
"economic",44
"manufactured",44
"nontidal",44
"occupant",44
"ownership",44
"pool",44
"restrictions",44
"using",44
"administrative",43
"agent",43
"association",43
"compatible",43
"description",43
"developed",43
"firm",43
"foot",43
"officer",43
"ordinances",43
"powers",43
"providing",43
"recreation",43
"reviewing",43
"statement",43
"supporting",43
"whenever",43
"adding",42
"connected",42
"identified",42
"level",42
"quality",42
"replacement",42
"representative",42
"scale",42
"specifically",42
"stated",42
"supply",42
"take",42
"united",42
"ballot",41
"calendar",41
"certified",41
"conduct",41
"described",41
"directly",41
"dwellings",41
"fema",41
"grant",41
"mechanical",41
"paid",41
"remain",41
"report",41
"sections",41
"security",41
"stand",41
"tax",41
"unsafe",41
"value",41
"vote",41
"can",40
"conducted",40
"former",40
"lowest",40
"meeting",40
"offense",40
"roof",40
"transition",40
"zone",40
"another",39
"constitute",39
"current",39
"designation",39
"merchandise",39
"occupation",39
"owned",39
"program",39
"records",39
"runoff",39
"stored",39
"times",39
"trash",39
"alley",38
"collected",38
"comar",38
"common",38
"contained",38
"containing",38
"create",38
"elevations",38
"fixtures",38
"full",38
"future",38
"human",38
"inspections",38
"meter",38
"residents",38
"roads",38
"screened",38
"sewage",38
"well",38
"adjoining",37
"approve",37
"compensation",37
"distance",37
"exceeding",37
"flooding",37
"identification",37
"outside",37
"personal",37
"primary",37
"remove",37
"school",37
"showing",37
"utilities",37
"vegetation",37
"waiver",37
"consistent",36
"deposit",36
"developments",36
"erected",36
"fill",36
"goods",36
"limit",36
"limits",36
"off-street",36
"party",36
"possible",36
"receiving",36
"roadway",36
"single-family",36
"support",36
"care",35
"certification",35
"delineation",35
"employees",35
"laws",35
"light",35
"nonconforming",35
"on-site",35
"particular",35
"qualified",35
"recorded",35
"references",35
"served",35
"sound",35
"violator",35
"combination",34
"concept",34
"contain",34
"drain",34
"end",34
"enter",34
"fence",34
"flow",34
"horizontal",34
"issue",34
"life",34
"main",34
"off-site",34
"officers",34
"operations",34
"parked",34
"pay",34
"payment",34
"published",34
"regulated",34
"study",34
"word",34
"zones",34
"appearance",33
"candidate",33
"color",33
"cultural",33
"demolition",33
"driveway",33
"engineer",33
"evidence",33
"liability",33
"parts",33
"prepared",33
"recycling",33
"responsibility",33
"surrounding",33
"technical",33
"alternative",32
"citation",32
"consideration",32
"credit",32
"criteria",32
"distribution",32
"enclosed",32
"entrance",32
"expense",32
"fences",32
"floodway",32
"guilty",32
"imposed",32
"international",32
"length",32
"notify",32
"opening",32
"operating",32
"penalty",32
"practice",32
"present",32
"products",32
"promote",32
"regulation",32
"thereto",32
"user",32
"visual",32
"windows",32
"agencies",31
"analysis",31
"charter",31
"declaration",31
"determines",31
"expenses",31
"funds",31
"lane",31
"misdemeanor",31
"newsrack",31
"operator",31
"partnership",31
"r-",31
"repairs",31
"residence",31
"sensitive",31
"types",31
"whichever",31
"circulation",30
"clearing",30
"display",30
