"Word","Freq"
"shall",6180
"city",3576
"code",2893
"building",2288
"permit",2091
"may",2011
"bellflower",1695
"public",1640
"use",1636
"must",1602
"chapter",1542
"section",1510
"prior",1434
"required",1381
"within",1361
"person",1320
"property",1318
"area",1218
"development",1077
"feet",1010
"provided",1009
"ord",970
"parking",943
"supp",925
"one",922
"provisions",886
"council",868
"business",824
"application",816
"official",789
"mean",767
"sign",753
"upon",736
"service",715
"lot",707
"tax",705
"director",701
"following",700
"zone",690
"will",682
"street",671
"uses",655
"applicant",645
"pursuant",639
"owner",631
"structure",631
"design",630
"planning",630
"time",615
"work",607
"located",599
"residential",598
"minimum",597
"used",597
"requirements",584
"vehicle",575
"standards",563
"permitted",557
"notice",553
"space",548
"provide",542
"state",538
"plan",535
"approval",511
"including",510
"set",483
"signs",481
"subject",477
"approved",470
"areas",470
"premises",470
"commission",458
"title",458
"days",456
"license",441
"commercial",431
"hearing",429
"purpose",424
"proposed",422
"location",421
"review",420
"construction",418
"less",417
"wall",417
"include",414
"regulations",413
"safety",410
"california",407
"water",406
"unit",404
"per",402
"said",397
"open",396
"project",395
"hundred",394
"overlay",394
"general",392
"health",391
"cannabis",387
"date",383
"floor",383
"manager",378
"land",377
"yard",376
"existing",369
"two",361
"law",360
"square",358
"made",357
"without",357
"front",356
"issued",356
"forth",355
"buildings",352
"applicable",351
"district",350
"equipment",347
"conditions",344
"inspection",344
"plans",344
"structures",340
"site",339
"necessary",338
"height",337
"materials",337
"sale",335
"thereof",331
"map",324
"percent",323
"otherwise",321
"order",320
"except",319
"facilities",318
"fee",318
"units",315
"material",313
"side",312
"unless",312
"department",311
"fees",311
"similar",310
"sections",307
"access",306
"ordinance",306
"apply",302
"deemed",300
"number",300
"adjacent",296
"period",296
"persons",295
"compliance",294
"every",292
"system",292
"violation",292
"manner",289
"amount",288
"appeal",286
"five",286
"place",286
"new",283
"authorized",282
"community",282
"private",282
"permits",280
"exceed",279
"limited",279
"dwelling",274
"first",274
"storage",274
"information",273
"purposes",269
"tion",269
"massage",268
"ten",268
"additional",267
"services",265
"maximum",261
"day",259
"least",258
"setback",258
"also",256
"conditional",255
"laws",255
"lots",252
"established",251
"ing",250
"portion",250
"county",248
"temporary",248
"accordance",247
"cause",247
"written",246
"parcel",245
"maintained",242
"means",242
"way",240
"decision",239
"officer",239
"accessory",236
"address",236
"center",236
"line",236
"action",235
"prohibited",234
"nuisance",232
"re",230
"three",228
"addition",227
"engineer",227
"issuance",227
"request",227
"vehicles",227
"special",226
"final",225
"abatement",221
"allowed",220
"facility",220
"defined",219
"ft",217
"sales",217
"fire",216
"require",215
"designed",214
"housing",213
"designated",212
"part",212
"comply",211
"follows",211
"rear",211
"zoning",211
"retail",210
"resolution",208
"operator",206
"rules",205
"whether",205
"specified",204
"can",203
"responsible",203
"animal",202
"control",202
"office",202
"intent",201
"year",201
"walls",198
"unlawful",197
"establishment",196
"landscaping",196
"name",196
"ordinances",196
"outside",196
"fifty",193
"make",193
"properties",193
"streets",193
"determined",192
"hours",192
"utility",192
"along",190
"density",190
"condition",189
"real",189
"repair",189
"figure",187
"municipal",187
"display",186
"dollars",186
"spaces",185
"form",183
"nonconforming",183
"roof",183
"writing",182
"requirement",178
"either",177
"occupancy",177
"definitions",175
"operation",175
"filed",174
"minor",174
"act",173
"administrator",173
"architectural",173
"enforcement",172
"food",172
"mechanical",172
"pedestrian",172
"improvements",170
"charges",168
"submitted",168
"outdoor",165
"park",165
"pay",165
"reasonable",165
"right-of",165
"maintenance",164
"see",164
"paid",163
"provision",162
"subsection",162
"subdivision",161
"thirty",161
"record",160
"imposed",159
"relevant",159
"maintain",158
"town",158
"type",158
"administrative",157
"authority",157
"foot",157
"six",156
"single",155
"adopted",154
"thousand",154
"intended",153
"size",153
"ground",152
"inches",152
"los",152
"total",152
"activities",151
"costs",151
"findings",151
"identification",151
"interior",151
"solid",151
"activity",150
"certificate",150
"exterior",150
"motor",149
"agency",148
"individual",148
"interest",148
"common",147
"device",147
"boulevard",146
"installed",146
"amended",145
"dog",145
"waste",145
"width",145
"appropriate",144
"calendar",144
"electrical",144
"event",144
"angeles",143
"right",143
"filing",142
"de",141
"years",141
"con",140
"conduct",139
"driveway",139
"effect",138
"herein",138
"main",138
"based",137
"separate",136
"designee",135
"permanent",135
"available",134
"case",134
"determination",134
"emergency",134
"security",133
"well",133
"times",131
"valid",130
"whenever",130
"flood",129
"lighting",129
"sidewalk",129
"specific",129
"village",129
"change",128
"approve",126
"due",125
"payment",125
"face",124
"care",123
"duties",123
