"Word","Freq"
"shall",6723
"ord",3779
"city",2373
"section",1552
"boston",1424
"department",1359
"commissioner",1216
"may",1193
"dollars",1183
"public",1092
"person",997
"commission",899
"one",885
"permit",806
"within",803
"chapter",748
"fee",728
"services",717
"subsection",701
"violation",666
"hundred",664
"board",654
"said",639
"time",636
"cbc",635
"provisions",602
"mayor",557
"provided",529
"license",522
"property",522
"building",511
"notice",510
"upon",504
"use",498
"general",475
"owner",470
"housing",468
"fire",455
"days",436
"police",435
"laws",414
"mean",411
"ordinance",411
"council",402
"following",383
"two",373
"year",370
"vehicle",369
"code",363
"required",356
"street",352
"including",347
"health",346
"inspectional",346
"office",338
"business",337
"regulations",336
"fine",325
"persons",325
"officer",321
"pursuant",321
"charge",320
"hearing",320
"used",319
"control",316
"subject",314
"authority",308
"information",308
"date",305
"sections",302
"duties",301
"inspection",299
"parking",298
"three",295
"five",293
"application",288
"order",288
"see",278
"report",272
"unless",270
"except",266
"include",264
"thereof",263
"rev",262
"compliance",261
"every",260
"purpose",259
"clerk",258
"law",256
"fifty",255
"first",255
"granted",252
"place",252
"service",250
"penalty",249
"without",248
"period",247
"case",246
"unit",246
"made",244
"state",244
"must",243
"thousand",243
"number",241
"day",240
"security",240
"requirements",239
"written",237
"means",235
"court",233
"term",233
"authorized",232
"purposes",232
"appointed",231
"otherwise",230
"annual",228
"safety",228
"issued",224
"area",220
"limited",220
"provision",218
"water",218
"will",217
"accordance",216
"dog",215
"provide",211
"residential",207
"make",206
"vehicles",204
"individual",203
"massachusetts",203
"part",202
"defined",200
"plan",199
"ten",198
"certificate",196
"members",196
"removal",194
"applicant",192
"necessary",192
"work",192
"feet",191
"request",188
"establishment",187
"apply",186
"municipal",185
"per",185
"program",185
"thirty",185
"also",184
"director",184
"prior",181
"rules",180
"system",180
"construction",179
"sale",179
"enforcement",177
"acts",176
"employees",176
"materials",176
"t14",175
"works",175
"powers",174
"tenant",174
"less",170
"established",169
"held",169
"ordinances",169
"division",168
"transportation",167
"least",166
"designated",165
"landlord",165
"way",164
"years",164
"committee",163
"explosive",163
"however",163
"fees",162
"amount",161
"approval",161
"contract",161
"agency",160
"ch",160
"additional",159
"action",158
"approved",158
"accommodation",157
"copy",157
"motor",156
"premises",156
"effective",154
"jurisdiction",153
"cause",152
"set",152
"employment",151
"food",151
"effect",150
"structure",150
"buildings",149
"employee",149
"prevention",147
"st",147
"units",147
"blasting",146
"known",146
"maintain",145
"paid",145
"statement",144
"force",143
"location",142
"member",142
"programs",142
"special",142
"cross-reference",141
"residents",141
"school",141
"calendar",140
"recreation",140
"terms",140
"commonwealth",139
"manner",139
"corporation",138
"herein",138
"name",138
"management",136
"note",135
"whether",135
"collector-treasurer",132
"federal",132
"payment",132
"serve",132
"registration",131
"material",130
"remain",130
"hours",129
"facility",128
"financial",128
"parks",128
"ss",128
"deemed",127
"comply",126
"conditions",126
"refuse",126
"full",125
"institution",125
"new",125
"private",125
"determined",124
"failure",124
"company",122
"issue",122
"right",122
"covered",121
"rental",121
"operation",120
"applicable",119
"commercial",119
"device",119
"site",119
"twenty",119
"agencies",118
"enforce",118
"form",118
"address",117
"administrative",117
"animal",117
"appropriate",117
"district",117
"funds",117
"alarm",116
"community",116
"twenty-five",116
"event",115
"care",114
"rent",114
"writing",114
"decision",113
"drs",113
"operate",113
"competent",112
"permits",112
"require",112
"six",112
"traffic",112
"annually",111
"gas",111
"receipt",111
"record",111
"perform",110
"waste",110
"complaint",109
"compensation",108
"development",108
"equipment",108
"violations",108
"available",107
"certified",107
"considered",107
"definitions",107
"legal",107
"receive",107
"four",106
"penalties",106
"project",106
"dwelling",105
"offense",105
"review",105
"filed",104
"issuance",104
"paragraph",103
"received",103
"agreement",102
"interest",102
"officers",102
"records",102
"access",101
"amended",101
"charges",101
"line",101
"policy",101
"regulation",101
"storage",101
"act",100
"editor's",100
"list",100
"age",99
"conduct",99
"cost",99
"owned",99
"designee",98
"forth",98
"hospitals",98
"immediately",98
"survey",98
"condition",97
"head",97
"located",97
"maximum",97
"month",97
"organization",97
"reasonable",97
"fiscal",96
"given",96
"invalid",96
"licensed",96
"contracts",95
"file",95
"notify",95
"owners",95
"recycling",95
"agent",94
"appointment",94
"current",94
"position",94
"reserved",94
"space",94
"twelve",94
"commissioners",93
"mobile",93
"explosives",92
"filing",92
"keep",92
"process",92
"responsible",92
"establish",91
"open",91
"percent",91
"repair",91
"addition",90
"land",90
"procedures",90
"repealed",90
"specific",90
"remove",89
"seven",89
"standards",89
"assessed",88
"either",88
"fines",88
"licenses",88
"passage",88
"entity",87
"maintenance",87
"purchase",87
"similar",87
"tenants",87
"estate",86
"energy",85
"park",85
"registered",85
"remaining",85
"income",84
"local",84
"portion",84
"receiving",84
"tobacco",84
"determine",83
"licensing",83
"measures",83
"pay",83
"personnel",83
"properties",83
"areas",82
"departments",82
"facilities",82
"fund",82
"home",82
"months",82
"petition",82
"student",82
"vendor",82
"occupancy",81
"partnership",81
"assistant",80
"crime",80
"hereby",80
"imposed",80
"laboratory",80
"total",80
"cents",79
"civil",79
"cmr",79
"collection",79
"promulgate",79
"respect",79
"specified",79
"take",79
"appeal",78
"existing",78
"fifteen",78
"real",78
"subsequent",78
"air",77
"domestic",77
"operating",77
"severability",77
"sign",77
"cs",76
"ensure",76
"market",76
"particular",76
"result",76
"rights",76
"assistance",75
"devices",75
"due",75
"emergency",75
"plans",75
"trust",75
"accommodations",74
"blast",74
"can",74
"january",74
"proposed",74
"recommendations",74
"custody",73
"inspections",73
"performance",73
"determination",72
"employer",72
"greater",72
"streets",72
"submit",72
"equal",71
"holder",71
"operator",71
"square",71
"controlled",70
"evidence",70
"handicapped",70
"inches",70
"neighborhood",70
"newsrack",70
"permitted",70
"separate",70
"status",70
"costs",69
"executive",69
"hall",69
"implementation",69
"large",69
"primary",69
"resident",69
"telephone",69
"designation",68
"implement",68
"seek",68
"title",68
"condominium",67
"container",67
"fails",67
"lot",67
"occupied",67
"regarding",67
"remains",67
"t11",67
"elderly",66
"hazardous",66
"later",66
"notwithstanding",66
"removed",66
"training",66
"unpaid",66
"avenue",65
"designate",65
"july",65
"next",65
"point",65
"advisory",64
"another",64
"association",64
"basis",64
"containing",64
"meeting",64
"activities",63
"auditor",63
"described",63
"excess",63
"party",63
"second",63
"sell",63
"transfer",63
"twenty-one",63
"meet",62
"station",62
"capacity",61
"chief",61
"limits",61
"loans",61
"nothing",61
"offer",61
"opportunity",61
"providing",61
"sanitary",61
"statutes",61
"subsections",61
"taken",61
"tax",61
"allow",60
"connection",60
"extent",60
"sidewalk",60
"transferred",60
"administration",59
"contractor",59
"data",59
"minimum",59
"official",59
"operated",59
"possession",59
"assessing",58
"based",58
"cases",58
"change",58
"city's",58
"conversion",58
"eligible",58
"parties",58
"preceding",58
"problem",58
"requirement",58
"therefor",58
"thereto",58
"unlawful",58
"affect",57
"center",57
"consisting",57
"cooperative",57
"eight",57
"goods",57
"institutions",57
"placed",57
"sixty",57
"submitted",57
"sup",57
"valid",57
"certain",56
"charged",56
"duty",56
"loan",56
"making",56
"mayor's",56
"power",56
"protect",56
"relating",56
"sewer",56
"suspension",56
"exceed",55
"give",55
"harbormaster",55
"parkway",55
"structures",55
"temporary",55
"exterior",54
"installation",54
"practice",54
"products",54
"relevant",54
"reports",54
"created",53
"criminal",53
"final",53
"found",53
"free",53
"obtain",53
"present",53
"times",53
"class",52
"common",52
"constitute",52
"contained",52
"design",52
"display",52
"improvement",52
"noise",52
"prevent",52
"separately",52
"thereafter",52
"therein",52
"construed",51
"engaged",51
"expiration",51
"house",51
"individuals",51
"lease",51
"places",51
"posted",51
"protection",51
"ward",51
"athletic",50
"eighteen",50
"election",50
"expenses",50
"isd",50
"like",50
"ownership",50
"performed",50
"prohibited",50
"related",50
"sales",50
