"Word","Freq"
"must",2725
"city",2687
"may",1720
"ord",1715
"passed",1524
"shall",1490
"code",1304
"public",1126
"property",1043
"license",962
"chapter",870
"person",839
"use",829
"within",828
"permit",814
"building",792
"required",788
"feet",710
"area",681
"will",658
"council",654
"section",602
"business",559
"plan",539
"following",535
"owner",535
"time",530
"water",518
"upon",504
"requirements",498
"one",497
"development",488
"residential",483
"provided",475
"fee",472
"application",456
"site",455
"areas",445
"parking",442
"manager",441
"system",439
"district",436
"state",436
"penalty",423
"uses",420
"signs",417
"purpose",411
"per",397
"used",394
"fire",388
"including",386
"see",381
"sign",377
"vehicle",376
"street",368
"land",367
"provisions",364
"way",364
"applicant",363
"np",363
"flood",362
"minimum",360
"notice",358
"lot",354
"park",352
"storage",351
"materials",349
"violation",346
"service",339
"structure",334
"control",326
"general",322
"set",321
"facilities",318
"days",317
"health",316
"standards",312
"unless",307
"issued",306
"premises",306
"located",304
"construction",299
"approved",298
"except",298
"private",295
"fees",293
"zoning",292
"licensee",286
"permitted",278
"unlawful",278
"licensed",277
"compliance",274
"hearing",271
"include",269
"provide",267
"unit",267
"conditions",266
"date",266
"least",262
"made",262
"equipment",257
"right-of",256
"subchapter",255
"two",252
"maintenance",251
"regulations",251
"minnesota",248
"proposed",248
"department",247
"tax",247
"approval",244
"open",241
"space",240
"work",240
"structures",236
"establishment",235
"without",235
"location",233
"square",232
"designated",231
"review",228
"information",227
"sewer",227
"necessary",226
"additional",223
"buildings",222
"persons",221
"accordance",217
"forth",217
"defined",216
"vehicles",216
"limited",215
"safety",215
"design",213
"sale",213
"established",210
"law",209
"ordinance",207
"place",206
"exceed",205
"division",203
"part",203
"subject",203
"systems",202
"height",201
"temporary",201
"charge",199
"districts",199
"existing",196
"animal",195
"streets",195
"year",195
"period",193
"officer",191
"amount",189
"prior",188
"prohibited",187
"subdivision",187
"charges",184
"applicable",183
"written",182
"brooklyn",181
"name",181
"adjacent",179
"dwelling",178
"allowed",177
"costs",177
"pursuant",177
"accessory",175
"apply",175
"liquor",175
"comply",174
"permits",174
"order",173
"surface",172
"number",171
"access",170
"authorized",170
"chief",170
"otherwise",170
"less",169
"ten",169
"front",168
"licenses",168
"side",166
"traffic",166
"police",165
"manner",164
"underground",163
"commercial",162
"determined",162
"line",162
"official",162
"new",161
"lots",159
"nuisance",159
"trees",159
"dog",158
"thereof",154
"definitions",153
"food",153
"plat",153
"purposes",152
"lines",151
"three",151
"conditional",149
"constructed",149
"management",149
"inspection",147
"engineer",146
"natural",144
"administrative",143
"cause",143
"paid",143
"community",142
"conduct",142
"meet",142
"services",142
"address",141
"authority",141
"devices",141
"protection",141
"maintained",140
"properties",140
"hours",139
"massage",139
"ordinances",139
"tank",139
"waste",139
"rules",138
"designed",137
"emergency",137
"event",137
"attached",136
"commission",136
"day",136
"ground",136
"years",136
"special",135
"every",134
"excavation",134
"first",134
"permittee",134
"floor",133
"maximum",132
"principal",132
"whether",132
"material",130
"operation",130
"removal",130
"subd",130
"five",128
"liquid",128
"landscaping",126
"designee",125
"enforcement",125
"make",125
"require",125
"avenue",123
"storm",123
"dangerous",122
"right",122
"condition",121
"action",120
"recreational",120
"wall",120
"also",119
"r-",119
"similar",119
"identification",118
"includes",118
"utility",118
"industrial",117
"installation",117
"appropriate",116
"cost",116
"either",116
"intended",116
"plans",116
"stormwater",116
"act",115
"rental",115
"specified",115
"procedures",114
"reasonable",114
"request",114
"connection",113
"operator",113
"tobacco",113
"yard",113
"refuse",112
"tree",112
"adopted",111
"family",111
"units",111
"elevation",110
"north",110
"provision",110
"responsible",110
"form",109
"can",108
"director",108
"spaces",108
"addition",106
"bond",106
"described",106
"facility",106
"final",106
"legal",106
"granted",105
"board",104
"considered",104
"foot",104
"multiple",104
"process",104
"revocation",104
"failure",103
"issuance",103
"percent",103
"agent",102
"case",102
"city's",102
"individual",102
"sales",102
"size",102
"allow",101
"planning",101
"prevent",101
"removed",101
"type",101
"available",100
"certificate",100
"comprehensive",100
"rear",100
"single",100
"schedule",99
"setbacks",98
"violations",98
"meter",97
"placed",97
"writing",97
"deemed",95
"delivery",95
"device",95
"installed",95
"map",95
"portion",95
"county",94
"damage",94
"insurance",94
"minor",94
"motor",94
"municipal",94
"school",94
"overlay",93
"reference",93
"welfare",93
"activities",92
"discharge",92
"due",92
"resolution",92
"current",91
"setback",91
"times",91
"activity",90
"another",90
"collection",90
"repair",90
"exterior",89
"grade",89
"members",89
"possession",89
"separate",89
"duties",88
"federal",88
"full",88
"inches",88
"landscape",88
"offense",87
"annual",86
"dwellings",86
"plus",86
"performance",85
"term",85
"malt",84
"resident",84
"along",83
"copy",83
"drainage",83
"inspections",83
"present",83
"rates",83
"title",83
"walls",83
"herein",82
"like",82
"office",82
"greater",81
"means",81
"parcel",81
"planned",81
"requires",81
"total",81
"corporation",80
"display",80
"employee",80
"erosion",80
"hazard",80
"improvements",80
"maintain",80
"record",80
"width",80
"association",79
"changes",79
"evidence",79
"local",79
"permanent",79
"plain",79
"regulated",79
"requirement",79
"sanitary",79
"single-family",79
"energy",78
"interest",78
"laws",78
"level",78
"appendix",77
"b-",77
"effective",77
"immediately",77
"investigation",77
"six",77
"submitted",77
"supply",77
"terms",77
"alarm",76
"body",76
"clerk",76
"decision",76
"et",76
"pay",76
"penalties",76
"related",76
"said",76
"seq",76
"animals",75
"kept",75
"operate",75
"outside",75
"payment",75
"report",75
"based",74
"conformance",73
"detached",73
"determine",73
"facade",73
"given",73
