"Word","Freq"
"shall",268
"water",137
"irrigation",129
"landscape",90
"areas",80
"systems",70
"plant",58
"installed",53
"area",52
"valves",47
"inches",43
"www",43
"plants",41
"pressure",37
"use",36
"used",36
"city",35
"valve",35
"development",34
"materials",34
"minimum",34
"standards",34
"pipe",33
"may",31
"section",30
"control",29
"feet",29
"requirements",29
"table",29
"per",27
"street",27
"system",27
"within",27
"soil",26
"type",26
"approved",25
"controller",25
"material",25
"size",25
"eto",24
"required",24
"way",24
"equipment",23
"rainbird",23
"guidelines",22
"management",22
"open",22
"san",22
"ca",21
"following",21
"heads",21
"tree",21
"trees",21
"criteria",20
"org",20
"adjacent",19
"lateral",19
"low",19
"native",19
"public",19
"rights-of",19
"brush",18
"evapotranspiration",18
"factor",18
"grade",18
"installation",18
"revegetation",18
"budget",17
"california",17
"gov",17
"http",17
"maintained",17
"maintenance",17
"red",17
"series",17
"appendix",16
"design",16
"diego",16
"greater",16
"percent",16
"site",16
"space",16
"spray",16
"total",16
"will",16
"wire",16
"zone",16
"code",15
"improvements",15
"special",15
"species",15
"two",15
"boxes",14
"buckner",14
"drip",14
"existing",14
"i-",14
"land",14
"located",14
"meter",14
"part",14
"provide",14
"slopes",14
"standard",14
"tape",14
"toro",14
"using",14
"without",14
"concrete",13
"contractor",13
"designed",13
"diameter",13
"globe",13
"irrigated",13
"lines",13
"mesa",13
"pdf",13
"service",13
"slope",13
"surface",13
"wires",13
"year",13
"circle",12
"erosion",12
"iron",12
"new",12
"sch",12
"specifications",12
"stripe",12
"drain",11
"full",11
"hydrozone",11
"list",11
"locking",11
"piping",11
"quick",11
"square",11
"steel",11
"unless",11
"c-",10
"calculated",10
"conditions",10
"coverage",10
"la",10
"landscapes",10
"line",10
"manager",10
"maximum",10
"necessary",10
"radius",10
"ranch",10
"reclaimed",10
"root",10
"threaded",10
"turf",10
"applied",9
"based",9
"brass",9
"community",9
"controllers",9
"dedicated",9
"enclosure",9
"etwu",9
"exceed",9
"features",9
"fittings",9
"hunter",9
"must",9
"nozzles",9
"period",9
"planting",9
"pop-up",9
"prior",9
"rate",9
"reference",9
"remote",9
"see",9
"shrub",9
"sla",9
"vehicular",9
"white",9
"approval",8
"black",8
"box",8
"coupling",8
"depth",8
"electrical",8
"enclosures",8
"figure",8
"general",8
"height",8
"less",8
"manifold",8
"mulch",8
"performance",8
"planning",8
"proposed",8
"pvc",8
"removed",8
"resources",8
"rotor",8
"schedule",8
"selected",8
"selection",8
"stainless",8
"temporary",8
"three",8
"unit",8
"vegetation",8
"work",8
"adjustment",7
"apply",7
"appropriate",7
"center",7
"copper",7
"department",7
"directly",7
"emitters",7
"establish",7
"estimated",7
"fire",7
"flow",7
"gallons",7
"high",7
"include",7
"including",7
"listed",7
"location",7
"non-irrigated",7
"plan",7
"plans",7
"plantings",7
"plastic",7
"procedures",7
"prohibited",7
"provided",7
"screening",7
"separate",7
"shrubs",7
"single",7
"sized",7
"sleeves",7
"sprinkler",7
"storm",7
"subject",7
"trench",7
"acceptable",6
"also",6
"application",6
"average",6
"backflow",6
"beach",6
"calculation",6
"cast",6
"circuit",6
"class",6
"drawings",6
"entire",6
"except",6
"factory-installed",6
"finish",6
"flushing",6
"galvanized",6
"ha",6
"ie",6
"individual",6
"landscaping",6
"mawa",6
"north",6
"on-grade",6
"one",6
"paving",6
"pedestrian",6
"percolation",6
"permanent",6
"pf",6
"power",6
"project",6
"pruned",6
"rain",6
"rancho",6
"regulations",6
"riser",6
"shown",6
"similar",6
"straw",6
"submeter",6
"torrey",6
"university",6
"valley",6
"yellow",6
"additional",5
"ads",5
"allowed",5
"applicability",5
"audit",5
"ball",5
"blue",5
"branches",5
"check",5
"colored",5
"colors",5
"common",5
"connection",5
"conservation",5
"consistent",5
"construction",5
"data",5
"date",5
"devices",5
"different",5
"distance",5
"disturbed",5
"dwelling",5
"efficiency",5
"every",5
"final",5
"follow",5
"gradient",5
"ground",5
"head",5
"included",5
"indicated",5
"inspection",5
"island",5
"lawn",5
"limited",5
"made",5
"main",5
"mainline",5
"maintain",5
"manual",5
"manufacturer's",5
"marker",5
"mature",5
"measured",5
"moisture",5
"mulching",5
"needs",5
"operate",5
"owue",5
"pacific",5
"park",5
"permit",5
"placed",5
"planted",5
"portions",5
"professional",5
"protection",5
"pull",5
"recreation",5
"reducing",5
"replaced",5
"right-of",5
"runoff",5
"s700c",5
"sand",5
"services",5
"six",5
"spaced",5
"state",5
"structure",5
"structures",5
"test",5
"tubing",5
"typically",5
"acceptance",4
"access",4
"accommodate",4
"acre",4
"adopted",4
"allow",4
"allowance",4
"along",4
"amount",4
"annual",4
"anti-drain",4
"artificial",4
"association",4
"avoid",4
"beyond",4
"board",4
"bubblers",4
"building",4
"cap",4
"capable",4
"carmel",4
"clearance",4
"combination",4
"commercial",4
"comply",4
"conjunction",4
"considered",4
"conversion",4
"county",4
"cover",4
"curb",4
"damage",4
"defined",4
"direct",4
"docs",4
"drainage",4
"drawing",4
"driveways",4
"electric",4
"elevation",4
"equal",4
"equivalent",4
"etc",4
"excess",4
"extend",4
"five",4
"follows",4
"four",4
"free",4
"growth",4
"heights",4
"highlands",4
"hills",4
"hydroseeding",4
"hydrozones",4
"ill",4
"impact",4
"improvement",4
"information",4
"introduction",4
"invasive",4
"landscaped",4
"lid",4
"ll",4
"lots",4
"map",4
"marked",4
"metal",4
"miramar",4
"mission",4
"model",4
"mountain",4
"non-pressure",4
"number",4
"operating",4
"otay",4
"otherwise",4
"overspray",4
"paint",4
"pavement",4
"pilot",4
"precipitation",4
"premises",4
"preservation",4
"prevent",4
"projects",4
"property",4
"pruning",4
"psi",4
"purposes",4
"rc",4
"regional",4
"require",4
"restrictions",4
"rooting",4
"safety",4
"sections",4
"seed",4
"sensing",4
"sensors",4
"sizes",4
"sleeve",4
"slurry",4
"spaces",4
"specified",4
"streets",4
"supplemental",4
"time",4
"transitional",4
"trunk",4
"uniformly",4
"units",4
"upon",4
"upstream",4
"us",4
"volume",4
"weather",4
"worksheets",4
"wucols",4
"zones",4
"-inch",3
"ab",3
"accomplished",3
"accordance",3
"active",3
"actual",3
"added",3
"addition",3
"adequate",3
"adequately",3
"adjusted",3
"adv",3
"ai-",3
"amendments",3
"applicable",3
"assessment",3
"available",3
"away",3
"awg",3
"barriers",3
"basic",3
"book",3
"books",3
"bronze",3
"brown",3
"burial",3
"can",3
"cfm",3
"chloride",3
"cimis",3
"clca",3
"color",3
"condition",3
"conducted",3
"connections",3
"conserving",3
"continuity",3
"council",3
"coupler",3
"cut",3
"defect",3
"degrees",3
"depths",3
"designated",3
"device",3
"differential",3
"distribution",3
"district",3
"division",3
"dry",3
"easily",3
"edu",3
"efficient",3
"either",3
"end",3
"engineer",3
"example",3
"exceeds",3
"excluding",3
"extended",3
"febco",3
"flammable",3
"footprints",3
"formula",3
"fuel",3
"gate",3
"grass",3
"gray",3
"graywater",3
"groundcovers",3
"groupings",3
"guarantee",3
"guide",3
"habitat",3
"handbook",3
"hardscapes",3
"health",3
"herein",3
"highly",3
"horticultural",3
"hour",3
"html",3
"identification",3
"incorporated",3
"index",3
"indigenous",3
"industrial",3
