"Word","Freq"
"water",301
"section",202
"landscape",194
"irrigation",181
"shall",150
"code",126
"means",93
"use",87
"areas",82
"government",79
"register",79
"local",74
"order",72
"project",71
"new",65
"filed",60
"governor's",58
"operative",57
"soil",56
"note",55
"plant",54
"reference",54
"design",53
"system",53
"area",50
"b-",50
"ordinance",50
"pursuant",50
"oal",49
"plan",47
"april",43
"may",43
"plants",43
"exec",42
"per",41
"agency",40
"sections",39
"submitted",39
"review",36
"authority",34
"efficient",34
"applicant",33
"cited",33
"applied",32
"department",32
"california",31
"history",31
"appendix",28
"documentation",28
"factor",28
"package",28
"title",28
"eto",27
"landscapes",27
"low",27
"resources",27
"amendment",26
"projects",26
"total",26
"executive",25
"required",25
"rate",24
"tion",24
"evapotranspiration",23
"pressure",23
"san",23
"flow",22
"following",22
"management",22
"used",22
"valve",22
"city",21
"printing",21
"report",21
"state",21
"systems",21
"include",20
"installed",20
"runoff",20
"certificate",19
"etaf",19
"must",19
"public",19
"recycled",19
"agencies",18
"feet",18
"information",18
"completion",17
"devices",17
"hydrozone",17
"based",16
"date",16
"device",16
"ing",16
"using",16
"ex",15
"irrigated",15
"limited",15
"maximum",15
"non",15
"page",15
"part",15
"schedule",15
"square",15
"table",15
"address",14
"analysis",14
"annual",14
"audit",14
"designed",14
"exempt",14
"existing",14
"identify",14
"including",14
"maintenance",14
"meeting",14
"property",14
"re",14
"regulations",14
"requirements",14
"residential",14
"sprinkler",14
"supply",14
"turf",14
"will",14
"allowance",13
"applicable",13
"county",13
"mulch",13
"program",13
"type",13
"empt",12
"features",12
"infiltration",12
"land",12
"planting",12
"point",12
"provide",12
"purveyor",12
"rain",12
"regional",12
"reporting",12
"see",12
"site",12
"valley",12
"amount",11
"conditions",11
"de",11
"efficiency",11
"grading",11
"health",11
"high",11
"inches",11
"mawa",11
"number",11
"species",11
"submit",11
"surfaces",11
"adjacent",10
"application",10
"available",10
"certified",10
"check",10
"climate",10
"construction",10
"data",10
"drip",10
"emission",10
"installation",10
"meet",10
"meter",10
"owner",10
"period",10
"protection",10
"require",10
"santa",10
"special",10
"stormwater",10
"ter",10
"appropriate",9
"automatic",9
"criteria",9
"exceed",9
"invasive",9
"less",9
"material",9
"one",9
"overspray",9
"permit",9
"prevent",9
"prevention",9
"rehabilitated",9
"retention",9
"set",9
"subject",9
"surface",9
"valves",9
"waste",9
"within",9
"worksheet",9
