"Word","Freq"
"landscape",158
"tree",134
"turf",129
"plant",128
"shall",125
"requirements",124
"trees",112
"",103
"plan",102
"shrubs",94
"yard",93
"sp",90
"landscaping",82
"required",78
"area",71
"may",70
"street",67
"table",67
"site",66
"city",61
"materials",58
"side",56
"buffer",52
"water",52
"front",50
"material",50
"existing",48
"provide",47
"lot",46
"aurora",44
"rear",43
"section",42
"sf",42
"artificial",41
"fig",41
"will",41
"lots",39
"per",39
"public",39
"within",39
"areas",38
"see",37
"show",37
"standard",37
"",36
"caliper",35
"development",33
"lawn",33
"found",32
"information",32
"building",31
"include",31
"name",31
"ornamental",31
"provided",31
"standards",31
"species",30
"yards",30
"following",29
"list",29
"ft",28
"grass",28
"inches",28
"one",28
"perimeter",28
"plans",28
"residential",28
"xeriscape",28
"department",27
"irrigation",27
"min",27
"note",27
"view",27
"comply",26
"examples",26
"feet",26
"grasses",26
"mitigation",26
"planning",26
"corner",25
"natural",25
"property",25
"line",24
"code",23
"minimum",23
"sec",23
"single-family",23
"use",23
"evergreen",22
"fence",22
"landscaped",22
"organic",22
"perennials",21
"common",20
"detached",20
"large",20
"max",20
"shown",20
"size",20
"way",20
"3a",19
"also",19
"garden",19
"maximum",19
"plants",19
"properties",19
"small",19
"cotoneaster",18
"estate",18
"option",18
"pavers",18
"rock",18
"total",18
"xeric",18
"beds",17
"calculations",17
"design",16
"frontage",16
"mulch",16
"page",16
"policy",16
"residents",16
"review",16
"blue",15
"colorado",15
"curb",15
"exposed",15
"included",15
"planting",15
"proposed",15
"space",15
"tables",15
"two",15
"approved",14
"article",14
"current",14
"diameter",14
"height",14
"home",14
"inch",14
"installation",14
"landscapes",14
"notes",14
"open",14
"parks",14
"preservation",14
"scale",14
"sod",14
"tangent",14
"time",14
"3b",13
"annuals",13
"attached",13
"botanic",13
"buffers",13
"centers",13
"contact",13
"foot",13
"including",13
"long-lived",13
"mulches",13
"must",13
"recommended",13
"shrub",13
"type",13
"zone",13
"construction",12
"deciduous",12
"greater",12
"legend",12
"oak",12
"special",12
"subject",12
"usage",12
"utility",12
"walk",12
"addition",11
