"Word","Freq"
"historic",143
"site",81
"design",80
"lighting",65
"denver",58
"building",55
"new",51
"yard",48
"guidelines",46
"landscape",44
"street",40
"features",38
"fence",36
"front",36
"wall",34
"retaining",33
"use",33
"walls",33
"district",32
"area",30
"areas",30
"fixtures",30
"slope",29
"light",27
"buildings",24
"context",22
"property",21
"fences",19
"minimize",19
"page",19
"service",19
"character",17
"districts",16
"impacts",16
"materials",16
"preserve",16
"trees",16
"landmark",15
"locate",15
"low",15
"parking",15
"provide",15
"adjacent",14
"character-defining",14
"hill",14
"tree",14
"illumination",13
"mechanical",13
"possible",13
"properties",13
"rear",13
"surrounding",13
"compatible",12
"information",12
"maintain",12
"original",12
"public",12
"residential",12
"sidewalk",12
"equipment",11
"treatment",11
"commercial",10
"install",10
"parkways",10
"present",10
"side",10
"structures",10
"also",9
"avoid",9
"maintaining",9
"patio",9
"pedestrian",9
"see",9
"sidewalks",9
"streetscape",9
"city",8
"colorado",8
"constructing",8
"feature",8
"including",8
"open",8
"security",8
"enhance",7
"established",7
"ground",7
"lights",7
"may",7
"replace",7
"stone",7
"strategies",7
"surface",7
"used",7
"visual",7
"whenever",7
"along",6
"appropriate",6
"code",6
"early",6
"existing",6
"façade",6
"general",6
"guideline",6
"important",6
"multifamily",6
"necessary",6
"part",6
"planting",6
"rather",6
"stabilize",6
"top",6
"using",6
"walkways",6
"zoning",6
"alternatives",5
"civic",5
"coordinate",5
"designated",5
"ensure",5
"especially",5
"furniture",5
"generally",5
"ground-mounted",5
"height",5
"high",5
"illustration",5
"individually-designated",5
"lawn",5
"located",5
"many",5
"masonry",5
"needed",5
"one",5
"onto",5
"patterns",5
"plant",5
"quality",5
"scale",5
"sloping",5
"streets",5
"subordinate",5
"way",5
"within",5
"access",4
"add",4
"alley",4
"alleys",4
"block",4
"can",4
"century",4
"chapter",4
"common",4
"continued",4
"cover",4
"curb",4
"enclosed",4
"entries",4
"explore",4
"forester",4
"grass",4
"help",4
"illuminate",4
"illustrated",4
"include",4
"intent",4
"introducing",4
"least",4
"level",4
"lot",4
"maintenance",4
"often",4
"parks",4
"placement",4
"plantings",4
"provides",4
"railings",4
"repair",4
"requirements",4
"retain",4
"simple",4
"stabilizing",4
"statements",4
"street-facing",4
"style",4
"yards",4
"20th",3
"allowed",3
"approach",3
"architecture",3
"background",3
"brick",3
"chain",3
"changes",3
"children",3
"completely",3
"conditions",3
"consistent",3
"contact",3
"designing",3
"dining",3
"down-lighting",3
"drought-tolerant",3
"edge",3
"entrances",3
"exterior",3
"façades",3
"following",3
"glare",3
"hidden",3
"highly",3
"historically",3
"impact",3
"inappropriate",3
"indicates",3
"installing",3
"kick",3
"landscaping",3
"less",3
"limit",3
"link",3
"location",3
"low-water",3
"lyons",3
"mixed-use",3
"monumental",3
"pets",3
"potential",3
"preservation",3
"private",3
"proposing",3
"recreation",3
"refer",3
"removing",3
"right-of",3
"sandstone",3
"several",3
"significant",3
"similar",3
"simplified",3
"sky",3
"sources",3
"special",3
"standards",3
"structure",3
"traditional",3
"utility",3
"variety",3
"view",3
"visibility",3
"without",3
"acceptable",2
"active",2
"adding",2
"additional",2
"address",2
"alcove",2
"alterations",2
"alternative",2
"appearance",2
"appendix",2
"apply",2
"architectural",2
"article",2
"avoiding",2
"base",2
"based",2
"beautiful",2
"behind",2
"benches",2
"bollards",2
"built",2
"canopy",2
"color",2
"colors",2
"consider",2
"considering",2
"constructed",2
"contemporary",2
"corner",2
"courtyard",2
"courtyards",2
"criteria",2
"cuts",2
"decorative",2
"define",2
"degree",2
"designs",2
"deteriorated",2
"development",2
"direct",2
"disruption",2
"effects",2
"entry",2
"environment",2
"etc",2
"even",2
"except",2
"false",2
"feasible",2
"finishes",2
"floodlights",2
"fluorescent",2
"foot",2
"furnishings",2
"gates",2
"grassy",2
"hedges",2
"historical",2
"history",2
"illustrations",2
"included",2
"introduction",2
"iron",2
"key",2
"lamps",2
"landscaped",2
"lawns",2
"levels",2
"matched",2
"matching",2
"minimal",2
"missing",2
"modest",2
"mounted",2
"mowing",2
"near",2
"nearby",2
"negative",2
"note",2
"office",2
"orient",2
"ornamental",2
"owners",2
"particular",2
"patios",2
"per",2
"place",2
"plants",2
"plaza",2
"preferred",2
"preserved",2
"primary",2
"principles",2
"proposed",2
"provided",2
"purpose",2
"recessed",2
"remain",2
"removed",2
"replacing",2
"require",2
"residences",2
"respect",2
"review",2
"screen",2
"seen",2
"sense",2
"serve",2
"setback",2
"shielded",2
"single",2
