"Word","Freq"
"shall",1322
"town",672
"section",623
"code",321
"council",286
"fire",274
"building",263
"may",238
"public",232
"person",199
"permit",188
"article",181
"s-",173
"alp",170
"ordinance",164
"required",161
"within",161
"time",143
"court",137
"system",130
"follows",128
"upon",128
"amended",126
"hereby",121
"property",121
"mayor",120
"provisions",120
"except",117
"carefree",115
"provided",113
"one",112
"chapter",107
"business",105
"official",105
"following",102
"civil",99
"systems",98
"use",98
"fee",94
"work",91
"thereof",90
"officer",89
"notice",88
"read",87
"road",84
"accordance",83
"blasting",82
"two",82
"days",80
"ordinances",80
"street",79
"department",78
"means",78
"office",77
"area",76
"requirements",76
"construction",75
"violation",75
"authorized",74
"feet",74
"state",74
"installed",73
"used",73
"adopted",72
"application",72
"general",70
"including",70
"enforcement",69
"approved",68
"group",68
"less",68
"license",68
"election",67
"water",67
"new",66
"sprinkler",66
"alarm",65
"buildings",63
"duties",63
"members",63
"owner",62
"per",62
"subsection",62
"arizona",60
"authority",60
"clerk",59
"international",59
"residential",59
"defined",58
"engineer",58
"exceed",58
"part",57
"persons",57
"plumbing",57
"traffic",57
"unless",57
"violations",57
"will",56
"administrative",55
"issued",54
"permitted",54
"streets",54
"hundred",53
"include",53
"private",53
"facilities",52
"chief",51
"protection",51
"r-",51
"services",51
"set",51
"fees",49
"minimum",49
"table",49
"date",48
"municipal",48
"occupancies",48
"storage",48
"areas",47
"board",47
"control",47
"emergency",47
"order",47
"regulations",47
"sign",47
"administrator",46
"dollars",46
"explosive",46
"law",46
"made",46
"prior",46
"zoning",46
"gas",45
"location",45
"pursuant",45
"structures",45
"automatic",44
"exception",44
"materials",44
"additional",43
"apply",43
"judge",43
"level",43
"otherwise",43
"penalties",43
"period",43
"place",43
"provide",43
"signs",43
"three",43
"occupancy",42
"parking",42
"without",42
"cause",41
"rules",41
"vehicle",41
"air",40
"amendments",40
"equipment",40
"inches",40
"safety",40
"act",39
"bond",39
"forth",39
"located",39
"number",39
"temporary",39
"way",39
"annual",38
"applicant",38
"care",38
"day",38
"applications",37
"heading",37
"limits",37
"maximum",37
"offense",37
"review",37
"defendant",36
"definitions",36
"health",36
"manual",36
"insurance",35
"least",35
"manner",35
"marshal",35
"operations",35
"penalty",35
"plan",35
"service",35
"condition",34
"devices",34
"existing",34
"fireworks",34
"officers",34
"powers",34
"responsible",34
"special",34
"structure",34
"designated",33
"drive",33
"fine",33
"interpretation",33
"pipe",33
"see",33
"written",33
"cave",32
"creek",32
"inspection",32
"limited",32
"material",32
"modified",32
"move",32
"offenses",32
"prohibited",32
"site",32
"words",32
"comply",31
"costs",31
"effective",31
"first",31
"five",31
"jurisdiction",31
"piping",31
"repair",31
"standards",31
"vehicles",31
"appointed",30
"contractor",30
"primary",30
"provision",30
"sale",30
"specified",30
"tax",30
"action",29
"commission",29
"failure",29
"filed",29
"hazardous",29
"hour",29
"hours",29
"inch",29
"removal",29
"subject",29
"year",29
"also",28
"applicable",28
"collection",28
"every",28
"percent",28
"permits",28
"sanctions",28
"take",28
"terms",28
"administration",27
"agenda",27
"appendix",27
"compliance",27
"dog",27
"elected",27
"opening",27
"sections",27
"years",27
"addition",26
"amount",26
"citation",26
"criminal",26
"herein",26
"installation",26
"motor",26
"operation",26
"pool",26
"resolution",26
"sanction",26
"six",26
"staff",26
"stop",26
"calendar",25
"conditions",25
"employees",25
"fifty",25
"horizontal",25
"liability",25
"maintain",25
"meeting",25
"paid",25
"premises",25
"proceedings",25
"said",25
"ten",25
"term",25
"certificate",24
"commercial",24
"county",24
"either",24
"hearing",24
"issuance",24
"make",24
"minor",24
"nfpa",24
"officials",24
"open",24
"permittee",24
"personal",24
"published",24
"reasonable",24
"roof",24
"serve",24
"vote",24
"ways",24
"admission",23
"association",23
"candidate",23
"combustion",23
"connection",23
"declared",23
"deemed",23
"determined",23
"majority",23
"openings",23
"outside",23
"presiding",23
"purpose",23
"statutes",23
"throughout",23
"debris",22
"deleted",22
"designee",22
"established",22
"event",22
"exceptions",22
"imprisonment",22
"information",22
"maintained",22
"mean",22
"meetings",22
"pressure",22
"reference",22
"representative",22
"speed",22
"uniform",22
"wall",22
"writing",22
"agent",21
"appeal",21
"approval",21
"conduct",21
"contain",21
"drainage",21
"effect",21
"fireplace",21
"given",21
"issue",21
"judgment",21
"necessary",21
"occupant",21
"placed",21
"posted",21
"prescribed",21
"proposed",21
"seven",21
"size",21
"standard",21
"submitted",21
"test",21
"thousand",21
"type",21
"unlawful",21
"added",20
"allowed",20
"drain",20
"end",20
"file",20
"grade",20
"individual",20
"inspections",20
"lines",20
"matter",20
