"Word","Freq"
"shall",1880
"town",1571
"code",673
"passed",572
"ord",568
"may",519
"water",419
"public",417
"development",373
"wastewater",370
"property",356
"council",350
"service",343
"person",328
"permit",321
"section",306
"chapter",285
"fee",272
"required",263
"within",262
"building",259
"see",255
"system",242
"discharge",232
"provided",232
"will",226
"department",209
"use",201
"provisions",197
"user",196
"fees",188
"new",187
"customer",185
"time",180
"upon",178
"facilities",176
"following",169
"manager",166
"state",159
"notice",158
"owner",154
"application",149
"construction",149
"violation",148
"fire",147
"unless",146
"penalty",140
"civil",139
"charges",138
"requirements",137
"sewer",134
"industrial",131
"made",131
"cave",129
"creek",129
"official",129
"except",127
"including",127
"zoning",126
"vehicle",124
"authorized",123
"reference",123
"traffic",122
"connection",121
"days",121
"business",119
"regulations",119
"date",118
"general",118
"prior",118
"set",118
"accordance",117
"services",114
"area",112
"necessary",112
"enforcement",110
"facility",110
"without",110
"court",107
"applicant",106
"applicable",102
"meter",102
"used",99
"work",99
"apply",97
"law",97
"pretreatment",97
"installed",96
"seq",96
"utility",96
"capacity",95
"et",95
"land",95
"one",95
"duties",94
"mayor",94
"officer",94
"order",94
"ordinances",94
"standards",94
"part",93
"pursuant",93
"residential",93
"compliance",91
"ordinance",91
"purpose",91
"office",90
"parking",90
"subchapter",90
"private",89
"arizona",88
"control",87
"license",87
"treatment",87
"art",86
"o2011-",86
"paid",86
"amount",85
"provision",85
"amended",84
"place",84
"sprinkler",84
"county",83
"provide",83
"approval",82
"clerk",82
"plan",82
"statutory",82
"administrative",81
"authority",81
"follows",81
"issued",81
"subject",81
"thereof",79
"action",78
"hearing",77
"include",77
"must",77
"o-",76
"persons",76
"approved",75
"connections",74
"established",74
"written",74
"agreement",73
"limits",73
"payment",73
"definitions",72
"due",72
"forth",72
"information",72
"adopted",71
"per",71
"town's",70
"utilities",70
"board",69
"cause",69
"emergency",68
"otherwise",68
"review",68
"costs",67
"hereby",67
"magistrate",67
"period",67
"special",67
"areas",66
"division",66
"inspection",66
"number",66
"title",66
"existing",65
"group",65
"conditions",64
"make",64
"prohibited",64
"herein",63
"purposes",63
"street",63
"agent",62
"located",62
"charge",61
"engineer",61
"first",61
"premises",61
"waste",61
"dwelling",60
"limited",60
"standard",60
"applications",59
"failure",59
"way",59
"effective",58
"event",58
"form",58
"members",58
"rules",58
"type",58
"vehicles",58
"equipment",57
"feet",57
"imposed",57
"less",57
"location",57
"operation",57
"report",57
"procedures",56
"commercial",55
"installation",55
"plans",55
"resolution",55
"systems",55
"unlawful",55
"additional",54
"appropriate",54
"available",54
"cost",54
"designated",54
"permits",54
"condition",53
"cross-reference",53
"also",52
"collection",52
"commission",52
"every",52
"line",52
"manner",52
"maricopa",52
"signs",52
"addition",51
"deemed",51
"defendant",51
"issuance",51
"reports",51
"least",50
"mains",50
"require",50
"wastes",50
"appeal",49
"marshal",49
"planning",49
"r-",49
"whether",49
"district",48
"marijuana",48
"request",48
"requires",48
"three",48
"unit",48
"another",47
"proposed",47
"read",47
"said",47
"violations",47
"contract",46
"corporation",46
"election",46
"permitted",46
"safety",46
"technical",46
"comply",45
"constitute",45
"exceed",45
"federal",45
"filed",45
"motor",45
"responsible",45
"access",44
"buildings",44
"medical",44
"case",43
"damage",43
"defined",43
"interpretation",43
"meeting",43
"powers",43
"record",43
"structure",43
"administration",42
"bond",42
"class",42
"contained",42
"containing",42
"reasonable",42
"terms",42
"act",41
"activities",41
"automatic",41
"day",41
"flow",41
"occupancies",41
"process",41
"records",41
"requirement",41
"specified",41
"square",41
"ch",40
"health",40
"manual",40
"sound",40
"complaint",39
"deposit",39
"devices",39
"elected",39
"inches",39
"maintain",39
"member",39
"parcel",39
"perform",39
"schedule",39
"specific",39
"users",39
"account",38
"improvements",38
"minimum",38
"misdemeanor",38
"pay",38
"procedure",38
"protection",38
"similar",38
"streets",38
"take",38
"two",38
"years",38
"customers",37
"either",37
"local",37
"main",37
"officers",37
"pool",37
"receiving",37
"removal",37
"sampling",37
"submitted",37
"categorical",36
"hours",36
"legal",36
"open",36
"plant",36
"serve",36
"submit",36
"writing",36
"collected",35
"customer's",35
"infraction",35
"name",35
"park",35
"police",35
"refund",35
"right",35
"amending",34
"charged",34
"file",34
"fully",34
"map",34
"materials",34
"remedies",34
"requested",34
"rights",34
"served",34
"subdivision",34
"total",34
"actual",33
"different",33
"effect",33
"expense",33
"fine",33
"indicates",33
"jurisdiction",33
"liability",33
"maintenance",33
"meters",33
"particular",33
"personal",33
"year",33
"attorney",32
"based",32
"filing",32
"funds",32
"limit",32
"maintained",32
"portion",32
"separate",32
"size",32
"source",32
"statement",32
"stop",32
"swimming",32
"times",32
"address",31
"basis",31
"context",31
"description",31
"determined",31
"house",31
"immediately",31
"individual",31
"install",31
"meaning",31
"road",31
"term",31
"units",31
"animals",30
"change",30
"clearly",30
"consumer",30
"enter",30
"extension",30
"fireworks",30
"north",30
"penalties",30
"prevent",30
"program",30
"punishable",30
"remove",30
"site",30
"taken",30
"user's",30
"valve",30
"care",29
"classification",29
"held",29
"issue",29
"meet",29
"modified",29
"monitoring",29
"permanent",29
"permission",29
"providing",29
"repair",29
"single-family",29
"specifications",29
"whenever",29
"extensions",28
"management",28
"maximum",28
"means",28
"properly",28
"quality",28
"registration",28
"right-of",28
"sale",28
"sign",28
"specifically",28
"agency",27
"appointed",27
"become",27
"demand",27
"designee",27
"determine",27
"discharges",27
"expenses",27
"level",27
"municipal",27
"nature",27
"offense",27
"partnership",27
"range",27
"receipt",27
"regular",27
"restrictions",27
"sections",27
"structures",27
"ten",27
"thereto",27
"throughout",27
"appeals",26
"chair",26
"changing",26
"common",26
"contain",26
"developer",26
"east",26
"firm",26
"full",26
"interference",26
"lien",26
"lot",26
"making",26
"meetings",26
"nfpa",26
