"Word","Freq"
"shall",3111
"city",2013
"section",1126
"may",888
"use",824
"public",746
"subd",686
"ordinance",616
"building",605
"district",571
"property",568
"within",561
"area",544
"feet",517
"council",511
"must",474
"required",467
"zoning",466
"permit",462
"lot",457
"page",451
"standards",442
"uses",431
"chapter",423
"requirements",420
"february",419
"plan",403
"following",401
"development",397
"application",392
"water",390
"facilities",365
"will",362
"land",352
"provided",343
"one",342
"site",338
"structure",322
"areas",321
"proposed",321
"street",319
"accessory",316
"parking",316
"person",297
"unit",294
"minimum",289
"including",287
"upon",284
"regulations",280
"applicant",278
"structures",278
"time",276
"design",270
"subject",267
"dwelling",266
"minnesota",265
"residential",264
"code",263
"state",263
"allowed",260
"subdivision",258
"provisions",255
"existing",252
"purpose",249
"sign",247
"commission",244
"system",240
"administrator",238
"materials",237
"owner",236
"principal",228
"provide",225
"include",224
"flood",222
"used",220
"space",214
"home",213
"buildings",210
"company",210
"general",210
"plat",210
"conditions",207
"located",203
"open",200
"notice",197
"approved",194
"access",190
"temporary",189
"approval",186
"permitted",185
"line",183
"signs",183
"streets",182
"compliance",180
"construction",178
"park",175
"corcoran",174
"days",174
"except",171
"license",170
"location",170
"vehicle",169
"county",168
"way",168
"necessary",167
"part",167
"commercial",164
"unless",164
"official",162
"conditional",159
"services",159
"written",157
"business",155
"date",155
"service",155
"districts",154
"minor",154
"natural",154
"planning",153
"private",153
"set",153
"equipment",150
"fee",150
"control",148
"permits",145
"premises",145
"information",144
"lots",144
"comply",143
"without",143
"wetland",139
"work",139
"least",138
"road",138
"storage",138
"buffer",137
"units",137
"defined",135
"prior",135
"limited",134
"animal",133
"health",133
"sewer",133
"violation",132
"new",131
"spaces",130
"applicable",128
"adjacent",127
"safety",127
"otherwise",126
"percent",124
"square",124
"emergency",122
"overlay",121
"parks",120
"front",119
"request",119
"also",118
"drainage",118
"family",118
"final",118
"map",118
"number",117
"performance",117
"comprehensive",116
"sale",116
"fire",114
"ord",114
"exterior",113
"systems",113
"passed",112
"review",112
"vehicles",112
"acres",110
"additional",110
"specific",110
"setback",109
"special",109
"considered",108
"accordance",107
"definitions",107
"issued",107
"elevation",106
"made",106
"order",106
"per",106
"size",105
"properties",104
"similar",104
"surface",104
"width",104
"designed",103
"management",103
"administrative",102
"ground",102
"specified",102
"year",102
"height",101
"lines",101
"means",101
"single",101
"less",100
"licensed",100
"exceed",99
"floor",99
"purposes",99
"right-of",99
"hearing",98
"meet",97
"retail",97
"form",96
"prohibited",96
"statutes",96
"years",96
"action",95
"interim",95
"type",95
"apply",94
"place",94
"require",94
"trails",94
"trees",94
"two",94
"appropriate",93
"high",93
"maintenance",93
"storm",93
"utility",93
"law",92
"improvements",91
"maximum",91
"tobacco",91
"wetlands",91
"community",90
"future",90
"procedures",90
"criteria",89
"fees",89
"persons",89
"preliminary",89
"administration",88
"established",88
"operation",88
"staff",88
"address",87
"plans",87
"rules",87
"attached",86
