"Word","Freq"
"shall",7912
"code",4643
"ord",3775
"city",3666
"covina",2303
"may",2097
"municipal",2067
"chapter",2027
"permit",2022
"public",1890
"property",1539
"title",1445
"person",1393
"section",1368
"required",1351
"cmc",1298
"building",1293
"ordinance",1255
"within",1230
"use",1197
"feet",1169
"provisions",1072
"area",1064
"current",1056
"provided",1014
"means",1006
"time",991
"business",972
"june",956
"parking",954
"passed",954
"council",949
"page",948
"upon",871
"notice",857
"application",855
"service",839
"appx",831
"following",799
"zone",750
"water",727
"director",726
"lot",714
"used",706
"one",691
"subject",683
"permitted",680
"pursuant",671
"tax",667
"street",649
"state",634
"days",632
"uses",623
"map",619
"hearing",616
"planning",590
"date",587
"set",586
"applicant",569
"plan",567
"including",566
"appeal",564
"alarm",549
"vehicle",546
"owner",539
"requirements",537
"safety",534
"less",530
"signs",526
"facilities",504
"buildings",500
"license",500
"sign",495
"structure",495
"violation",495
"development",493
"conditions",490
"health",485
"repealed",483
"regulations",479
"standards",478
"thereof",475
"line",474
"will",473
"police",471
"special",468
"california",463
"except",456
"system",455
"fee",452
"facility",451
"proposed",445
"applicable",442
"located",441
"private",434
"chief",431
"height",431
"forth",424
"commission",423
"amends",412
"residential",408
"approval",405
"department",404
"areas",402
"yard",402
"fees",398
"official",398
"apply",397
"land",394
"county",393
"event",393
"general",391
"made",388
"site",388
"purpose",386
"amended",385
"approved",382
"traffic",381
"include",380
"manager",380
"structures",379
"written",376
"order",374
"premises",374
"issued",372
"information",371
"persons",369
"review",362
"prior",358
"minimum",354
"place",354
"materials",353
"equipment",352
"existing",349
"prohibited",346
"way",346
"period",342
"location",340
"provide",340
"authorized",338
"otherwise",338
"construction",336
"law",336
"necessary",336
"unless",335
"limited",333
"accordance",331
"commercial",331
"permittee",331
"amount",330
"establishment",325
"vehicles",325
"control",323
"decision",319
"park",318
"subsection",316
"parcel",315
"sections",314
"square",310
"services",308
"number",307
"entertainment",304
"action",303
"walls",303
"said",301
"waste",300
"purposes",298
"officer",297
"part",293
"zoning1",293
"manner",291
"sale",291
"established",289
"space",287
"unit",287
"final",286
"side",286
"without",283
"act",280
"permits",278
"similar",278
"zoning",278
"abatement",276
"specified",276
"responsible",274
"must",270
"work",270
"resolution",269
"streets",269
"subdivision",267
"franchise",266
"request",266
"exceed",265
"two",264
"cause",262
"engineer",261
"costs",258
"defined",258
"first",256
"grantee",255
"compliance",250
"front",250
"administrator",245
"generally",245
"day",244
"highway",244
"administrative",243
"nuisance",242
"angeles",241
"los",241
"percent",240
"additional",238
"condition",237
"per",237
"deemed",234
"lots",234
"operation",233
"whether",233
"government",231
"maintained",231
"fire",230
"certificate",229
"body",226
"form",226
"address",225
"adds",224
"five",224
"access",221
"enforcement",221
"mean",221
"activities",220
"conditional",219
"charges",218
"industrial",218
"least",218
"hours",216
"storage",216
"material",215
"maintenance",214
"community",212
"dwelling",212
"reasonable",212
"comply",211
"device",211
"six",209
"operator",208
"sales",208
"utility",208
"provision",207
"real",206
"revocation",205
"definitions",202
"imposed",202
"designated",201
"issuance",201
"procedures",201
"removal",201
"ords",200
"name",199
"calendar",197
"every",196
"tentative",196
"three",196
"fences",195
"filed",195
"also",194
"filing",194
"new",194
"portion",194
"design",192
"report",192
"authority",189
"company",189
"make",189
"right",189
"adjacent",188
"require",186
"collection",184
"rear",184
"statement",182
"wall",182
"employee",181
"right-of",181
"art",180
"effective",180
"conduct",179
"emergency",179
"floor",179
"inspection",179
"licenses",179
"agreement",178
"abutting",177
"ch",176
"follows",176
"office",176
"agency",175
"evidence",175
"payment",174
"project",174
"addition",173
"maintain",173
"repair",173
"cost",172
"either",172
"lines",171
"welfare",171
"personnel",170
"security",170
"massage",168
"user",168
"determined",167
"width",167
"grantor",166
"herein",166
"legal",164
"local",164
"paid",164
"due",163
"loading",163
"employees",162
"intent",162
"division",161
"year",161
"discharge",160
"display",160
"off-street",159
"greater",158
"penalty",158
"yards",158
"alley",156
"cable",156
"activity",155
"failure",155
"retail",155
"unlawful",155
"avenue",154
"installation",154
"placed",154
"federal",153
"shopping",153
"interest",152
"registration",152
"suspension",152
"conducted",151
"open",151
"tree",151
"clerk",150
"copy",149
"devices",149
"adopted",148
"allowed",148
"district",148
"assessment",147
"case",147
"improvement",147
"maps",147
"noise",147
"zones",147
"change",146
"processing",146
"size",146
"advertising",145
"occupancy",145
"determination",144
"hazard",144
"communication",143
"connection",143
"hazardous",143
"limit",143
"pay",143
"plans",143
"record",143
"outdoor",142
"penalties",142
"submitted",142
"adult-oriented",141
"charge",141
"constitute",141
"corner",141
"corporation",141
"however",141
"separate",140
"considered",139
"designed",138
"improvements",138
"video",138
"maximum",137
"motor",137
"board",136
"includes",136
"landscape",136
"sidewalk",135
"complete",134
"erected",134
"rules",134
"violations",133
"codified",131
"occupant",131
"disposal",130
"appropriate",129
"denial",129
"finance",129
"court",128
"effect",128
"granted",128
