"Word","Freq"
"city",2626
"subd",1843
"shall",1501
"must",1463
"may",1441
"code",1254
"section",1217
"property",943
"feet",889
"license",853
"subdivision",819
"building",809
"council",809
"public",743
"crystal",719
"use",687
"ord",661
"permit",600
"subsection",594
"will",584
"person",567
"owner",556
"within",550
"provided",548
"rev",536
"sec",536
"required",503
"area",482
"application",468
"lot",466
"means",427
"amended",422
"zoning",422
"applicant",387
"street",381
"requirements",377
"premises",366
"upon",365
"minnesota",360
"following",343
"water",335
"business",334
"provisions",326
"sale",314
"one",308
"less",303
"state",301
"line",300
"exceed",299
"licensed",299
"days",277
"located",272
"parking",272
"time",269
"way",268
"structure",267
"including",266
"uses",260
"least",259
"facilities",258
"violation",257
"manager",251
"statutes",251
"added",249
"sign",248
"accordance",247
"flood",247
"fee",246
"notice",245
"necessary",242
"set",242
"part",241
"vehicle",234
"service",233
"used",229
"land",226
"structures",223
"plan",222
"r-",222
"licensee",218
"purpose",216
"areas",213
"permitted",213
"setback",213
"approved",212
"right-of",211
"dog",209
"applicable",208
"issued",208
"square",208
"dwelling",207
"except",205
"hearing",203
"general",199
"principal",199
"buildings",198
"proposed",198
"approval",197
"conditions",196
"information",196
"residential",196
"made",194
"subject",194
"location",193
"unless",193
"control",192
"date",192
"unlawful",192
"private",191
"compliance",190
"district",187
"vehicles",187
"side",186
"place",184
"site",183
"official",180
"purposes",178
"provide",176
"signs",176
"without",175
"liquor",171
"event",169
"minimum",168
"persons",168
"commission",167
"name",167
"fees",166
"rear",166
"development",165
"director",165
"facility",165
"prior",163
"materials",161
"construction",160
"fire",160
"accessory",159
"law",159
"health",157
"hours",157
"order",157
"police",156
"special",156
"officer",155
"storage",154
"number",151
"specified",151
"yard",151
"chapter",150
"clerk",150
"equipment",149
"two",149
"establishment",148
"system",148
"existing",146
"floor",146
"new",146
"authorized",143
"written",143
"limited",141
"manner",141
"request",141
"space",141
"standards",140
"pursuant",139
"year",139
"additional",138
"sewer",138
"adjacent",137
"department",137
"include",137
"board",136
"plat",136
"safety",134
"appendix",133
"period",133
"regulations",133
"open",132
"recreational",132
"per",131
"considered",130
"height",130
"conditional",129
"action",128
"insurance",128
"planning",126
"whether",126
"animal",125
"avenue",125
"operation",125
"defined",123
"determines",123
"charges",121
"prohibited",121
"traffic",121
"dwellings",120
"nuisance",119
"services",119
"unit",119
"final",118
"motor",117
"apply",116
"commercial",116
"width",116
"otherwise",115
"repair",115
"authority",114
"permits",114
"streets",114
"term",113
"work",112
"maintenance",111
"ordinance",111
"thereof",111
"designated",110
"north",110
"review",110
"comply",107
"address",105
"placed",105
"costs",104
"massage",104
"reasonable",104
"curb",101
"adopted",100
"condition",100
"years",100
"front",99
"make",99
"licenses",97
"failure",96
"terms",96
"amount",95
"appropriate",95
"case",95
"removal",95
"require",95
"access",94
"chief",94
"corporation",94
"portion",94
"responsible",94
"dangerous",93
"tower",93
"damage",92
"driveway",92
"ten",92
"met",91
"inches",90
"interest",90
"determined",89
"five",89
"form",89
"forth",89
