"Word","Freq"
"shall",1799
"town",843
"board",657
"section",509
"chapter",412
"may",392
"permit",360
"bylaw",335
"duxbury",324
"special",313
"feet",307
"use",289
"public",279
"development",276
"within",273
"site",272
"building",267
"land",248
"water",230
"district",228
"commission",222
"planning",215
"one",211
"general",208
"proposed",208
"existing",203
"zoning",199
"areas",198
"application",196
"appeals",189
"structure",189
"area",188
"required",179
"selectmen",178
"lot",175
"including",169
"plan",167
"provided",166
"requirements",164
"parking",163
"department",159
"following",154
"regulations",152
"structures",152
"space",151
"open",150
"provisions",150
"printed",149
"september",149
"location",145
"facility",144
"conservation",143
"property",139
"buildings",138
"by-laws",137
"protection",135
"officer",134
"upon",134
"person",132
"applicant",131
"time",129
"said",127
"construction",126
"enforcement",126
"uses",125
"committee",123
"housing",123
"article",120
"residential",120
"authority",119
"facilities",119
"dwelling",115
"revised",112
"include",111
"meeting",110
"service",110
"state",108
"approved",105
"two",105
"acts",104
"design",104
"purpose",103
"business",102
"map",102
"used",101
"atm",100
"subject",99
"will",99
"act",98
"affordable",98
"days",98
"wind",98
"accordance",97
"permitted",97
"way",97
"manager",96
"three",95
"unit",94
"units",94
"information",92
"line",92
"fire",90
"minimum",90
"",89
"review",85
"access",84
"approval",84
"wireless",84
"year",83
"number",82
"overlay",82
"wetlands",82
"police",81
"provide",81
"square",81
"by-law",80
"control",80
"signs",80
"height",79
"sign",79
"located",78
"hundred",77
"natural",77
"new",77
"applicable",75
"except",75
"local",75
"standards",75
"drainage",74
"members",71
"sec",71
"unless",71
"office",70
"health",69
"owner",69
"planned",69
"services",68
"set",68
"date",67
"exceed",67
"limited",67
"street",67
"community",66
"maximum",66
"telecommunications",66
"accessory",65
"necessary",65
"conditions",64
"license",64
"lots",64
"apply",63
"written",63
"common",62
"established",62
"made",62
"report",62
"community-scale",61
"five",61
"prior",61
"accepted",60
"activities",60
"defined",60
"less",60
"materials",60
"supply",60
"without",60
"disposal",59
"removal",59
"hearing",58
"laws",58
"years",58
"neighborhood",57
"notice",57
"per",57
"adjacent",56
"granting",56
"require",55
"subdivision",55
"determined",54
"least",54
"otherwise",54
"private",54
"provision",54
"appropriate",53
"storage",53
"system",53
"ten",53
"ways",53
"must",52
"amended",51
"compliance",51
"law",51
"surface",51
"tower",51
"traffic",51
"type",51
"ground",50
"thereof",50
"appointed",49
"clerk",49
"maintenance",49
"massachusetts",49
"order",49
"premises",49
"issued",48
"purposes",48
"recommendations",48
"work",48
"constructed",47
"duties",47
"march",47
"pursuant",47
"systems",47
"alteration",46
"case",46
"districts",46
"equipment",46
"lines",46
"management",46
"offense",46
"trees",46
"violation",46
"authorized",45
"chief",45
"decision",45
"fund",45
"period",45
"pier",45
"road",45
"safety",45
"spaces",45
"certificate",44
"coverage",44
"plans",44
"protect",44
"submit",44
"certain",43
"change",43
"exterior",43
"manner",43
"streets",43
"submitted",43
"terms",43
"vegetation",43
"vote",43
"addition",42
"agency",42
"also",42
"applications",42
"copy",42
"designed",42
"director",42
"sale",42
"showing",42
"shown",42
"six",42
"term",42
"first",41
"make",41
"procedures",41
"additional",40
"aquifer",40
"capacity",40
"effective",40
"either",40
"herein",40
"part",40
"persons",40
"architectural",39
"forth",39
"issuance",39
"permits",39
"portion",39
"restriction",39
"emergency",38
"features",38
"improvements",38
"percent",38
"place",38
"preservation",38
"registered",38
"responsible",38
"rules",38
"annual",37
"designated",37
"federal",37
"flood",37
"request",37
"size",37
"specified",37
"total",37
"fee",36
"lighting",36
"properties",36
"setback",36
"specific",36
"clearing",35
"committees",35
"considered",35
"developments",35
"distance",35
"environmental",35
"fiscal",35
"july",35
"municipal",35
"providing",35
"right",35
"width",35
"works",35
"action",34
"boards",34
"determination",34
"fees",34
"maintain",34
"mgl",34
"officers",34
"tree",34
"advisory",33
"agricultural",33
"file",33
"finance",33
"greater",33
"hazard",33
"historic",33
"intensity",33
"sections",33
"submission",33
"ch",32
"court",32
"day",32
"deemed",32
"erosion",32
"receipt",32
"resources",32
"separate",32
"vehicle",32
"whether",32
"amount",31
"cause",31
"condition",31
"granted",31
"maintained",31
"meet",31
"prohibited",31
"reasonable",31
"related",31
"single",31
"stm",31
"analysis",30
"based",30
"commercial",30
"criminal",30
"definitions",30
"determine",30
"fifty",30
