"Word","Freq"
"shall",3247
"city",2199
"code",1037
"may",967
"prior",829
"public",799
"property",722
"permit",564
"council",535
"use",528
"person",511
"within",501
"required",481
"chapter",459
"passed",445
"building",441
"street",439
"water",436
"department",393
"sign",374
"upon",367
"area",356
"will",356
"feet",355
"section",351
"ord",332
"provisions",332
"notice",329
"zoning",323
"dr",319
"provided",319
"plan",309
"construction",298
"violation",295
"application",284
"one",280
"time",279
"general",270
"fee",266
"requirements",264
"owner",263
"development",261
"ave",256
"service",256
"sewer",255
"manager",238
"approved",237
"streets",236
"land",233
"el",232
"signs",230
"following",228
"plat",228
"regulations",228
"business",227
"purpose",227
"approval",226
"rd",221
"facilities",220
"parking",220
"st",218
"necessary",215
"site",212
"way",212
"lot",208
"traffic",208
"mirage",206
"subdivision",202
"days",201
"except",199
"including",199
"improvements",197
"ln",197
"state",196
"unless",196
"used",195
"date",194
"license",194
"services",193
"vehicle",193
"hearing",190
"set",190
"areas",189
"commission",187
"court",184
"penalty",183
"structure",183
"residential",182
"per",179
"planning",179
"final",174
"permitted",173
"system",173
"fire",168
"subject",167
"fees",165
"applicant",162
"uses",162
"conditions",161
"subchapter",161
"accordance",160
"minimum",160
"include",156
"line",156
"made",156
"part",154
"director",151
"authorized",150
"designee",150
"safety",150
"storm",148
"private",146
"control",144
"costs",144
"police",144
"standards",144
"located",143
"review",143
"information",142
"ordinance",142
"provide",142
"see",142
"encroachment",141
"issued",141
"office",139
"two",139
"work",139
"location",138
"pursuant",138
"industrial",136
"height",134
"written",132
"less",131
"apply",130
"forth",130
"ordinances",130
"must",129
"arizona",128
"amount",127
"materials",127
"officer",127
"proposed",126
"works",126
"applicable",125
"division",125
"otherwise",125
"without",125
"existing",124
"appeal",123
"place",123
"right-of",122
"animal",121
"cause",121
"health",118
"board",117
"civil",117
"established",117
"buildings",116
"vehicles",116
"adopted",115
"law",115
"enforcement",114
"plans",114
"three",114
"maintenance",113
"permits",113
"equipment",110
"lines",110
"period",110
"adjacent",109
"emergency",109
"inspection",109
"access",108
"cost",108
"minor",108
"res",108
"exceed",107
"user",107
"action",106
"engineer",105
"maximum",105
"responsible",105
"submitted",105
"county",104
"zone",104
"clerk",103
"designated",103
"least",102
"mayor",102
"special",102
"compliance",101
"order",101
"premises",101
"structures",101
"commercial",100
"drainage",100
"home",100
"class",99
"herein",98
"require",98
"discharge",97
"request",97
"square",97
"space",96
"limited",95
"number",95
"resolution",95
"authority",94
"hereby",94
"duties",93
"persons",93
"preliminary",93
"unit",93
"unlawful",92
"facility",91
"sale",91
"agreement",90
"comply",90
"improvement",90
"definitions",89
"manner",89
"purposes",89
"additional",88
"appropriate",88
"deemed",88
"design",88
"first",88
"make",88
"open",88
"process",88
"determined",87
"developer",87
"permittee",87
"whether",86
"127th",85
"also",85
"new",85
"thereof",85
"utility",85
"similar",84
"addition",83
"chief",83
"district",83
"name",83
"operation",83
"specified",83
"prohibited",82
"wall",82
"event",81
"park",81
"condition",80
"day",80
"hours",80
"maintained",80
"city's",79
"placed",79
"connection",78
"designed",78
"major",78
"welfare",78
"full",77
"lots",77
"portion",77
"principal",77
"spaces",77
"specifications",77
"arterial",76
"determine",76
"legal",76
"maintain",76
"material",76
"temporary",76
"ft",75
"file",74
"installation",74
"reasonable",74
"copy",73
"reference",73
"agent",72
"constructed",72
"damage",72
"every",72
"flood",72
"motor",72
"noise",72
"provision",72
"allowed",71
"either",71
"issuance",71
"side",70
"charges",69
"landscape",69
"off-site",69
"rules",69
"size",69
"surface",69
"five",68
"storage",68
"activities",67
"administrator",67
"assembly",67
"backflow",67
"considered",67
"limits",67
"local",67
"right",67
"yard",67
"fine",66
"front",66
"management",66
"highway",65
"parcel",65
"community",64
"decision",64
"installed",64
"nature",64
"payment",64
"six",64
"title",64
"total",64
"form",63
"pay",63
"granted",62
"individual",62
"personal",62
"violations",62
"animals",61
"assessment",61
"cul-de",61
"imposed",61
"landscaping",61
"o11-",61
"official",61
"telecommunications",61
"act",60
"amendments",60
"members",60
"procedures",60
"project",60
"rights-of",60
"sac",60
"type",60
"year",60
"accessory",59
"address",59
"dwelling",59
"providing",59
"responsibility",59
"based",58
"charge",58
"clearly",58
"employee",58
"intended",58
"interest",58
"mobile",58
"performance",58
"potw",58
"prevention",58
"requires",58
"specific",58
"standard",58
"conditional",57
"effective",57
"reimbursement",57
"utilities",57
"width",57
"writing",57
"base",56
"basis",56
"cable",56
"effect",56
"federal",56
"ground",56
"inches",56
"treatment",56
"waste",56
"bond",55
"defined",55
"failure",55
"international",55
"main",55
"map",55
"officers",55
"terms",55
"adjustment",54
"certain",54
"four",54
"judge",54
"jurisdiction",54
"roadway",54
"sidewalk",54
"however",53
"immediately",53
"o08-",53
"owners",53
"pavement",53
"procedure",53
"program",53
"road",53
"change",52
"described",52
"different",52
"dust",52
"floor",52
"intent",52
"maricopa",52
"offense",52
"protection",52
"record",52
"report",52
"together",52
"years",52
"administrative",51
"adult",51
"assessed",51
"containers",51
"party",51
"systems",51
"129th",50
"attorney",50
"case",50
"constitute",50
"frontage",50
"obtain",50
"paid",50
"result",50
"truck",50
"activity",49
"actual",49
"administration",49
"contained",49
"evidence",49
"indicates",49
"loading",49
"term",49
"abandoned",48
"art",48
"available",48
"includes",48
"insurance",48
"meter",48
"peace",48
"perform",48
"permanent",48
"removal",48
"retention",48
"130th",47
"along",47
"applications",47
"due",47
"expense",47
"filed",47
"removed",47
"repair",47
"supply",47
"walls",47
"agreements",46
"devices",46
"kept",46
"rear",46
"supplement",46
"acceptance",45
"alley",45
"allow",45
"approve",45
"context",45
"corporation",45
"direct",45
"generally",45
"issue",45
"meeting",45
"municipal",45
"o10-",45
"potential",45
"prescribed",45
"records",45
"refuse",45
"separate",45
"ten",45
"acres",44
"collection",44
"common",44
"completion",44
"copies",44
"declared",44
"financial",44
"given",44
"landscaped",44
"means",44
"off-street",44
"real",44
"school",44
"specifically",44
"take",44
"trees",44
"124th",43
"accelerated",43
"alarm",43
"amendment",43
"businesses",43
"consumer",43
"contain",43
"contract",43
"employees",43
"ensure",43
"misdemeanor",43
"outside",43
"ownership",43
"received",43
"restrictions",43
"statutory",43
"changes",42
"election",42
"greater",42
"meaning",42
"occupancy",42
"requirement",42
"served",42
"sewage",42
"staff",42
"zones",42
"adequate",41
"found",41
"graffiti",41
"hazard",41
"owned",41
"properties",41
"related",41
"serve",41
"adoption",40
"attached",40
"can",40
"developed",40
"distance",40
"easements",40
"establishment",40
"nr",40
"processing",40
"proper",40
"properly",40
"quality",40
"tower",40
"units",40
"users",40
"air",39
"benefit",39
"certificate",39
"criminal",39
"fence",39
"incurred",39
"liability",39
"overlay",39
"present",39
"prevent",39
"recreational",39
"variance",39
"agency",38
"citation",38
"collector",38
"communication",38
"dog",38
"done",38
"flow",38
"install",38
"items",38
