"Word","Freq"
"shall",8123
"city",5261
"everett",3342
"section",2766
"may",2096
"feet",1667
"building",1493
"part",1483
"public",1434
"permit",1433
"use",1413
"council",1362
"street",1350
"within",1345
"ordinances",1337
"current",1207
"passed",1190
"february",1188
"ordinance",1184
"page",1175
"legislation",1163
"bylaws",1154
"revised",1118
"board",1111
"parking",1063
"area",1002
"special",967
"person",960
"required",917
"lot",908
"one",887
"provided",843
"proposed",831
"water",808
"development",807
"application",795
"line",789
"authority",783
"chapter",766
"plan",761
"ord",759
"including",754
"site",707
"following",695
"property",687
"provisions",679
"department",672
"applicant",650
"upon",628
"uses",617
"order",613
"time",609
"clerk",605
"accordance",598
"requirements",590
"used",589
"district",570
"business",565
"except",549
"will",549
"general",547
"project",542
"owner",533
"office",525
"buildings",523
"subject",514
"storm",513
"zoning",512
"services",494
"approval",490
"minimum",489
"residential",484
"construction",483
"include",481
"mayor",480
"state",477
"located",476
"days",467
"yard",467
"notice",457
"two",457
"regulations",451
"dwelling",450
"review",445
"structure",442
"fee",440
"date",439
"land",438
"massachusetts",437
"sp",432
"existing",428
"three",426
"areas",425
"permitted",419
"approving",416
"committee",414
"purpose",413
"hearing",412
"said",412
"hundred",406
"violation",405
"commission",401
"limited",398
"least",392
"signs",391
"vehicle",391
"code",389
"compliance",382
"height",382
"along",379
"rule",375
"must",374
"space",373
"exceed",372
"ch",369
"laws",365
"police",365
"service",364
"facilities",363
"purposes",363
"without",362
"fire",361
"premises",357
"management",356
"materials",356
"point",355
"vehicles",355
"issued",354
"five",350
"ords",349
"rev",349
"act",344
"health",344
"facility",343
"traffic",343
"square",342
"member",341
"license",337
"conditions",335
"sign",335
"side",331
"law",326
"unless",325
"floor",324
"way",324
"director",322
"system",320
"persons",319
"control",315
"vote",315
"open",314
"intersection",313
"provide",313
"standards",311
"front",310
"decision",305
"necessary",305
"location",304
"spga",304
"number",302
"rules",302
"officer",301
"thereof",301
"means",292
"work",292
"safety",290
"total",289
"pt",285
"first",282
"meeting",279
"less",277
"maintenance",276
"access",274
"members",273
"school",273
"change",272
"copy",271
"design",267
"streets",266
"new",265
"made",262
"chief",261
"years",261
"a0173-",259
"set",259
"year",255
"pursuant",254
"otherwise",253
"written",253
"structures",250
"ten",250
"information",245
"require",245
"applicable",244
"running",241
"designed",240
"approved",237
"term",237
"broadway",234
"period",232
"surface",232
"accessory",231
"landscaping",229
"make",229
"motor",228
"authorized",227
"filed",227
"spaces",226
"prior",225
"article",224
"duties",224
"provision",224
"appropriate",223
"storage",223
"establishment",217
"charter",215
"place",214
"planning",214
"maximum",213
"case",212
"every",211
"day",210
"per",210
"allowed",209
"boundary",209
"report",208
"municipal",207
"fees",206
"commercial",205
"inspector",205
"sale",204
"form",203
"units",203
"deemed",202
"name",200
"appeals",199
"manner",199
"measures",199
"center",198
"enforcement",198
"file",198
"plans",198
"responsible",198
"turning",198
"activities",197
"administrative",197
"fifty",197
"defined",196
"industrial",196
"interest",194
"cost",193
"rear",193
"pedestrian",192
"drainage",191
"percent",190
"grant",189
"action",188
"court",188
"costs",187
"thirty",187
"distance",186
"cause",185
"certificate",184
"also",183
"providing",183
"width",183
"operation",182
"six",182
"end",181
"right",180
"final",179
"designated",178
"marijuana",177
"amended",176
"established",176
"repair",175
"agent",174
"districts",172
"request",172
"forth",171
"map",171
"registered",170
"specified",170
"40a",169
"wall",169
"permits",168
"appeal",167
"federal",166
"amount",165
"unit",165
"erosion",164
"lighting",164
"activity",163
"home",163
"lines",163
"measure",163
"appointed",162
"held",161
"civil",160
"overlay",160
"officers",159
"given",158
"serve",158
"determined",157
"granted",157
"regular",155
"adult",154
"appointment",154
"employees",154
"ensure",154
"hours",154
"effect",153
"local",153
"matter",153
"adjacent",152
"apply",152
"condition",152
"emergency",152
"frontage",152
"measured",152
"level",151
"body",150
"direction",150
"completed",149
"private",149
"reference",149
"employee",148
"size",148
"disturbance",147
"engineer",147
"failure",147
"issuance",147
"lots",146
"certified",145
"licensed",145
"material",144
"submit",144
"legal",143
"protection",143
"submitted",143
"additional",142
"roof",142
"commonwealth",141
"election",141
"sewer",141
"improvements",139
"take",139
"address",138
"garage",138
"prohibited",138
"twenty",138
"waste",138
"determination",137
"intended",137
"animal",136
"family",136
"granting",136
"seven",136
"statement",134
"fine",133
"four",133
"powers",133
"acts",132
"avenue",132
"table",132
"agreement",131
"alteration",131
"annual",131
"filing",131
"reasonable",131
"receipt",131
"ground",130
"removal",130
"specific",130
"thousand",130
"referred",129
"dollars",128
"professional",128
"similar",128
"herein",127
"medical",127
"certain",126
"extent",126
"sections",126
"sidewalks",126
"president",125
"received",125
"temporary",125
"whether",125
"division",124
"impacts",124
"park",124
"available",123
"consultant",123
"principal",123
"schedule",123
"definitions",122
"addition",121
"comply",121
"inspection",121
"orders",121
"writing",121
"either",120
"portion",120
"ways",120
"based",119
"flood",119
"retail",119
"another",117
"executive",117
"full",117
"revere",117
"includes",116
"issue",116
"prevent",116
"southerly",116
"dog",115
"meetings",115
"outside",115
"procedures",115
"alarm",114
