"Word","Freq"
"shall",213
"ord",130
"amd",128
"landscape",94
"feet",87
"required",74
"trees",63
"minimum",60
"parking",60
"tree",57
"areas",49
"plant",46
"height",45
"area",42
"existing",42
"development",41
"requirements",40
"landscaping",39
"site",39
"use",38
"irrigation",37
"may",36
"water",35
"planted",34
"islands",33
"section",31
"within",31
"species",29
"adjacent",28
"land",28
"regulations",28
"used",28
"delray",27
"planting",27
"beach",26
"blank",24
"fl",24
"materials",24
"pm",24
"provided",23
"vehicular",23
"must",22
"standards",22
"one",21
"property",21
"way",21
"percent",20
"plan",19
"will",19
"family",18
"landscaped",18
"less",18
"native",18
"city",17
"ground",17
"located",17
"perimeter",17
"right-of",17
"screened",17
"spaces",17
"five",16
"grass",16
"properties",16
"single",16
"street",16
"island",15
"maintained",15
"shrubs",14
"systems",14
"width",14
"building",13
"design",13
"hedge",13
"installed",13
"provide",13
"review",13
"soil",13
"spread",13
"applicable",12
"code",12
"commercial",12
"communities",12
"florida",12
"hedges",12
"industrial",12
"palms",12
"preservation",12
"strip",12
"units",12
"appearance",11
"equipment",11
"every",11
"including",11
"line",11
"lot",11
"off-street",11
"overall",11
"palm",11
"permitted",11
"preserved",11
"shade",11
"six",11
"appropriate",10
"board",10
"covers",10
"following",10
"grade",10
"interior",10
"maintenance",10
"management",10
"mature",10
"number",10
"proposed",10
"requirement",10
"time",10
"addition",9
"additional",9
"coverage",9
"depth",9
"eight",9
"foundation",9
"free",9
"inches",9
"lawn",9
"meet",9
"new",9
"pavement",9
"permit",9
"residential",9
"show",9
"spacing",9
"trunk",9
"abutting",8
"barrier",8
"canopy",8
"commonly",8
"conditions",8
"encouraged",8
"material",8
"mulches",8
"per",8
"plantings",8
"providing",8
"require",8
"screening",8
"specifications",8
"system",8
"zoning",8
"applied",7
"clear",7
"consistent",7
"department",7
"district",7
"duplex",7
"duplexes",7
"edge",7
"encroachment",7
"exceed",7
"forth",7
"fully",7
"include",7
"installation",7
"instances",7
"known",7
"low",7
"maximum",7
"multi-family",7
"plans",7
"portion",7
"prior",7
"prohibited",7
"provisions",7
"screen",7
"set",7
"shrubbery",7
"size",7
"sod",7
