"Word","Freq"
"shall",321
"tree",205
"trees",141
"landscape",117
"area",113
"required",95
"feet",87
"minimum",83
"requirements",76
"irrigation",73
"may",73
"street",71
"use",70
"landscaping",64
"land",61
"species",57
"areas",56
"c-",54
"one",54
"ord",54
"percent",51
"development",50
"parking",49
"plant",48
"planting",47
"vua",46
"water",45
"used",44
"department",43
"site",40
"section",39
"city",37
"existing",36
"planted",36
"square",36
"system",36
"soil",35
"inches",34
"located",33
"within",33
"code",32
"plants",32
"property",32
"provided",32
"standards",32
"fort",31
"lauderdale",31
"blank",29
"fl",29
"height",29
"plan",29
"pm",29
"unified",29
"florida",28
"twenty",27
"location",26
"perimeter",26
"permit",26
"public",25
"removal",25
"systems",25
"equivalent",24
"parcel",24
"size",24
"owner",23
"canopy",22
"determined",22
"following",22
"palm",22
"upon",22
"accordance",21
"installation",21
"least",21
"replacement",21
"three",21
"adjacent",20
"installed",20
"maintained",20
"sec",20
"shade",20
"spaces",20
"diameter",19
"landscaped",19
"provide",19
"will",19
"design",18
"natural",18
"per",18
"removed",18
"two",18
"vehicular",18
"shrubs",17
"ten",17
"thirty",17
"four",16
"ground",16
"line",16
"meet",16
"must",16
"native",16
"based",15
"designed",15
"inch",15
"less",15
"structures",15
"time",15
"wood",15
"abutting",14
"appropriate",14
"maintenance",14
"proposed",14
"requirement",14
"right-of",14
"south",14
"total",14
"trunk",14
"value",14
"way",14
"approval",13
"building",13
"except",13
"fifty",13
"florida-friendly",13
"formerly",13
"include",13
"including",13
"island",13
"lot",13
"materials",13
"note",13
"number",13
"root",13
"turf",13
"approved",12
"conditions",12
"construction",12
"damage",12
"dicot",12
"grade",12
"interior",12
"six",12
"thereof",12
"twenty-five",12
"without",12
"caliper",11
"days",11
"designated",11
"eight",11
"every",11
"five",11
"limited",11
"material",11
"necessary",11
"paving",11
"peninsular",11
"purpose",11
"similar",11
"turfgrass",11
"zoning",11
"also",10
"applicable",10
"district",10
"first",10
"footage",10
"gross",10
"mulch",10
"one-half",10
"palms",10
"residential",10
"row",10
"service",10
"spread",10
"unless",10
"addition",9
"along",9
"application",9
"arbor",9
"avenue",9
"class",9
"encouraged",9
"family",9
"front",9
"greater",9
"high",9
"irrigated",9
"large",9
"live",9
"mature",9
"otherwise",9
"pervious",9
"pest",9
"plans",9
"pressure",9
"principles",9
"provisions",9
"regulations",9
"sabal",9
"structure",9
"subject",9
"uses",9
"utilized",9
"walls",9
"adequate",8
"amended",8
"conifer",8
"districts",8
"fences",8
"foot",8
"general",8
"hundred",8
"hydrozones",8
"lines",8
"lots",8
"management",8
"maximum",8
"measured",8
"oak",8
"owners",8
"parcels",8
"placed",8
"prevent",8
"prior",8
"pursuant",8
"quercus",8
"specifications",8
"table",8
"twelve",8
"vegetation",8
"virginiana",8
"west",8
"yard",8
"a-",7
"abuse",7
"accepted",7
"access",7
"american",7
"around",7
"carpentaria",7
"communities",7
"comply",7
"considered",7
"control",7
"cost",7
"cover",7
"coverage",7
"current",7
"depth",7
"directly",7
"dollars",7
"east",7
"equipment",7
"established",7
"fifteen",7
"improvements",7
"institute",7
"landscapes",7
"low",7
"monocot",7
"national",7
"part",7
"plantings",7
"portion",7
"precipitation",7
"properties",7
"protected",7
"published",7
"purposes",7
"replaced",7
