"Word","Freq"
"shall",65
"trees",36
"feet",32
"irrigation",24
"water",23
"areas",21
"minimum",21
"tree",19
"area",18
"required",16
"plant",15
"inch",13
"less",12
"may",12
"planted",12
"use",12
"planting",11
"plants",11
"square",11
"turfgrass",11
"district",10
"four",10
"credits",9
"lot",9
"one",9
"ord",9
"preserved",9
"site",9
"species",9
"zone",9
"jacksonville",8
"landscape",8
"requirements",8
"shade",8
"system",8
"trunk",8
"caliper",7
"code",7
"inches",7
"natural",7
"palm",7
"percent",7
"provided",7
"spread",7
"two",7
"used",7
"blank",6
"communities",6
"credited",6
"designed",6
"every",6
"except",6
"fl",6
"materials",6
"mulch",6
"ordinances",6
"pm",6
"shrubs",6
"standards",6
"within",6
"zones",6
"crown",5
"excluding",5
"existing",5
"florida",5
"height",5
"landscaping",5
"located",5
"mature",5
"native",5
"palms",5
"subpart",5
"systems",5
"table",5
"using",5
"average",4
"bodies",4
"commercial",4
"coverage",4
"criteria",4
"design",4
"eight",4
"facilities",4
"general",4
"grass",4
"ground",4
"grouped",4
"high",4
"landscaped",4
"material",4
"maximum",4
"pavement",4
"portion",4
"preserve",4
"property",4
"residential",4
"section",4
"size",4
"soil",4
"supplemental",4
"therefrom",4
"thereof",4
"tolerant",4
"upon",4
"according",3
"applied",3
"appropriate",3
"clear",3
"closer",3
"construction",3
"controlled",3
"dimension",3
"drought",3
"florida-friendly",3
"foot",3
"heads",3
"location",3
"measured",3
"meet",3
"micro",3
"office",3
"per",3
"placed",3
"plan",3
"prohibited",3
"protection",3
"provide",3
"public",3
"quality",3
"rainfall",3
"similar",3
"single",3
"survive",3
"total",3
"understory",3
"way",3
"automatic",2
"backflow",2
"bmps",2
"buildings",2
"can",2
"center",2
"chief",2
"city",2
"conditions",2
"cover",2
"create",2
"dbh",2
"department",2
"device",2
"disturbed",2
"drainage",2
"dwelling",2
"edge",2
"efficient",2
"either",2
"equivalent",2
"exceed",2
"family",2
"following",2
"gravel",2
"groundcover",2
"head",2
"highly",2
"home",2
"identify",2
"include",2
"including",2
"indicated",2
"individual",2
"invasive",2
"irrigated",2
"larger",2
"layer",2
"limited",2
"line",2
"low",2
"lowest",2
"maintain",2
"maintained",2
"manner",2
"mobile",2
"multi-trunk",2
"needs",2
