"Word","Freq"
"shall",3413
"town",1869
"ch",1514
"art",1474
"code",1213
"may",1040
"passed",1015
"ord",1007
"public",990
"prior",952
"water",744
"service",649
"development",645
"within",612
"property",610
"use",609
"feet",553
"license",525
"required",525
"person",524
"area",514
"council",498
"business",457
"chapter",446
"permit",442
"will",438
"building",423
"street",411
"director",398
"application",375
"upon",360
"provided",358
"system",355
"following",341
"uses",336
"time",334
"facilities",332
"sign",326
"provisions",318
"requirements",318
"state",313
"including",310
"must",309
"one",308
"department",306
"section",296
"construction",291
"lot",291
"see",289
"fee",284
"land",273
"licensee",271
"used",271
"fees",268
"minimum",264
"applicant",263
"signs",263
"waste",261
"district",258
"parking",258
"approved",257
"sewer",253
"days",251
"fire",249
"zoning",249
"purpose",248
"permitted",247
"violation",247
"plan",246
"owner",245
"services",239
"notice",232
"commission",229
"regulations",229
"general",225
"location",225
"division",224
"medical",222
"necessary",221
"approval",218
"police",218
"except",217
"areas",216
"subject",215
"planning",213
"proposed",211
"vehicle",210
"date",208
"unless",206
"buildings",203
"penalty",203
"review",201
"standards",200
"include",199
"special",198
"provide",197
"municipality",193
"facility",192
"residential",191
"existing",190
"event",188
"commercial",187
"authorized",186
"premises",186
"part",182
"plat",182
"site",181
"subdivision",180
"applicable",179
"wastewater",179
"alarm",178
"height",178
"manager",178
"solid",178
"works",178
"board",177
"located",177
"private",175
"streets",175
"number",174
"square",172
"way",170
"design",169
"traffic",168
"made",165
"otherwise",160
"space",159
"persons",157
"office",154
"pursuant",154
"line",153
"per",153
"information",152
"cable",150
"florence",150
"apply",149
"hearing",149
"set",148
"period",147
"without",146
"place",145
"marijuana",144
"developer",141
"structure",141
"accordance",139
"connection",139
"impact",139
"maximum",139
"order",138
"specified",137
"new",136
"appeal",135
"charge",134
"equipment",134
"written",133
"chief",132
"amount",131
"less",131
"issued",130
"conditions",129
"final",129
"improvements",129
"law",129
"main",129
"plans",129
"agreement",128
"limited",128
"open",128
"responsible",128
"safety",128
"two",128
"work",128
"control",126
"side",126
"unlawful",125
"schedule",124
"operation",123
"health",122
"park",122
"request",122
"similar",122
"name",121
"access",120
"emergency",119
"meter",119
"adjacent",117
"maintenance",116
"cause",115
"industrial",115
"three",115
"compliance",114
"placed",114
"whether",113
"charges",112
"collection",112
"ordinances",112
"authority",111
"rules",111
"additional",109
"customer",109
"least",109
"manner",109
"structures",109
"established",108
"make",108
"designee",107
"enforcement",107
"materials",107
"unit",107
"assembly",106
"exceed",106
"vehicles",106
"committee",105
"cost",105
"duties",105
"sale",105
"county",104
"lines",104
"officer",104
"prohibited",104
"preliminary",103
"purposes",102
"utility",102
"day",101
"material",101
"right",99
"official",98
"paid",98
"reference",98
"defined",97
"thereof",97
"right-of",95
"also",94
"appropriate",94
"court",94
"home",94
"adopted",93
"costs",92
"herein",92
"hours",92
"installation",92
"reasonable",92
"size",92
"designated",91
"form",91
"forth",90
"yard",90
"community",89
"specifications",89
"first",88
"inches",88
"supply",88
"town's",88
"address",87
"historic",87
"title",87
"installed",86
"ordinance",86
"ten",86
"act",85
"action",85
"addition",85
"definitions",85
"pay",85
"recreational",85
"due",84
"maintained",84
"municipal",84
"maintain",82
"wall",82
"case",81
"clerk",81
"districts",81
"either",81
"employee",81
"interest",81
"meeting",81
"members",81
"report",81
"require",81
"temporary",81
"civil",80
"dwelling",80
"engineer",80
"front",80
"intended",80
"constructed",79
"issuance",79
"lots",79
"repair",79
"every",78
"includes",78
"portion",78
"type",78
"inspection",77
"designed",75
"payment",75
"width",75
"comply",74
"condition",74
"conditional",74
"conduct",74
"establishment",74
"individual",74
"recreation",74
"separate",74
"fine",73
"systems",73
"allowed",72
"decision",72
"discharge",72
"landscape",72
"oriented",72
"six",72
