"Word","Freq"
"shall",1861
"town",1798
"section",827
"may",570
"code",524
"amended",515
"fountain",453
"hills",449
"person",434
"license",431
"public",404
"property",399
"within",392
"article",390
"development",371
"council",362
"page",343
"service",328
"licensee",284
"means",283
"required",251
"business",249
"permit",244
"upon",235
"provided",233
"chapter",231
"fee",228
"services",225
"manager",218
"event",212
"special",211
"time",209
"use",208
"authorized",200
"notice",200
"state",200
"including",187
"alarm",186
"days",186
"fees",186
"pursuant",184
"violation",184
"construction",182
"impact",182
"applicant",178
"application",177
"following",176
"system",175
"facilities",173
"will",171
"law",170
"agent",168
"subsection",166
"must",160
"vehicle",158
"necessary",157
"one",156
"date",155
"area",153
"building",152
"provisions",152
"set",150
"issued",148
"subject",144
"added",142
"provide",141
"agreement",140
"owner",138
"prior",138
"forth",136
"flood",134
"regulations",129
"court",128
"cable",127
"designee",127
"reserved",127
"requirements",126
"plan",124
"enforcement",123
"except",123
"part",122
"collection",121
"ordinance",121
"unless",119
"used",119
"amount",118
"procurement",118
"structure",118
"fire",112
"without",111
"approved",110
"control",110
"private",110
"capital",108
"number",108
"applicable",107
"request",107
"sections",107
"place",106
"facility",103
"purpose",103
"hearing",102
"include",101
"otherwise",101
"existing",100
"way",99
"work",98
"traffic",97
"waste",97
"residential",96
"land",94
"department",93
"accordance",92
"duties",92
"water",92
"emergency",91
"improvements",91
"written",91
"parking",90
"office",89
"street",88
"vehicles",88
"period",87
"adopted",86
"information",86
"responsible",86
"made",85
"general",84
"costs",82
"infrastructure",82
"limited",82
"new",82
"civil",81
"officer",81
"credit",79
"safety",79
"areas",76
"cause",76
"rules",76
"paid",75
"manner",74
"standards",74
"arizona",73
"county",73
"deleted",73
"thereof",73
"materials",72
"premises",72
"rev",72
"specified",72
"stat",72
"ariz",71
"charge",71
"director",71
"equipment",71
"terms",71
"contract",70
"right-of",70
"reasonable",69
"designated",68
"dog",68
"floodplain",68
"issuance",68
"park",68
"systems",68
"appeal",67
"action",66
"conditions",66
"order",66
"persons",66
"placed",66
"violations",66
"zoning",66
"address",65
"authority",65
"determined",65
"entity",65
"purposes",65
"day",64
"deemed",64
"make",64
"compliance",63
"employee",63
"whether",63
"defined",62
"either",62
"replaced",62
"damage",61
"effective",60
"party",60
"commercial",59
"failure",59
"first",59
"mayor",59
"streets",59
"hours",58
"located",58
"location",58
"maintain",58
"ordinances",58
"said",58
"sale",58
"unlawful",58
"act",57
"administrative",57
"apply",57
"appropriate",57
"solid",57
"motorized",56
"name",56
"permitted",56
"proposed",56
"municipal",55
"report",55
"years",55
"access",54
"cost",54
"due",54
"engineer",54
"repealed",54
"addition",53
"blvd",53
"board",53
"require",53
"sprinkler",53
"structures",53
"term",53
"approval",52
"bids",52
"definitions",52
"payment",52
"provision",52
"review",52
"schedule",52
"unit",52
"community",51
"election",51
"licensed",51
"right",51
"similar",51
"activities",50
"adult",50
"annual",50
"category",50
"decision",50
"installed",50
"material",50
"title",50
"activity",49
"additional",49
"administrator",49
"health",49
"local",49
"submitted",49
"employees",48
"federal",48
"given",48
"hazard",48
"installation",48
"minimum",48
"year",48
"applications",47
"credits",47
"judge",47
"liability",47
"perform",47
"resolution",47
"separate",47
"clerk",46
"home",46
"operate",46
"proposals",46
"revocation",46
"designed",45
"granted",45
"includes",45
"individual",45
"official",45
"performance",45
"process",45
"telephone",45
"writing",45
"exceed",44
"form",44
"prohibited",44
"refuse",44
"serve",44
"town's",44
"two",44
"available",43
"citation",43
"comply",43
"containers",43
"fails",43
"five",43
"level",43
"maricopa",43
"user",43
"considered",42
"feet",42
"full",42
"insurance",42
"permits",42
"powers",42
"receipt",42
"three",42
"animal",41
"based",41
"bid",41
"final",41
"fine",41
"maintenance",41
"signs",41
"base",40
"established",40
"every",40
"interest",40
"issue",40
"least",40
"members",40
"pay",40
"real",40
"units",40
"certified",39
"changes",39
"charges",39
"criminal",39
"filing",39
"laws",39
"licenses",39
"limits",39
"parks",39
"renewal",39
"statement",39
"utility",39
"condition",38
"connection",38
"contractor",38
"contracts",38
"inspection",38
"less",38
"litter",38
"open",38
"operation",38
"personal",38
"portion",38
"prevent",38
"providing",38
"requested",38
"storage",38
"container",37
"however",37
"officers",37
"penalties",37
"penalty",37
"specific",37
"total",37
"budget",36
"determination",36
"effect",36
"encroachment",36
"presiding",36
"subdivision",36
"change",35
"conduct",35
"maintained",35
"organization",35
"related",35
"result",35
"take",35
"temporary",35
"capacity",34
"elevation",34
"file",34
"hereby",34
"included",34
"legal",34
"meet",34
"permittee",34
"preserve",34
"qualified",34
"received",34
"value",34
"calendar",33
"herein",33
"per",33
"procedures",33
"repair",33
"specifically",33
"words",33
"assessed",32
"assessment",32
"automatic",32
"class",32
"copy",32
"different",32
"gross",32
"intent",32
"offense",32
"professional",32
"site",32
"taken",32
"times",32
"abandoned",31
"administration",31
"also",31
"articles",31
"assumptions",31
"compensation",31
"contained",31
"device",31
"finance",31
"financial",31
"fireworks",31
"group",31
"imposed",31
"jurisdiction",31
"licensee's",31
"mail",31
"nature",31
"adjacent",30
"animals",30
"complete",30
"corporation",30
"denial",30
"determine",30
"drive",30
"filed",30
"minor",30
"owned",30
"personnel",30
"procedure",30
"purchase",30
"sales",30
"security",30
"substantial",30
"basis",29
"bond",29
"course",29
"eligible",29
"evidence",29
"held",29
"liquor",29
"misdemeanor",29
"modified",29
"months",29
"permission",29
"political",29
"restated",29
"agency",28
"collected",28
"constructed",28
"corporate",28
"deposit",28
"devices",28
"direct",28
"dwelling",28
"events",28
"noise",28
"paragraph",28
"places",28
"proper",28
"sign",28
"tax",28
"actual",27
"adoption",27
"buildings",27
"completed",27
"flooding",27
"grounds",27
"identified",27
"immediately",27
"percent",27
"prescribed",27
"proposal",27
"records",27
"registered",27
"removal",27
"response",27
"responsibility",27
"restrictions",27
"single",27
"ten",27
"thirty",27
"underground",27
"valid",27
"age",26
"allow",26
"certificate",26
"channel",26
"charged",26
"chief",26
"current",26
"damages",26
"description",26
"ensure",26
"exempt",26
"items",26
"known",26
"life",26
"methods",26
"plans",26
"play",26
"police",26
"proof",26
"recreational",26
"resulting",26
"six",26
"subsequent",26
"surface",26
"television",26
"trailhead",26
"type",26
"using",26
"another",25
"channels",25
"constitute",25
"context",25
"declared",25
"directly",25
"expense",25
"international",25
"invitation",25
"matter",25
"meaning",25
"operations",25
"parts",25
"policy",25
"program",25
"regular",25
"submit",25
"subscribers",25
"thereto",25
"variance",25
"can",24
"commission",24
"employment",24
"extent",24
"firm",24
"future",24
"hundred",24
"improvement",24
"interpretation",24
"last",24
"limit",24
"natural",24
"occupant",24
"operated",24
"pavement",24
"present",24
"punishable",24
"sound",24
"abatement",23
"award",23
"district",23
"eagle",23
"flow",23
"immediate",23
"later",23
"management",23
"manufactured",23
"nothing",23
"previous",23
"protection",23
"recreation",23
"relating",23
"requires",23
"revenues",23
"rights",23
"seven",23
"sidewalk",23
"uses",23
"yard",23
"agencies",22
"allowed",22
"amounts",22
"appointed",22
"associated",22
"behalf",22
"dollars",22
"funds",22
"large",22
"market",22
"notify",22
"nuisance",22
"partnership",22
"proceedings",22
"reference",22
"square",22
"suspension",22
"welfare",22
"amendments",21
"attached",21
"case",21
"clearly",21
"controlling",21
"convicted",21
"defendant",21
"disposal",21
"electric",21
"floor",21
"free",21
"government",21
"governmental",21
"grant",21
"handbill",21
"homes",21
"intended",21
"letter",21
"line",21
"lines",21
"meeting",21
"non-commercial",21
"offeror",21
"outside",21
"parcel",21
"physical",21
"posted",21
"power",21
"primary",21
"receive",21
"regarding",21
"remove",21
"revenue",21
"sole",21
"subscriber",21
"throughout",21
"watercourse",21
"appear",20
"benefit",20
"calling",20
"company",20
"completion",20
"conducted",20
"denied",20
"deny",20
"described",20
"done",20
"expiration",20
"incurred",20
"lawful",20
"matters",20
"maximum",20
"member",20
"normal",20
"occupancies",20
"operating",20
"original",20
"ownership",20
"parent",20
"particular",20
"programming",20
"qualifications",20
"reasonably",20
"requirement",20
"resident",20
"solicitation",20
"states",20
"agreements",19
"attorney",19
"beyond",19
"claim",19
"conducting",19
"construed",19
"contain",19
"criteria",19
"debris",19
"demand",19
"detention",19
"directed",19
"documents",19
"establish",19
"exercise",19
"finds",19
"manual",19
"meetings",19
"mountain",19
"obtain",19
"properly",19
"protest",19
"refund",19
"regulation",19
"residence",19
"signals",19
"taxes",19
"transfer",19
"transmission",19
"actions",18
"affect",18
"agents",18
"audit",18
"authorization",18
"authorize",18
"bidder",18
"carried",18
"cart",18
"complaint",18
"concrete",18
"consistent",18
"continue",18
"developer",18
"disaster",18
"disclosure",18
"dogs",18
"duty",18
"expenses",18
"force",18
"give",18
"guardian",18
"guilty",18
"identification",18
"investigation",18
"kept",18
"loss",18
"lot",18
"medical",18
"monitoring",18
"need",18
"occupied",18
"planning",18
"poles",18
"reason",18
"recyclables",18
"recycling",18
"regulatory",18
"removed",18
"renumbered",18
"replacement",18
"requests",18
"revoked",18
"skateboard",18
"technical",18
"thereon",18
"town-owned",18
"trash",18
"truck",18
"well",18
"according",17
"aircraft",17
"amendment",17
"appeals",17
"appointment",17
"association",17
"ballot",17
"become",17
"caused",17
"codes",17
"communications",17
"consecutive",17
"created",17
"determines",17
"display",17
"elected",17
"enter",17
"golden",17
"hazardous",17
"highway",17
"historic",17
"keep",17
"licensing",17
"listed",17
"lowest",17
"mcdowell",17
"mean",17
"modification",17
"orders",17
"parties",17
"performed",17
"permanent",17
"phrases",17
"preceding",17
"referendum",17
"remain",17
"repeal",17
"signed",17
"subsections",17
"sufficient",17
"trade",17
"utilities",17
"variances",17
"vote",17
"wash",17
"whenever",17
"whole",17
"wires",17
"absence",16
"acting",16
"alarms",16
"alteration",16
"cases",16
"certification",16
"conviction",16
"dangerous",16
"data",16
"design",16
"engineering",16
"entities",16
"equal",16
"et",16
"exceeding",16
"excess",16
"exist",16
"factors",16
"foot",16
"four",16
"fully",16
"functions",16
"good",16
"identify",16
"increase",16
"initial",16
"install",16
"kind",16
"limitation",16
"majority",16
"motor",16
"national",16
"organizations",16
"parked",16
"possession",16
"preparedness",16
"principal",16
"profession",16
"receiving",16
"relief",16
"remaining",16
"residents",16
"roadway",16
"school",16
"seq",16
"specifications",16
"statutes",16
"subdivisions",16
"supervision",16
"taking",16
"unauthorized",16
"votes",16
"acceptance",15
"alcohol",15
"allocated",15
"assigned",15
"boulevard",15
"candidates",15
"certain",15
"consent",15
"construct",15
"copies",15
"delivery",15
"departments",15
"electronic",15
"excavation",15
"exceptions",15
"filled",15
"follows",15
"forms",15
"found",15
"human",15
"making",15
"nfpa",15
"notification",15
"obtaining",15
"offenses",15
"on-line",15
"participate",15
"peace",15
"prepared",15
"published",15
"record",15
"revised",15
"served",15
"showing",15
"signal",15
"standard",15
"supply",15
"trailers",15
"users",15
"vendor",15
"whose",15
"abate",14
"accompanied",14
"account",14
"activation",14
"acts",14
"alley",14
"best",14
"calculated",14
"call",14
"candidate",14
"charitable",14
"conflict",14
"continues",14
"correct",14
"create",14
"cumulative",14
"customer",14
"designate",14
"dispose",14
"disposed",14
"distribution",14
"driver",14
"enforce",14
"erosion",14
"generally",14
"hand",14
"holding",14
"involved",14
"item",14
"january",14
"judgment",14
"juvenile",14
"knowingly",14
"leased",14
"limitations",14
"liquidated",14
"names",14
"needed",14
"occupation",14
"occur",14
"opening",14
"path",14
"preparation",14
"prepare",14
"purchases",14
"quality",14
"remedies",14
"repairs",14
"requiring",14
"resolutions",14
"road",14
"sold",14
"speed",14
"suspended",14
"trail",14
"united",14
"vaccination",14
"visible",14
"wall",14
"washes",14
"wastes",14
"additions",13
"adequate",13
"air",13
"arguments",13
"bidding",13
"bonds",13
"businesses",13
"collect",13
"combination",13
"communication",13
"consumer",13
"custody",13
"debt",13
"default",13
"discharge",13
"disposition",13
"drainage",13
"edition",13
"electors",13
"end",13
"entry",13
"fair",13
"fireplace",13
"garbage",13
"highest",13
"hold",13
"injury",13
"joint",13
"meanings",13
"measures",13
"month",13
"notified",13
"permissible",13
