"Word","Freq"
"shall",6862
"city",5158
"chapter",2091
"section",1913
"code",1879
"fridley",1728
"may",1669
"public",1469
"required",1272
"license",1185
"feet",1150
"within",1144
"building",1085
"use",1075
"person",1074
"property",1056
"permit",1040
"provided",991
"parking",942
"area",829
"one",815
"must",793
"requirements",763
"following",729
"application",726
"will",713
"water",669
"way",650
"ref",629
"time",625
"minnesota",612
"state",606
"used",601
"council",593
"minimum",587
"areas",574
"including",567
"lot",559
"upon",559
"owner",551
"facilities",548
"days",547
"zoning",546
"materials",533
"district",529
"premises",523
"applicant",511
"provisions",506
"uses",506
"plan",501
"licensee",499
"business",478
"vehicle",478
"violation",474
"fee",472
"liquor",471
"notice",462
"structure",454
"right-of",447
"site",441
"street",441
"approved",437
"system",436
"service",424
"except",413
"safety",390
"issued",377
"licensed",375
"located",374
"hearing",373
"yard",369
"percent",365
"subject",365
"control",356
"existing",354
"provide",353
"standards",352
"dwelling",349
"ordinance",345
"date",343
"event",342
"fire",342
"equipment",339
"said",339
"permitted",338
"purpose",336
"special",336
"less",334
"development",333
"persons",333
"sale",330
"part",325
"motor",323
"without",320
"land",318
"additional",317
"made",317
"unless",317
"sign",312
"thereof",312
"every",307
"conditions",306
"construction",306
"proposed",304
"trees",304
"department",303
"least",303
"vehicles",303
"park",302
"st",300
"include",299
"regulations",291
"storage",289
"height",286
"two",285
"commission",284
"law",283
"prior",280
"period",279
"necessary",278
"grantee",276
"side",276
"surface",276
"general",275
"information",275
"defined",274
"buildings",272
"residential",271
"work",271
"compliance",267
"square",267
"space",264
"per",263
"number",259
"health",258
"written",258
"location",254
"year",254
"order",253
"screening",253
"line",252
"waste",251
"set",250
"applicable",249
"ave",247
"ground",245
"penalties",242
"three",241
"limited",240
"maintained",240
"maximum",240
"approval",239
"director",239
"principal",238
"clerk",236
"place",236
"unit",236
"new",235
"ten",232
"wetland",231
"franchise",230
"repair",230
"structures",229
"day",227
"manner",225
"operation",225
"company",224
"means",220
"plant",220
"fees",219
"services",219
"first",217
"storm",217
"accordance",216
"thirty",216
"exterior",214
"statutes",213
"cable",212
"intoxicating",212
"planting",210
"amount",209
"name",207
"signs",206
"addition",205
"landscaping",202
"material",202
"apply",201
"adjacent",200
"flood",200
"allowed",199
"emergency",199
"established",199
"five",199
"otherwise",199
"provision",199
"prohibited",195
"districts",193
"replacement",193
"traffic",192
"penalty",191
"hours",190
"maintenance",190
"meet",190
"home",187
"open",186
"floor",185
"years",185
"access",184
"also",184
"designated",184
"twenty-five",183
"exceed",182
"natural",182
"pay",182
"whether",182
"accessory",181
"installed",180
"manager",180
"purposes",180
"pursuant",180
"reasonable",180
"drainage",177
"interest",177
"malt",174
"total",174
"administrative",173
"authorized",172
"forth",172
"four",172
"ord",170
"revocation",170
"inspection",169
"designed",168
"foot",168
"insurance",168
"market",168
