"Word","Freq"
"tree",392
"shall",330
"city",211
"trees",206
"property",143
"arborist",113
"may",96
"ord",95
"commission",87
"appeal",69
"public",69
"removal",67
"conservation",66
"permit",66
"recompense",63
"department",61
"replacement",59
"article",56
"within",56
"means",55
"required",55
"section",52
"inches",50
"sec",50
"site",50
"application",49
"dbh",48
"private",48
"subsection",45
"located",43
"notice",43
"per",43
"one",42
"ordinance",42
"atlanta",41
"minimum",41
"area",39
"removed",38
"plan",36
"provided",36
"management",34
"protection",34
"watershed",34
"must",33
"requirements",33
"upon",33
"acre",32
"approval",32
"decision",32
"root",32
"time",32
"will",32
"parks",30
"areas",28
"owner",28
"percent",28
"set",28
"code",27
"construction",27
"destruction",27
"parking",27
"feet",26
"planted",26
"-o",25
"forth",25
"lot",25
"remove",25
"number",24
"preliminary",24
"two",24
"appeals",23
"appellant",23
"director",23
"made",23
"maximum",23
"person",23
"pursuant",23
"following",22
"include",22
"issue",22
"part",22
"subject",22
"posting",21
"species",21
"appointed",20
"clerk",20
"destroyed",20
"forester",20
"including",20
"members",20
"provisions",20
"standards",20
"total",20
"days",19
"except",19
"member",19
"new",19
"planting",19
"administrative",18
"destroy",18
"fund",18
"approved",17
"credit",17
"filed",17
"hearing",17
"height",17
"injure",17
"office",17
"ten",17
"development",16
"injury",16
"mayor",16
"planning",16
"purpose",16
"also",15
"bureau",15
"date",15
"determined",15
"existing",15
"land",15
"less",15
"retained",15
"save",15
"six",15
"without",15
"boundary",14
"buildings",14
"court",14
"diameter",14
"event",14
"five",14
"landscaped",14
"lots",14
"order",14
"r-",14
"regarding",14
"structure",14
"applicant",13
"arboricultural",13
"caliper",13
"designee",13
"easements",13
"established",13
"issued",13
"landscaping",13
"least",13
"location",13
"prior",13
"pruning",13
"purposes",13
"result",13
"way",13
"whether",13
"addition",12
"based",12
"council",12
"cover",12
"cutting",12
"deemed",12
"districts",12
"injured",12
"issuance",12
"limited",12
"nuisance",12
"plant",12
"trunk",12
"used",12
"violation",12
"year",12
"zoning",12
"authority",11
"community",11
"conditions",11
"defined",11
"easement",11
"greater",11
"hardship",11
"maintenance",11
"manner",11
"performed",11
"permits",11
"provide",11
"submitted",11
"survey",11
"terms",11
"written",11
"years",11
"according",10
"apply",10
"believes",10
"decree",10
"designated",10
"district",10
"family",10
"give",10
"live",10
"newly",10
"report",10
"silvicultural",10
"specimen",10
"working",10
"accordance",9
"amount",9
"applicable",9
"appropriate",9
"business",9
"calendar",9
"consent",9
"described",9
"diseased",9
"fine",9
"forest",9
"given",9
"guidelines",9
"heat",9
"intent",9
"line",9
"need",9
"percentage",9
"period",9
"prescribed",9
"proposed",9
"record",9
"recreation",9
"requirement",9
"said",9
"showing",9
"spaces",9
"thereof",9
"trust",9
"value",9
"affairs",8
"allow",8
"arborist's",8
"calculated",8
"cultural",8
"decrees",8
"denial",8
"evidence",8
"fee",8
"granted",8
"ground",8
"impact",8
"impacted",8
"inch",8
"information",8
"landscape",8
"measured",8
"meet",8
"plate",8
"request",8
"submit",8
"use",8
"work",8
"act",7
"additional",7
"address",7
"adjacent",7
"afforestation",7
"agent",7
"amendments",7
"applications",7
"authorized",7
"breast",7
"building",7
"certified",7
"condition",7
"considered",7
"contain",7
"danger",7
"dead",7
"division",7
"either",7
"equal",7
"formula",7
"historic",7
"immediately",7
"material",7
"met",7
"natural",7
"official",7
"one-half",7
"paid",7
"permitted",7
"prescription",7
"present",7
"protective",7
"registered",7
"require",7
"residential",7
"right-of",7
"rules",7
"size",7
"specific",7
"surface",7
"table",7
"unless",7
"urban",7
"writing",7
"affected",6
"appealed",6
"barrier",6
"can",6
"cause",6
"commissioner",6
"decisions",6
"demolition",6
"determine",6
"establish",6
"fences",6
"finds",6
"follows",6
"housing",6
"identified",6
"identify",6
"letter",6
"limit",6
"loss",6
"maintained",6
"meetings",6
"misinterpreted",6
"name",6
"necessary",6
"owned",6
"parties",6
"penalties",6
"phone",6
"plantings",6
"prevent",6
"reasonable",6
"reduce",6
"replanting",6
"responsible",6
"saved",6
"specified",6
"stream",6
"streets",6
"structural",6
"term",6
"three",6
"tree's",6
"understory",6
"whose",6
"accept",5
"accepted",5
"activity",5
"along",5
"architect",5
"basis",5
"branch",5
"cases",5
"category",5
"center",5
"circumstances",5
"city's",5
"compliance",5
"consultation",5
"control",5
"costs",5
"criteria",5
"curbs",5
"damage",5
"exceed",5
"excess",5
"exists",5
"extent",5
"failure",5
"financial",5
"form",5
"formulas",5
"general",5
"georgia",5
"good",5
"grading",5
"hazard",5
"health",5
"imminent",5
"included",5
"interest",5
"isa",5
"judge",5
"law",5
"lost",5
"manager",5
"master",5
"meets",5
"months",5
"normally",5
"npu",5
"oak",5
"offense",5
"official's",5
"otherwise",5
"owner's",5
"particular",5
"pay",5
"portion",5
"position",5
"post",5
"powers",5
"pro",5
"protect",5
"rated",5
"regardless",5
"remain",5
"replaced",5
"resident",5
"right",5
"roots",5
"separate",5
"setback",5
"simple",5
"single",5
"subdivisions",5
"subsections",5
"subsequent",5
"superior",5
"though",5
"trimming",5
"vacant",5
"water",5
"yard",5
"abate",4
"action",4
"actions",4
"activities",4
"administering",4
"aggrieved",4
"agree",4
"alternative",4
"american",4
"annual",4
"applicants",4
"approve",4
"at-large",4
"attains",4
"bank",4
"benefits",4
"board",4
"canopy",4
"categories",4
"commission's",4
"comply",4
"conference",4
"connection",4
"consist",4
"consistent",4
"constitute",4
"contact",4
"cost",4
"county",4
"created",4
"cut",4
"day",4
"directly",4
"disease",4
"disturbance",4
"donations",4
"educational",4
"eligible",4
"emergency",4
"environmentally",4
"erosion",4
"examples",4
"facts",4
"final",4
"finding",4
"fines",4
"first",4
"flush",4
"frivolous",4
"generally",4
"hazardous",4
"hearings",4
"holly",4
"impose",4
"imposed",4
"improvement",4
"improvements",4
"income",4
"indicate",4
"installed",4
"intended",4
"island",4
"larger",4
"leave",4
"length",4
"life",4
"locations",4
"maintain",4
"making",4
"maple",4
"maturity",4
"mean",4
"measures",4
"median",4
"meeting",4
"mid-canopy",4
"minimize",4
"mulberry",4
"municipal",4
"notify",4
"obtained",4
"occupancy",4
"occurred",4
"opinion",4
"overstory",4
"owns",4
"party",4
"pine",4
"pines",4
"place",4
"police",4
"policy",4
"power",4
"practice",4
"preconstruction",4
"preserve",4
"procedure",4
"procedures",4
"protected",4
"qualify",4
"receive",4
"red",4
"reduced",4
"references",4
"replace",4
"reporter",4
"rights",4
"ruling",4
"safety",4
"sales",4
"salix",4
"sidewalks",4
"sketch",4
"soil",4
"sp",4
"space",4
"specifications",4
"square",4
"stake",4
"stand",4
"state",4
"stem",4
"times",4
"tipping",4
"topping",4
"unable",4
"understanding",4
"units",4
"utilized",4
"values",4
"willow",4
"zone",4
"able",3
"abuts",3
"account",3
"adopted",3
"appear",3
"applied",3
"appoint",3
"appointment",3
"association",3
"bacterial",3
"base",3
"better",3
"boards",3
"botanical",3
"buildable",3
"case",3
"cash",3
"cedar",3
"certain",3
"charged",3
"check",3
"cherry",3
"citizen",3
"citizens",3
"clearly",3
"close",3
"commercial",3
"commissions",3
"complete",3
"constructed",3
"copy",3
"critical",3
"cross",3
"cumulative",3
"death",3
"definitions",3
"deny",3
"detention",3
"determination",3
"developed",3
"discuss",3
"dismissed",3
"distance",3
"documentary",3
"duplex",3
"duration",3
"duties",3
"dwelling",3
"dying",3
"earth",3
"egress",3
"eight",3
"end",3
"enforcement",3
"enter",3
"environmental",3
"establishment",3
"etc",3
"exact",3
"exempt",3
"facility",3
"fair",3
"falling",3
"fax",3
"fencing",3
"filing",3
"fill",3
"fiscal",3
"foundation",3
"functions",3
"fungal",3
"gardens",3
"grade",3
"harvesting",3
"hereby",3
"identifying",3
"illegally",3
"increase",3
"incursion",3
"individual",3
"infection",3
"ingress",3
"institute",3
"interpreted",3
"involved",3
"islands",3
"lands",3
"later",3
"laws",3
"leader",3
"level",3
"limitation",3
"limits",3
"lines",3
"maintaining",3
"majority",3
"make",3
"materials",3
"mature",3
"misapplied",3
"misunderstood",3
"money",3
"month",3
"mrpa",3
"mtr",3
"museums",3
"neighborhood",3
"nrep",3
"occur",3
"others",3
"owed",3
"partial",3
"paved",3
"permanent",3
"permissible",3
"possession",3
"posted",3
"practices",3
"preceding",3
"prepared",3
"prescriptions",3
"preservation",3
"previously",3
"project",3
"prominent",3
"reasonably",3
"received",3
"recorded",3
"related",3
"renovation",3
"requesting",3
"requires",3
"reserved",3
"review",3
"rights-of",3
"salary",3
"sampling",3
"scenic",3
"second",3
"sensitive",3
"service",3
"services",3
"severe",3
"shrubs",3
"side",3
"similar",3
"smaller",3
"southern",3
"special",3
"stabilization",3
"states",3
"stay",3
"structures",3
"system",3
"tcirep",3
"traffic",3
"treatment",3
"underlying",3
"utilities",3
"utility",3
"vacancies",3
"variance",3
"vehicle",3
"vehicular",3
"viral",3
"vote",3
"wetland",3
"white",3
"width",3
"-cv",2
"-twt",2
"abated",2
"abatement",2
"accessory",2
"accommodated",2
"acts",2
"actual",2
"addressed",2
"adjusted",2
"adjustments",2
"administration",2
"advance",2
"affect",2
"afforested",2
"agreement",2
"agreements",2
"agrees",2
"ailanthus",2
"alba",2
"albizia",2
"already",2
"altissima",2
"amended",2
"amrpa",2
"another",2
"anything",2
"argument",2
"around",2
"assess",2
"assessed",2
"associated",2
"assume",2
"assure",2
"atlanta's",2
"attached",2
"attorney",2
"authorization",2
"automatically",2
"available",2
"average",2
"azederach",2
"banks",2
"barring",2
"beyond",2
"boundaries",2
"bradford",2
"branches",2
"brought",2
"broussonetia",2
"buffer",2
"builder",2
"builders",2
"bumpers",2
"calculating",2
"calculation",2
"calleryana",2
"cambium",2
"carolina",2
"caroliniana",2
"causing",2
"certificate",2
"certificates",2
"certify",2
"changes",2
"charge",2
"charter",2
"chinaberry",2
"chinese",2
"city-owned",2
"civic",2
"civil",2
"climbing",2
"combined",2
"commence",2
"compensation",2
"completed",2
"completely",2
"comprehensive",2
"concluded",2
"confined",2
"confirmed",2
"consider",2
"consideration",2
"constitutes",2
"contractor",2
"contractors",2
"contribute",2
"coordinates",2
"count",2
"course",2
"crown",2
"cupressocyparis",2
"curb",2
"cypress",2
"data",2
"deadline",2
"decay",2
"deciding",2
"deem",2
"definition",2
"density",2
"describing",2
"designate",2
"designation",2
"desiring",2
"destroying",2
"determining",2
"developer",2
"developers",2
"development's",2
"developments",2
"dies",2
"difference",2
"direct",2
"discretion",2
"disturbed",2
"documented",2
"documents",2
"donation",2
"drainage",2
"drawn",2
"drip",2
"driveways",2
"education",2
"efficient",2
"eg",2
"eliminate",2
"elm",2
"enacted",2
"entered",2
"entire",2
"environment",2
"erroneous",2
"establishing",2
"et",2
"exceeds",2
"exceptional",2
"exempted",2
"exemptions",2
"expected",2
"expiration",2
"extending",2
"extenuating",2
"external",2
"faith",2
"feasible",2
"fees",2
"fence",2
"find",2
"fire",2
"flair",2
"foot",2
"full-time",2
"fulton",2
"gaffs",2
"giving",2
"gps",2
"grant",2
"granting",2
"growth",2
"guilty",2
"hazards",2
"heaven",2
"heavy",2
"homeowners",2
"hornbeam",2
"horticulturist",2
"illegal",2
"immediate",2
"implementation",2
"improve",2
"indicating",2
"indirectly",2
"individually",2
"inflicting",2
"inform",2
"infrastructure",2
"initial",2
"inset",2
"inspect",2
"inspected",2
"inspection",2
"instances",2
"intentional",2
"interested",2
"interfaces",2
"internal",2
"international",2
"invasive",2
"julibrissin",2
"knowledge",2
"laurel",2
"leyland",2
"leylandii",2
"licensed",2
"lieu",2
"lifted",2
"likely",2
"limbs",2
"listed",2
"local",2
"magnolia",2
"main",2
"major",2
"management's",2
"mayor's",2
"mechanical",2
"melia",2
"membership",2
"methodology",2
"mile",2
"mimosa",2
"minor",2
