"Word","Freq"
"shall",4233
"code",3353
"city",2993
"goodyear",2310
"ordinances",1899
"passed",1825
"chapter",1431
"section",1316
"may",1169
"property",1044
"ordinance",1038
"public",1023
"current",971
"building",932
"ord",925
"page",906
"september",906
"person",882
"violation",842
"permit",826
"service",746
"required",720
"provided",691
"following",672
"notice",661
"prior",651
"water",626
"within",615
"article",612
"development",610
"fees",576
"council",562
"will",547
"hereby",544
"services",539
"provisions",531
"system",530
"including",515
"construction",512
"manager",490
"regulations",484
"time",484
"application",483
"official",469
"owner",466
"requirements",459
"fee",455
"fire",445
"means",440
"use",412
"upon",411
"licensee",405
"order",400
"special",397
"adopted",383
"license",380
"facilities",377
"one",370
"amended",368
"applicable",366
"department",366
"authority",352
"work",348
"buildings",343
"discharge",339
"days",336
"accordance",328
"state",325
"provide",323
"structure",323
"international",318
"event",316
"standards",307
"user",305
"law",303
"include",301
"area",299
"set",297
"land",296
"cable",291
"approved",284
"date",284
"compliance",283
"subject",282
"enforcement",280
"alarm",277
"deleted",276
"necessary",276
"authorized",274
"business",274
"entirety",274
"written",272
"information",270
"follows",265
"issued",264
"sewer",262
"plan",261
"made",259
"director",257
"used",256
"conditions",254
"otherwise",249
"pursuant",249
"street",247
"replaced",242
"unless",242
"forth",241
"governing",241
"additional",239
"equipment",239
"cause",231
"paid",231
"purpose",228
"comply",227
"control",227
"except",227
"residential",227
"per",226
"way",225
"general",224
"approval",223
"improvements",221
"action",220
"commission",218
"utility",214
"costs",212
"apply",211
"amount",209
"police",207
"wastewater",206
"streets",205
"subdivision",205
"provision",202
"without",201
"final",198
"civil",197
"plat",196
"safety",196
"least",194
"12a-",192
"health",191
"part",191
"violations",191
"flood",190
"unlawful",190
"herein",189
"penalties",189
"request",188
"feet",187
"pretreatment",187
"private",186
"areas",184
"meet",184
"right",184
"appeal",183
"customer",182
"definitions",182
"terms",181
"court",179
"federal",179
"proposed",178
"design",177
"administrative",176
"applicant",176
"mayor",176
"local",175
"must",174
"review",174
"systems",174
"deemed",173
"facility",173
"premises",173
"process",173
"agreement",172
"new",171
"traffic",171
"limited",169
"vehicle",169
"art",166
"writing",166
"permits",165
"due",164
"place",164
"structures",164
"hearing",163
"day",162
"persons",162
"existing",161
"period",161
"defined",160
"waste",160
"available",159
"cost",159
"lot",158
"address",157
"responsible",156
"subsection",156
"procurement",155
"thereof",155
"failure",153
"minimum",153
"purposes",153
"payment",152
"emergency",151
"rules",151
"board",150
"employee",150
"first",150
"access",149
"less",149
"manner",149
"historic",148
"potw",148
"two",148
"installed",146
"arizona",145
"designee",145
"installation",145
"added",144
"commercial",142
"officer",141
"connection",140
"hp",140
"materials",140
"sections",140
"procedures",139
"require",137
"administration",136
"occupancy",136
"reasonable",136
"unit",134
"plans",133
"appropriate",132
"contract",132
"decision",132
"located",132
"meeting",131
"refuse",131
"repealed",131
"account",130
"documents",130
"engineer",130
"group",130
"legal",130
"whether",130
"act",129
"designated",128
"office",128
"maintenance",127
"care",124
"damage",124
"make",124
"issuance",123
"county",122
"either",122
"offense",122
"includes",121
"real",120
"duties",119
"industrial",119
"title",118
"known",117
"number",117
"operation",116
"air",115
"formerly",115
"inspection",115
"agent",114
"zoning",114
"established",113
"maintain",113
"material",112
"members",112
"resolution",112
"statement",112
"engineering",111
"line",111
"standard",111
"location",110
"determined",109
"prescribed",109
"prohibited",109
"report",109
"term",109
"form",108
"interest",108
"permitted",108
"separate",107
"served",107
"result",106
"employees",105
"entity",105
"individual",104
"submitted",104
"condition",103
"portion",103
"site",103
"based",102
