"Word","Freq"
"shall",2147
"sec",880
"city",850
"use",608
"means",567
"may",465
"ord",450
"building",449
"permit",411
"public",408
"required",379
"feet",377
"property",370
"section",339
"within",333
"lot",317
"must",317
"soil",309
"land",289
"area",286
"code",280
"council",272
"article",270
"zoning",270
"state",269
"system",267
"structure",247
"one",234
"sewage",219
"treatment",219
"water",215
"used",214
"requirements",211
"ordinance",210
"provided",206
"proposed",199
"site",194
"following",193
"areas",190
"application",184
"chapter",184
"uses",175
"structures",173
"street",172
"permitted",171
"person",170
"standards",166
"time",164
"provisions",157
"existing",156
"flood",156
"construction",155
"less",155
"regulations",155
"systems",154
"owner",152
"will",152
"district",151
"grant",151
"located",149
"access",147
"compliance",146
"except",146
"residential",143
"conditions",142
"general",142
"including",142
"least",142
"minimum",141
"conditional",140
"division",136
"license",136
"upon",136
"minn",135
"parking",134
"business",133
"inches",133
"surface",132
"plan",131
"tank",129
"line",128
"percent",126
"signs",125
"purpose",124
"adult",122
"subdivision",122
"lots",120
"stats",120
"buildings",117
"include",116
"development",114
"made",113
"premises",113
"storage",113
"plat",112
"reserved",112
"said",112
"two",112
"county",111
"permits",109
"issued",108
"location",108
"administrator",107
"applicant",107
"approved",106
"design",106
"private",106
"law",105
"provide",105
"dwelling",104
"unless",103
"control",101
"natural",101
"cd32",100
"days",100
"individual",100
"secs",100
"distribution",99
"principal",99
"accessory",98
"height",98
"planning",98
"sign",98
"materials",97
"term",96
"way",96
"districts",95
"elevation",94
"prior",94
"certificate",93
"new",93
"streets",93
"parcel",92
"allowed",91
"per",91
"drainage",90
"engineer",90
"part",88
"rock",88
"equipment",87
"facilities",87
"health",86
"operation",86
"department",85
"designed",85
"accordance",84
"approval",84
"constructed",84
"necessary",84
"subject",84
"maximum",83
"placed",83
"vehicle",83
"pipe",82
"size",82
"width",82
"safety",81
"vehicles",81
"also",80
"established",80
"purposes",80
"square",80
"antenna",79
"commission",79
"date",79
"fee",79
"notice",79
"agricultural",78
"exceed",78
"official",78
"support",78
"ten",78
"without",78
"number",77
"place",77
"specified",77
"commercial",76
"lines",76
"ordinances",75
"period",75
"violation",75
"cd12",74
"home",74
"six",74
"designated",73
"maintenance",73
"road",73
"local",72
"manufactured",72
"material",72
"require",72
"traffic",72
"unit",72
"adjacent",70
"sale",70
"service",70
"waste",70
"level",69
"limited",69
"prohibited",69
"see",69
"setback",69
"bed",68
"dog",68
"enforcement",68
"installed",68
"movable",68
"three",68
"meet",67
"written",67
"space",66
"board",65
"floodplain",65
"thereof",65
"activities",64
"defined",64
"five",64
"liquor",64
"references",64
"animal",63
"clerk",63
"officer",63
"subsection",63
"waters",63
"ground",62
"information",62
"open",62
"persons",62
"right-of",62
"set",62
"similar",62
"terms",62
"disposal",61
"recreational",61
"review",61
"type",61
"apply",60
"case",60
"considered",60
"roads",60
"acres",59
"appropriate",59
"flow",59
"licensed",59
"yard",59
"fees",58
"four",58
"hearing",58
"inspection",58
"animals",57
"depth",57
"includes",57
"installation",57
"issuance",57
"otherwise",57
"reasonable",57
"side",57
"agency",56
"comply",56
"farm",56
"map",56
"nuisance",56
"removal",56
"restrictions",56
"cover",55
"plans",55
"addition",54
"greater",54
"septic",54
"variance",54
"additional",53
"hours",53
"nonconforming",53
"services",53
"authorized",52
"determined",52
"either",52
"environment",52
"provision",52
"temporary",52
"adopted",51
"definitions",51
"gambling",51
"protection",51
"tanks",51
"applicable",50
"day",50
"device",50
"intended",50
"motor",50
"portion",50
"capacity",49
"establishment",49
"lawful",49
"maintained",49
"year",49
"fire",48
"generally",48
"improvements",48
"management",48
"pollution",48
"prevent",48
"table",48
"along",47
"discharge",47
"effluent",47
"final",47
"inch",47
"manner",47
"noise",47
"subdivisions",47
"distance",46
"facility",46
"intent",46
"removed",46
"front",45
"grade",45
"grading",45
"office",45
"pump",45
"slopes",45
"specific",45
"subdivider",45
"adequate",44
"insurance",44
"measured",44
"percolation",44
"pursuant",44
"submitted",44
"work",44
"community",43
"drainfield",43
"failure",43
"first",43
"granted",43
"horizontal",43
"lake",43
"licenses",43
"liquid",43
"spaces",43
"top",43
"action",42
"burning",42
"can",42
"clearly",42
"emergency",42
"forth",42
"order",42
"parcels",42
"preservation",42
"report",42
"sand",42
"tree",42
"activity",41
"antennas",41
"bottom",41
"conduct",41
"driveway",41
"soils",41
"total",41
"conducted",40
"floor",40
"lands",40
"organization",40
"outlet",40
"permanent",40
"properties",40
"sales",40
"setbacks",40
"showing",40
"special",40
"whether",40
"easements",39
"herein",39
"original",39
"pipes",39
"point",39
"record",39
"repair",39
"resources",39
"result",39
"rules",39
"single",39
"supply",39
"commissioner",38
"environmental",38
"high-water",38
"outside",38
"protect",38
"reference",38
"amount",37
"body",37
"derived",37
"federal",37
"preliminary",37
"project",37
"rate",37
"sewer",37
"standard",37
"vegetation",37
"adjoining",36
"adjustment",36
"authority",36
"detached",36
"event",36
"frontage",36
"future",36
"highway",36
"minnesota",36
"off-street",36
"separate",36
"sites",36
"words",36
"criteria",35
"described",35
"determine",35
"diameter",35
"effective",35
"energy",35
"every",35
"inspector",35
"maintain",35
"rear",35
"statement",35
"vertical",35
"contained",34
"devices",34
"driveways",34
"hereby",34
"homes",34
"intoxicating",34
"length",34
"make",34
"operations",34
"ordinary",34
"products",34
"revocation",34
"sections",34
"sufficient",34
"welfare",34
"attached",33
"contract",33
"decision",33
"gravel",33
"meeting",33
"member",33
"minor",33
"solid",33
"utility",33
"available",32
"cost",32
"covered",32
"damage",32
"different",32
"extend",32
"licensee",32
"owners",32
"payment",32
"recyclables",32
"registered",32
"tower",32
"unlawful",32
"variances",32
"violations",32
"well",32
"applications",31
"average",31
"copy",31
"deemed",31
"designation",31
"floodway",31
"loading",31
"mound",31
"proper",31
"quality",31
"specifically",31
"take",31
"trees",31
"units",31
"ch",30
"collection",30
"context",30
"current",30
"display",30
"dosing",30
"filed",30
"fill",30
"finished",30
"gallons",30
"impact",30
"indicates",30
"meaning",30
"medium",30
"owned",30
"request",30
"slope",30
"stream",30
"suspension",30
"transportation",30
"utilities",30
"basis",29
"cause",29
"comprehensive",29
"conform",29
"effect",29
"employees",29
"erosion",29
"foot",29
"form",29
"heritage",29
"however",29
"legal",29
"months",29
"obtained",29
"performance",29
"phrases",29
"shown",29
"times",29
"age",28
"another",28
"data",28
"description",28
"excavation",28
"fences",28
"follows",28
"garage",28
"kept",28
"limitations",28
"locations",28
"matter",28
"name",28
"paid",28
"power",28
"recommendations",28
"recorded",28
"recycling",28
"sanitary",28
"seepage",28
"submit",28
"affect",27
"alteration",27
"change",27
"completed",27
"costs",27
"establishments",27
"hole",27
"imposed",27
"meanings",27
"preparation",27
"process",27
"administrative",26
"alarm",26
"based",26
"boundaries",26
"cd30",26
"changes",26
"city's",26
"domestic",26
"duties",26
"erected",26
"given",26
"hazards",26
"high",26
"large",26
"on-site",26
"pit",26
"program",26
"screening",26
"testing",26
"yards",26
"agreement",25
"amendment",25
"appeals",25
"common",25
"contain",25
"due",25
"elevations",25
"equal",25
"expense",25
"immediately",25
"improvement",25
"inspections",25
"interest",25
"malt",25
"members",25
"occupancy",25
"placement",25
"reasonably",25
"regulatory",25
"subd",25
"wells",25
"wind",25
"340a",24
"address",24
"administration",24
"adoption",24
"ascribed",24
"beds",24
"box",24
"conservation",24
"ensure",24
"features",24
"hazard",24
"human",24
"inlet",24
"limits",24
"living",24
"occupied",24
"operated",24
"parts",24
"penalty",24
"police",24
"protected",24
"recreation",24
"requirement",24
"sides",24
"sound",24
"subdivided",24
"suitable",24
"trailer",24
"absorption",23
"allow",23
"bedrock",23
"boundary",23
"contractor",23
"declared",23
"density",23
"employee",23
"enclosed",23
"estimated",23
"evaluation",23
"exceptions",23
"found",23
"historic",23
"included",23
"landscaping",23
"larger",23
"limit",23
"national",23
"normal",23
"parked",23
"pertaining",23
"places",23
"prepared",23
"primary",23
"properly",23
"records",23
"regulated",23
"roadway",23
"seasonal",23
"serve",23
"shoreland",23
"survey",23
"test",23
"types",23
"bond",22
"care",22
"centerline",22
"certain",22
"closer",22
"condition",22
"created",22
"direction",22
"dwellings",22
"eight",22
"flooding",22
"goods",22
"lakes",22
"light",22
"met",22
"minutes",22
"numbers",22
"park",22
