"Word","Freq"
"shall",6021
"code",3590
"revised",3304
"city",3201
"ord",3088
"beach",2476
"hermosa",2399
"may",1623
"prior",1601
"chapter",1578
"section",1522
"public",1487
"ordinance",1340
"permit",1282
"person",1268
"title",1265
"building",1254
"municipal",1235
"current",1162
"use",1147
"passed",1088
"september",1088
"page",1084
"area",1048
"within",1037
"required",988
"council",971
"property",964
"parking",905
"means",871
"provided",857
"service",847
"business",834
"provisions",804
"upon",761
"one",749
"feet",720
"development",694
"time",664
"following",659
"requirements",624
"application",619
"zoning",609
"part",555
"health",547
"plan",543
"regulations",526
"used",526
"including",524
"residential",518
"commission",517
"notice",509
"days",506
"said",502
"construction",499
"lot",492
"license",485
"safety",477
"set",471
"tax",469
"street",461
"department",460
"state",458
"vehicle",458
"commercial",445
"owner",445
"subject",444
"services",442
"applicant",436
"standards",435
"system",430
"will",430
"water",429
"sign",427
"areas",422
"purpose",418
"uses",415
"signs",414
"buildings",413
"permitted",412
"pursuant",410
"forth",398
"space",398
"hearing",387
"must",383
"open",383
"manager",378
"planning",372
"california",371
"fee",364
"zone",362
"violation",357
"general",347
"include",344
"appx",343
"place",340
"proposed",335
"facilities",333
"located",330
"director",325
"made",325
"provide",325
"date",324
"conditions",321
"issued",320
"existing",319
"community",314
"sections",313
"authorized",311
"structure",311
"limited",310
"two",310
"minimum",308
"sale",307
"fire",306
"traffic",304
"necessary",302
"thereof",300
"approved",298
"except",298
"written",298
"approval",297
"equipment",297
"control",292
"unless",292
"establishment",291
"law",291
"location",288
"officer",287
"less",285
"premises",285
"percent",282
"units",282
"purposes",281
"new",279
"unit",279
"vehicles",274
"applicable",273
"height",273
"emergency",270
"manner",267
"persons",267
"without",267
"dwelling",265
"square",265
"information",261
"project",261
"otherwise",260
"decision",259
"board",255
"number",253
"line",251
"period",251
"day",247
"review",247
"facility",244
"similar",244
"exceed",243
"three",243
"land",242
"map",242
"ten",242
"compliance",241
"body",240
"floor",240
"resolution",240
"event",239
"apply",237
"hundred",237
"subsection",237
"food",236
"per",236
"special",236
"administrative",234
"appeal",234
"specified",234
"video",234
"amount",233
"order",233
"official",232
"fees",227
"permits",225
"whether",225
"accordance",224
"every",224
"comply",223
"operation",223
"structures",222
"materials",219
"police",219
"report",217
"yard",216
"site",215
"hours",213
"least",213
"operator",212
"housing",211
"waste",211
"defined",209
"design",209
"established",208
"first",206
"maintained",205
"maximum",204
"prohibited",202
"additional",199
"authority",197
"collector",196
"request",194
"agreement",193
"portion",192
"act",191
"industrial",191
"designated",190
"final",190
"material",188
"five",187
"maintenance",187
"private",186
"action",185
"deemed",184
"art",183
"cause",183
"unlawful",182
"flood",179
"granted",179
"side",179
"spaces",179
"county",177
"condition",175
"conduct",175
"streets",175
"conditional",174
"make",174
"address",173
"certificate",173
"findings",173
"office",172
"systems",172
"way",172
"allowed",169
"work",168
"inspection",167
"collection",166
"encroachment",166
"front",166
"thirty",166
"zones",166
"licenses",165
"lots",165
"maintain",165
"addition",163
"reasonable",163
"adjacent",162
"sales",162
"determined",161
"access",160
"six",160
"landscape",159
"provision",158
"designed",157
"term",156
"federal",155
"year",155
"activities",154
"activity",154
"follows",154
"either",153
"removal",153
"roof",153
"exh",152
"amended",151
"includes",151
"franchise",148
"park",148
"local",147
"name",147
"solid",147
"definitions",146
"inches",145
"personnel",145
"repair",145
"cable",144
"charges",144
"members",144
"procedures",144
"times",144
"device",143
"et",143
"imposed",143
"paid",143
"plans",143
"retail",143
"temporary",143
"projects",142
"filed",141
"appeals",139
"appropriate",139
"dog",139
"enforcement",139
"filing",139
"form",139
"government",139
"penalty",139
"pier",139
"available",138
"right",138
"seq",138
"require",137
"responsible",137
"storage",137
"statement",136
"also",135
"alarm",134
"costs",134
"division",133
"four",133
"given",133
"writing",132
"adopted",131
"engineer",131
"civil",130
"taxicab",130
"installation",129
"pay",129
"fifty",128
"payment",128
"due",127
"herein",127
"registration",127
"revocation",127
"specific",127
