"Word","Freq"
"shall",2486
"town",1098
"article",982
"board",895
"may",797
"atm",674
"hopkinton",652
"permit",643
"chapter",624
"within",477
"art",461
"public",458
"use",445
"special",433
"land",417
"development",408
"page",408
"plan",400
"district",384
"site",379
"amended",376
"planning",375
"uses",363
"feet",353
"water",339
"area",319
"zoning",307
"regulations",294
"provided",289
"application",282
"lot",280
"property",280
"requirements",277
"building",270
"upon",269
"commission",265
"following",264
"will",243
"required",242
"provisions",241
"open",239
"construction",229
"system",223
"section",213
"bylaws",211
"one",211
"units",203
"including",200
"buildings",199
"parking",198
"permitted",197
"general",192
"purpose",192
"areas",190
"department",189
"person",187
"review",187
"time",187
"minimum",176
"applicant",172
"design",172
"facilities",171
"hearing",168
"housing",168
"added",167
"days",167
"space",167
"dwelling",166
"residential",164
"proposed",162
"subject",161
"applicable",157
"appeals",155
"located",153
"notice",153
"pursuant",149
"include",148
"approval",146
"conditions",146
"used",145
"discharge",144
"street",144
"unit",144
"violation",144
"must",139
"date",138
"sewer",138
"structure",138
"structures",138
"selectmen",135
"owner",133
"adopted",132
"set",131
"number",130
"purposes",129
"municipal",128
"facility",127
"project",127
"two",127
"user",127
"director",125
"said",125
"mgl",124
"accordance",123
"issued",123
"meeting",123
"wastewater",123
"necessary",120
"alarm",119
"order",119
"way",119
"authority",118
"business",117
"fees",117
"health",117
"industrial",117
"state",117
"commercial",115
"control",115
"police",115
"removal",115
"setback",114
"part",113
"common",111
"provision",110
"provide",109
"unless",108
"apply",107
"appropriate",107
"bylaw",107
"line",107
"except",106
"standards",106
"treatment",106
"fire",105
"rules",105
"permits",101
"square",100
"natural",99
"thereof",98
"years",98
"less",97
"lots",97
"made",97
"materials",97
"work",97
"decision",96
"floor",96
"forth",96
"private",96
"conservation",95
"separate",94
"approved",93
"master",93
"exceed",92
"existing",92
"fee",92
"protection",92
"committee",91
"without",91
"chief",90
"premises",90
"authorized",89
"otherwise",89
"prior",88
"terms",88
"affordable",87
"information",87
"spaces",87
"activities",85
"require",85
"signs",85
"new",82
"storage",82
"defined",81
"height",81
"clerk",80
"inspections",80
"offense",80
"request",80
"considered",79
"preservation",79
"services",79
"submitted",79
"allowed",78
"designated",78
"limited",78
"plans",78
"year",78
"accessory",77
"day",77
"equipment",77
"however",76
"action",75
"activity",75
"districts",75
"assessment",74
"first",74
"period",74
"waste",74
"earth",73
"law",73
"restricted",73
"safety",73
"osmud",72
"maximum",71
"access",70
"community",70
"enforcement",70
"massachusetts",70
"betterment",69
"cause",69
"compliance",69
"designed",69
"disposal",69
"license",69
"whether",69
"stm",68
"based",67
"location",67
"maintenance",67
"operation",67
"persons",67
"three",67
"prohibited",66
"size",66
"violations",66
"written",66
"abutting",65
"kennel",65
"least",65
"owners",65
"additional",64
"annual",63
"frontage",63
"historic",63
"procedures",63
"total",63
"assessed",62
"report",62
"residence",62
"right",62
"adequate",61
"adjacent",61
"deemed",61
"laws",61
"members",61
"officer",61
"parcel",61
"streets",61
"installation",60
"subdivision",60
"wastes",60
"determined",59
"fund",59
"amount",58
"office",58
"properties",58
"related",58
"collection",57
"definitions",57
"event",57
"filed",57
"none",57
"penalties",57
"trees",57
"determination",56
"issuance",56
"specific",56
"subsequent",56
"ways",56
"works",56
"animal",55
"individual",55
"issue",55
"payment",55
"side",55
"single",55
"term",55
"appeal",54
"ch",54
"cmr",54
"landscape",54
"receipt",54
"service",54
"sign",54
"act",53
"constitute",53
"established",53
"features",53
"filing",53
"gross",53
"intent",53
"neighborhood",53
"roads",53
"wetlands",53
"criteria",52
"maintained",52
"place",52
"portion",52
"systems",52
"care",51
"five",51
"make",51
"marijuana",51
"outdoor",51
"specified",51
"vote",51
"also",50
"applications",50
"constructed",50
"determine",50
"driveway",50
"granted",50
"resources",50
"road",50
"significant",50
"surface",50
"addition",49
"costs",49
"emergency",49
"plant",49
"reasonable",49
"appropriation",48
"drainage",48
"file",48
"history",48
"methods",48
"privilege",48
"yard",48
"assessments",47
"buffer",47
"effect",47
"inspection",47
"penalty",47
"professional",47
"restrictions",47
"contained",46
"included",46
"member",46
"remain",46
"retail",46
"scenic",46
"tank",46
"village",46
"alteration",45
"concept",45
"garden",45
"grant",45
"held",45
"management",45
"registered",45
"regulation",45
"requirement",45
"sewage",45
"applicability",44
"discharges",44
"every",44
"herein",44
"manner",44
"registration",44
"sp",44
"stormwater",44
"submission",44
"subsection",44
"apartment",43
"dogs",43
"fine",43
"home",43
"ownership",43
"procedure",43
"supply",43
"administration",42
"failure",42
"federal",42
"hold",42
"inspector",42
"possible",42
"pretreatment",42
"submit",42
"available",41
"copy",41
"dog",41
"establishment",41
"extent",41
"exterior",41
"family",41
"material",41
"meet",41
"method",41
"organization",41
"relating",41
"tree",41
"westborough",41
"agent",40
"case",40
"change",40
"employees",40
"fiscal",40
"ground",40
"guidelines",40
"level",40
"limitations",40
"lines",40
"mean",40
"nmu",40
"per",40
"temporary",40
"width",40
"amendments",39
"associated",39
"center",39
"driveways",39
"extension",39
"notification",39
"officers",39
"sale",39
"acres",38
"comply",38
"contain",38
"developed",38
"either",38
"form",38
"given",38
"hours",38
"improvements",38
"local",38
"medical",38
"products",38
"reserved",38
"resource",38
"result",38
"screening",38
"soil",38
"40a",37
"conserved",37
"cost",37
"interest",37
"lighting",37
"map",37
"process",37
"records",37
"take",37
"vehicles",37
"address",36
"agency",36
"communications",36
"consisting",36
"containing",36
"dwellings",36
"final",36
"indicated",36
"landscaping",36
"quality",36
"see",36
"storm",36
"vehicle",36
"court",35
"funds",35
"intended",35
"official",35
"severability",35
"shown",35
"spga",35
"sufficient",35
"tanks",35
"adult",34
"designee",34
"determines",34
"disposition",34
"effective",34
"expense",34
"expenses",34
"nonresidential",34
"objectives",34
"offices",34
"projects",34
"record",34
"referred",34
"removed",34
"septage",34
"standard",34
"writing",34
"administrative",33
"certificate",33
"condition",33
"conduct",33
"connection",33
"described",33
"ensure",33
"greater",33
"hazardous",33
"outside",33
"protect",33
"underground",33
"undeveloped",33
"users",33
"wireless",33
"abutters",32
"agreement",32
"agricultural",32
"characteristics",32
"charges",32
"environmental",32
"future",32
"living",32
"nonconforming",32
"prevent",32
"repairs",32
"similar",32
"taken",32
"trust",32
"walls",32
"impact",31
"legal",31
"monitoring",31
"overlay",31
"owned",31
"recommendations",31
"responsible",31
"subdistrict",31
"whichever",31
"zone",31
"consistent",30
"groundwater",30
"modifications",30
"motor",30
"pay",30
"personnel",30
"recreational",30
"utilities",30
"violates",30
"approve",29
"can",29
"centers",29
"convenience",29
"criminal",29
"distance",29
