"Word","Freq"
"shall",197
"trees",79
"required",78
"landscaping",62
"feet",50
"areas",48
"standards",45
"tree",42
"parking",41
"landscape",40
"within",39
"height",33
"lot",31
"may",30
"section",30
"street",30
"located",29
"area",28
"property",28
"design",27
"plant",27
"use",27
"existing",25
"adjacent",24
"fence",24
"materials",24
"minimum",24
"buffer",23
"following",23
"site",23
"one",22
"fences",21
"public",21
"type",21
"walls",21
"water",21
"swales",20
"irrigation",19
"zoning",19
"building",18
"city",18
"inches",18
"planting",18
"width",18
"approved",17
"buffers",17
"least",17
"provided",17
"requirements",17
"shrubs",17
"used",17
"alternative",16
"class",16
"compliance",16
"comply",16
"development",16
"planted",16
"practicable",16
"stormwater",16
"uses",16
"figure",15
"construction",14
"exceed",14
"installed",14
"maximum",14
"nonresidential",14
"side",14
"allowed",13
"director",13
"district",13
"percent",13
"protection",13
"screening",13
"way",13
"except",12
"extent",12
"landscaped",12
"line",12
"mixed-use",12
"new",12
"rear",12
"sidewalk",12
"soil",12
"easement",11
"planning",11
"species",11
"table",11
"visual",11
"zone",11
"apply",10
"districts",10
"frontage",10
"installation",10
"interior",10
"mulch",10
"mx-",10
"planter",10
"purpose",10
"root",10
"six",10
"utilities",10
"utility",10
"along",9
"approval",9
"clear",9
"five",9
"front",9
"greater",9
"ground",9
"including",9
"lawn",9
"limited",9
"maintenance",9
"permitted",9
"plan",9
"plants",9
"prohibited",9
"residential",9
"right-of",9
"screen",9
"section11-",9
"spaced",9
"standard",9
"applicant",8
"certificate",8
"designed",8
"dwelling",8
"eight",8
"equipment",8
"lots",8
"material",8
"multiple-family",8
"pursuant",8
"service",8
"setback",8
"setbacks",8
"spaces",8
"three",8
"will",8
"adopted",7
"applicability",7
"applicable",7
"application",7
"appropriate",7
"critical",7
"depth",7
"forestry",7
"four",7
"groundcover",7
"guide",7
"islands",7
"location",7
"means",7
"meet",7
"native",7
"per",7
"perimeter",7
"primary",7
"proposed",7
"provide",7
"require",7
"rock",7
"selection",7
"solid",7
"swale",7
"vehicle",7
"accommodate",6
"additional",6
"community",6
"conditions",6
"conflict",6
"considered",6
"decorative",6
"enclosure",6
"evergreen",6
"feature",6
"features",6
"fencing",6
"full",6
"include",6
"infiltration",6
"integrated",6
"land",6
"lines",6
"mature",6
"maturity",6
"open",6
"prior",6
"reduce",6
"related",6
"screened",6
"shown",6
"size",6
"spacing",6
"unless",6
"using",6
"vegetation",6
"vision",6
"wall",6
"access",5
"amendment",5
"arterial",5
"attached",5
"based",5
"buffering",5
"caliper",5
"collector",5
"cover",5
"deciduous",5
"detached",5
"determined",5
"drainage",5
"driveways",5
"intended",5
"less",5
"linear",5
"listed",5
"natural",5
"number",5
"obtained",5
"outside",5
"pedestrian",5
"permit",5
"quality",5
"requiring",5
"retained",5
"separated",5
"sidewalks",5
"specific",5
"storage",5
"streets",5
"surface",5
"trenching",5
"triangle",5
"two",5
"types",5
"vegetative",5
"without",5
"ada",4
"applied",4
