"Word","Freq"
"shall",77
"trees",59
"landscape",56
"use",53
"plant",48
"required",40
"tree",40
"zone",40
"land",36
"oc",36
"landscaping",35
"area",31
"requirements",30
"building",29
"planting",28
"interior",24
"material",24
"feet",23
"plan",23
"screening",23
"public",22
"plants",21
"street",21
"may",20
"one",18
"planning",18
"property",18
"easement",17
"ordinance",17
"row",17
"minimum",16
"perimeter",16
"species",16
"department",15
"hedge",15
"must",15
"residential",15
"areas",14
"plus",14
"vehicular",14
"wall",14
"will",14
"codes",13
"fence",13
"list",13
"min",13
"parking",13
"shrubs",13
"yard",13
"bond",12
"city",12
"double",12
"height",12
"manual",12
"adjoins",11
"ft",11
"greater",11
"materials",11
"side",11
"single",11
"sq",11
"variance",11
"except",10
"existing",10
"landscaped",10
"owner",10
"way",10
"year",10
"ground",9
"inspection",9
"per",9
"private",9
"provided",9
"two",9
"used",9
"within",9
"american",8
"common",8
"credit",8
"district",8
"dumpster",8
"family",8
"guidelines",8
"letter",8
"location",8
"posted",8
"rd",8
"square",8
"staggered",8
"three",8
"also",7
"approval",7
"board",7
"can",7
"developer",7
"development",7
"either",7
"front",7
"pavement",7
"plans",7
"project",7
"state",7
"zones",7
"addition",6
"along",6
"approved",6
"article",6
"commercial",6
"committee",6
"construction",6
"easements",6
"fencing",6
"final",6
"highway",6
"inches",6
"installation",6
"kentucky",6
"magnolia",6
"maintenance",6
"matrix",6
"mature",6
"new",6
"permit",6
"planted",6
"prior",6
"schedule",6
"size",6
"spaces",6
"specifications",6
"time",6
"unless",6
"",6
"acer",5
"blue",5
"cost",5
"crown",5
"deciduous",5
"earth",5
"edge",5
"evergreen",5
"file",5
"five",5
"following",5
"general",5
"granted",5
"installed",5
"name",5
"proposed",5
"rear",5
"recommended",5
"representative",5
"requiring",5
"review",5
"subdivision",5
"substantial",5
"total",5
"white",5
"zoning",5
"advisory",4
"application",4
"botanical",4
"caliper",4
"commission",4
"company",4
"conformance",4
"consist",4
"continuous",4
"cover",4
"date",4
"density",4
"determined",4
"drive",4
"driveway",4
"duplex",4
"earthmound",4
"fences",4
"fifteen",4
"ginkgo",4
"grass",4
"hardy",4
"holly",4
"ilex",4
"improvements",4
"information",4
"japanese",4
"least",4
"less",4
"lines",4
"listed",4
"lists",4
"loan",4
"located",4
"lot",4
"lots",4
"made",4
"maple",4
"meet",4
"members",4
"mortgage",4
"note",4
"oak",4
"pine",4
"pinus",4
"professional",4
"publishing",4
"quercus",4
"reach",4
"red",4
"refuse",4
"replaced",4
"residences",4
"right-of",4
"savings",4
"sidewalk",4
"spread",4
"taxus",4
"uses",4
"utility",4
"viburnum",4
"wood",4
"woody",4
"years",4
"yew",4
"added",3
"adjacent",3
"adjoining",3
"adjustment",3
"adjustments",3
"amount",3
"applicant",3
"ash",3
"association",3
"automobile",3
"autumn",3
"average",3
"bank",3
"center",3
"chancellor",3
"check",3
"chinese",3
"closer",3
"co",3
"complete",3
"concrete",3
"conditions",3
"conform",3
"contained",3
"cornus",3
"county",3
"create",3
"damage",3
"details",3
"determine",3
"diameter",3
"dumpsters",3
"established",3
"excessive",3
"exist",3
"facing",3
"follows",3
"four",3
"frame",3
"frankfort",3
"green",3
"helpful",3
"high",3
"included",3
"inspector",3
"install",3
"issued",3
"larger",3
"met",3
"owners",3
"paved",3
"permitted",3
"placed",3
"proper",3
"quantity",3
"regulations",3
"request",3
"require",3
"right",3
"rights-of",3
"section",3
"seven",3
"sides",3
"sight",3
"sites",3
"smaller",3
"solid",3
"statistics",3
"streets",3
"submission",3
"submitted",3
"substituted",3
"surety",3
"ten",3
"triangle",3
"trunk",3
"urban",3
"walls",3
"abelia",2
"abies",2
"acceptable",2
"accepted",2
"according",2
"additional",2
"adequate",2
"adversely",2
"affect",2
"air",2
"allowed",2
"americana",2
"angel",2
"anglojap",2
"appearance",2
"appointed",2
"appropriate",2
"aristocrat",2
"assist",2
"associated",2
"auto",2
"banks",2
"beds",2
"berm",2
"biloba",2
"block",2
"boundary",2
"brownii",2
"callery",2
"calleryana",2
"canadensis",2
"cars",2
"cases",2
"cash",2
"cause",2
"cedar",2
"certify",2
"chain",2
"changes",2
"character",2
"checking",2
"circumstances",2
"comments",2
"community",2
"companies",2
"contain",2
"container",2
"continued",2
"contour",2
"contract",2
"contracting",2
"cotoneaster",2
"coverage",2
"curb",2
"cutting",2
"dead",2
"dealership",2
"dealerships",2
"deemed",2
"deep",2
"designed",2
"dirr",2
"distance",2
"division",2
"donald",2
"driveways",2
"earthen",2
"eastern",2
"elevation",2
"encroachment",2
"erosion",2
"euonymus",2
"evergreens",2
"exception",2
"female",2
"findings",2
"flame",2
"florida",2
"franklin",2
"free",2
"fulfill",2
"full",2
"gardens",2
"gleditsia",2
"government",2
