"Word","Freq"
"shall",26521
"section",10248
"city",7456
"ord",6308
"may",6279
"eff",6239
"building",5539
"code",5450
"department",5420
"sec",5210
"person",4966
"permit",4949
"street",4358
"required",4318
"amended",4297
"within",4007
"public",3932
"area",3801
"use",3754
"provided",3632
"provisions",3610
"property",3205
"board",3202
"article",2853
"parking",2806
"upon",2773
"feet",2766
"los",2749
"angeles",2721
"following",2656
"pursuant",2655
"fee",2591
"time",2562
"application",2529
"one",2449
"lot",2341
"used",2294
"notice",2256
"business",2225
"requirements",2147
"avenue",2134
"fire",1974
"owner",1971
"subsection",1956
"added",1882
"plan",1858
"vehicle",1845
"hearing",1756
"set",1748
"work",1746
"date",1738
"tax",1737
"boulevard",1735
"general",1731
"including",1707
"days",1700
"director",1694
"zone",1672
"buildings",1599
"fees",1577
"california",1555
"safety",1551
"approved",1548
"except",1543
"water",1527
"less",1512
"applicant",1497
"structure",1493
"commission",1483
"forth",1468
"chapter",1467
"subject",1457
"will",1457
"residential",1454
"issued",1442
"made",1422
"existing",1399
"said",1386
"located",1373
"state",1355
"approval",1354
"council",1353
"purpose",1349
"unit",1347
"regulations",1334
"division",1329
"violation",1310
"district",1284
"accordance",1282
"minimum",1278
"construction",1277
"order",1277
"service",1276
"prior",1273
"apply",1268
"development",1268
"thereof",1259
"amount",1258
"adopted",1253
"equipment",1243
"permitted",1233
"project",1225
"planning",1224
"period",1222
"subdivision",1201
"per",1190
"materials",1188
"appeal",1181
"height",1179
"defined",1166
"system",1158
"written",1157
"applicable",1156
"include",1156
"ordinance",1156
"purposes",1146
"number",1142
"areas",1141
"conditions",1135
"administrative",1120
"unless",1120
"location",1117
"authority",1116
"inspection",1110
"site",1101
"map",1091
"additional",1085
"dwelling",1078
"compliance",1067
"floor",1064
"agency",1060
"specified",1059
"necessary",1058
"control",1047
"certificate",1035
"place",1035
"means",1032
"least",1024
"otherwise",1022
"part",1017
"comply",1010
"services",1010
"proposed",1002
"officer",993
"permits",993
"sections",993
"portion",992
"line",990
"authorized",989
"without",985
"space",984
"premises",981
"units",979
"land",970
"persons",969
"information",965
"new",964
"signs",964
"paid",954
"provide",954
"request",941
"two",940
"municipal",935
"first",929
"sign",927
"every",923
"commercial",921
"decision",921
"facilities",917
"exceed",913
"event",911
"limited",903
"design",899
"action",894
"park",894
"uses",890
"office",883
"zoning",874
"sale",870
"addition",865
"payment",865
"special",856
"designated",849
"manner",848
"wall",847
"report",844
"must",837
"police",836
"mean",832
"storage",830
"hereby",823
"review",819
"maintained",818
"housing",812
"private",806
"determined",803
"streets",795
"law",794
"square",794
"year",794
"oper",793
"vehicles",786
"yard",784
"costs",768
"operation",768
"specific",768
"plans",763
"established",759
"percent",756
"also",752
"charge",752
"filed",752
"standards",750
"systems",740
"make",735
"rental",735
"facility",728
"finance",716
"traffic",714
"day",713
"connection",701
"structures",699
"hours",693
"tenant",685
"title",680
"maintenance",674
"procedures",673
"imposed",672
"total",670
"cause",668
"determination",668
"permittee",668
"either",665
"provision",661
"whether",661
"maximum",659
"require",658
"health",657
"rent",657
"pay",651
"open",649
"side",647
"due",644
"enforcement",644
"installed",644
"waste",644
"act",643
"name",643
"engineer",640
"occupancy",638
"material",635
"license",632
"emergency",631
"form",631
"community",630
"adjacent",627
"deemed",625
"issuance",623
"administrator",616
"similar",610
"definitions",609
"change",608
"three",608
"repair",599
"cost",597
"however",594
"zones",591
"address",589
"operator",587
"landlord",586
"condition",584
"manager",583
"installation",580
"dog",577
"way",577
"prohibited",571
"power",567
"exception",562
"program",562
"spaces",561
"file",558
"inches",557
"lots",556
"filing",553
"type",551
"transfer",548
"width",547
"access",546
"hotel",545
"five",544
"individual",544
"years",544
"device",538
"bureau",530
"final",528
"registration",527
"walls",525
"industrial",522
"jurisdiction",519
"responsible",519
"front",518
"penalties",515
"designed",513
"effective",513
"greater",508
"center",506
"failure",502
"table",501
"county",499
"rules",496
"surface",494
"whenever",494
"temporary",493
"parcel",492
"room",490
"transportation",489
"limits",488
"effect",487
"chief",485
"available",484
"described",484
"evidence",481
"submitted",480
"activities",478
"statement",477
"maintain",476
"penalty",475
"right",474
"animal",473
"personal",473
"interest",472
"reference",470
"writing",469
"based",468
"drive",465
"superintendent",465
"term",464
"sewer",459
"reasonable",458
"appropriate",457
"herein",455
"ten",453
"works",452
"employee",449
"charges",446
"rate",446
"level",445
"collected",441
"hazardous",441
"case",440
"exceptions",439
"notwithstanding",439
"operations",439
"conduct",437
"constructed",431
"rooms",430
"gas",428
"along",427
"determines",427
"matter",427
"roof",427
"removal",425
"determine",421
"collection",420
"court",418
"issue",418
"terms",418
"includes",416
"prescribed",413
"shown",412
"properties",411
"grading",408
"agreement",406
"solid",405
"result",404
"conducted",403
"sidewalk",403
"discharge",402
"devices",401
"class",399
"oil",398
"establishment",397
"unlawful",397
"yards",397
"findings",394
"posted",394
"received",393
"meet",391
"civil",390
"granted",389
"exterior",388
"official",388
"record",387
"six",386
