"Word","Freq"
"shall",2388
"code",1036
"city",865
"ord",849
"use",797
"part",683
"chapter",660
"zoning",599
"may",589
"section",571
"required",569
"public",549
"repealed",525
"development",524
"property",456
"permit",454
"sign",414
"compliance",408
"parking",408
"review",404
"map",392
"standards",390
"area",388
"within",380
"building",379
"structure",371
"feet",353
"application",349
"plan",349
"signs",338
"land",330
"facilities",323
"uses",312
"director",309
"requirements",306
"adds",300
"zone",299
"provided",298
"residential",294
"provisions",293
"means",287
"council",285
"lot",285
"amends",283
"approval",278
"following",273
"design",255
"la",252
"puente",252
"parcel",249
"general",244
"located",243
"facility",240
"applicable",239
"space",235
"ch",233
"amendment",230
"title",226
"business",222
"structures",222
"decision",221
"proposed",220
"site",220
"street",217
"areas",215
"purpose",212
"one",210
"subject",200
"see",197
"allowed",196
"zones",194
"time",193
"minimum",185
"regulations",184
"project",183
"specific",182
"commission",180
"county",180
"approved",177
"height",174
"upon",174
"authority",173
"including",173
"notice",172
"ft",170
"applicant",169
"wall",169
"include",167
"water",165
"service",163
"permitted",162
"used",162
"temporary",159
"vehicle",158
"accessory",157
"hearing",156
"final",155
"findings",154
"agreement",150
"permits",149
"person",149
"less",147
"except",143
"materials",143
"health",142
"minor",141
"way",141
"existing",140
"location",140
"municipal",140
"division",139
"provide",139
"equipment",138
"commercial",136
"definitions",135
"per",135
"services",135
"dwelling",130
"specified",130
"r-",129
"conditions",127
"appeal",125
"line",125
"nonconforming",125
"construction",124
"setback",124
"planning",122
"unit",122
"safety",120
"state",120
"landscaping",119
"sales",119
"open",118
"days",117
"et",117
"maintenance",117
"california",116
"limited",116
"tentative",116
"action",114
"set",114
"wireless",114
"private",113
"seq",112
"side",111
"square",110
"will",110
"spaces",109
"care",108
"sections",108
"sf",108
"additional",107
"engineer",107
"filing",106
"apply",105
"repeals",105
"day",104
"streets",104
"comply",103
"unless",103
"fire",102
"maintained",101
"prohibited",101
"angeles",100
"los",100
"number",100
"personal",100
"storage",100
"article",99
"otherwise",99
"owner",99
"adjacent",98
"exceed",98
"similar",98
"tract",97
"width",97
"date",95
"communications",94
"new",94
"access",93
"designed",93
"right-of",93
"vehicles",93
"front",92
"landscape",92
"maximum",92
"necessary",92
"yard",92
"established",91
"walls",91
"improvements",90
"portion",90
"fence",89
"act",88
"law",88
"ordinance",88
"outdoor",85
"contained",84
"display",84
"purposes",84
"special",84
"cup",83
"housing",83
"information",83
"applicability",82
"pursuant",82
"units",82
"establishment",81
"off-street",81
"size",81
"violation",81
"lots",80
"addition",79
"conditional",79
"deemed",79
"fees",78
"manner",78
"note",77
"electronic",76
"forth",76
"least",76
"processing",76
"table",76
"also",75
"appeals",74
"fee",74
"government",74
"prior",74
"report",74
"two",74
"activities",73
"department",73
"highway",73
"percent",73
"adult",72
"fences",72
"subdivider",72
"maps",71
"subdivision",71
"approve",70
"electrical",70
"consistent",69
"control",69
"provides",69
"filed",68
"floor",68
"loading",68
"plans",68
"premises",68
"variance",68
"defined",67
"retail",67
"utility",67
"either",66
"body",65
"home",65
"office",65
"sale",65
"appropriate",64
"intended",63
"period",63
"reasonable",63
"allowable",62
"made",62
"adoption",61
"common",61
"mechanical",61
"projects",61
"require",61
"written",61
"determined",60
"community",59
"establishments",59
"five",59
"shown",59
"constructed",58
"improvement",58
"pedestrian",58
"system",58
"terms",58
"amendments",57
"figure",57
"gov",57
"inches",57
"industrial",57
"irrigation",57
"properties",57
"related",57
"request",57
"traffic",57
"architectural",56
"form",56
"operation",56
"plumbing",56
"density",55
"persons",55
"planned",55
"rear",55
"subsection",55
"work",55
"alley",54
"associated",54
"procedures",54
"separate",54
"animal",53
"assembly",53
"distance",53
"ensure",53
"includes",53
"modification",53
"repair",53
"single",53
"six",53
"thereof",53
"total",53
"case",52
"medical",52
"board",51
"district",51
"environmental",51
"installation",51
"large",51
"material",51
"whether",51
"without",51
"applications",50
"limits",50
"solid",50
"type",50
"accordance",49
"c-",49
"clearance",49
"condition",49
"copy",49
"effective",49
"erected",49
"parcels",49
"resolution",49
"security",49
"based",48
"change",48
"considered",48
"family",48
"hours",48
"lines",48
"amended",47
"every",47
"evidence",47
"master",47
"on-site",47
"performance",47
"story",47
