"Word","Freq"
"shall",212
"landscape",160
"ordinance",153
"guidelines",137
"may",131
"city",109
"angeles",102
"los",101
"water",91
"required",89
"area",86
"code",75
"tree",74
"feet",73
"amended",71
"trees",67
"street",60
"use",60
"april",59
"effective",58
"irrigation",58
"project",58
"areas",55
"ca",55
"july",55
"operational",55
"page",55
"per",55
"cf",54
"cpc",54
"parking",54
"points",54
"specific",53
"plan",51
"implement",47
"planting",44
"existing",43
"department",41
"section",41
"system",41
"building",39
"minimum",37
"requirements",37
"techniques",36
"square",35
"plant",34
"provisions",34
"management",33
"municipal",33
"point",33
"plants",32
"solar",32
"planning",31
"planted",31
"public",31
"sections",30
"soil",30
"vehicular",29
"design",28
"used",28
"approval",27
"features",25
"structures",25
"except",24
"native",24
"provided",24
"slope",23
"lot",22
"one",22
"guideline",21
"systems",21
"wall",21
"zones",21
"ground",20
"safety",20
"sec",20
"buffer",19
"etc",19
"landscaping",19
"new",19
"site",19
"will",19
"commission",18
"conservation",18
"grading",18
"natural",18
"park",18
"paving",18
"can",17
"inches",17
"lamc",17
"landscaped",17
"open",17
"purpose",17
"surface",17
"air",16
"application",16
"elevation",16
"energy",16
"height",16
"land",16
"percent",16
"provision",16
"thereof",16
"walls",16
"applicant",15
"designed",15
"exceptions",15
"lawn",15
"permit",15
"whereas",15
"appropriate",14
"director",14
"documents",14
"fire",14
"plans",14
"provide",14
"size",14
"cover",13
"grass",13
"gray",13
"hereby",13
"installed",13
"lots",13
"order",13
"quality",13
"sign",13
"uses",13
"vines",13
"waste",13
"zone",13
"control",12
"cultural",12
"development",12
"device",12
"following",12
"fraction",12
"heat",12
"irrigated",12
"less",12
"shading",12
"slopes",12
"summer",12
"table",12
"blue",11
"chapter",11
"commercial",11
"division",11
"established",11
"foot",11
"frontage",11
"greater",11
"historic",11
"include",11
"must",11
"portion",11
"refer",11
"structure",11
"vegetation",11
"yard",11
"accordance",10
"approved",10
"awarded",10
"case",10
"certificate",10
"class",10
"conditions",10
"constructed",10
"durable",10
"equipment",10
"finish",10
"includes",10
"landform",10
"least",10
"made",10
"material",10
"organic",10
"permeable",10
"state",10
"substantial",10
"type",10
"unless",10
"white",10
"allowed",9
"barrier",9
"board",9
"claimed",9
"color",9
"completion",9
"concrete",9
"deciduous",9
"depth",9
"environment",9
"establishment",9
"growth",9
"hillside",9
"living",9
"located",9
"maintenance",9
"parkway",9
"pressure",9
"projects",9
"property",9
"proposed",9
"recharge",9
"reduction",9
"regulations",9
"residential",9
"runoff",9
"subsection",9
"sunset",9
"addition",8
