"Word","Freq"
"city",1128
"shall",974
"code",564
"park",527
"litchfield",480
"licensee",465
"chapter",360
"license",354
"cable",345
"current",240
"ordinance",235
"ord",232
"page",228
"passed",227
"june",226
"public",218
"may",208
"required",183
"street",169
"section",167
"service",162
"land",146
"within",146
"plat",144
"art",143
"television",138
"use",138
"streets",127
"person",126
"subdivision",125
"system",125
"icle",123
"special",121
"amends",119
"facilities",118
"property",117
"access",114
"application",109
"construction",109
"council",109
"means",109
"article",105
"provide",102
"zoning",102
"services",100
"upon",99
"time",97
"approved",95
"permit",95
"requirements",95
"regulations",94
"lot",92
"one",89
"engineer",87
"provided",87
"area",85
"days",84
"department",84
"event",83
"manager",82
"will",79
"applicant",74
"following",74
"including",74
"standards",73
"way",73
"final",72
"reserved",71
"accordance",69
"set",69
"provisions",68
"state",67
"notice",64
"except",63
"fee",62
"feet",62
"approval",61
"information",60
"line",60
"lines",57
"proposed",57
"subscriber",57
"utility",57
"conditions",56
"prior",56
"adds",55
"law",55
"plan",55
"preliminary",55
"control",53
"development",53
"forth",53
"telecommunications",53
"franchise",52
"major",52
"minor",52
"include",50
"pursuant",50
"subdivider",50
"without",50
"bicycle",49
"date",49
"failure",49
"general",49
"hundred",49
"improvements",49
"existing",48
"necessary",47
"division",46
"drainage",46
"map",46
"violation",46
"written",46
"reasonable",45
"subject",45
"comply",44
"fees",44
"right",44
"applicable",43
"areas",43
"business",43
"equipment",43
"golf",43
"plans",43
"transfer",42
"made",41
"private",41
"review",41
"sale",41
"board",40
"building",40
"design",40
"minimum",40
"part",40
"traffic",40
"unless",40
"compliance",39
"hearing",39
"right-of",39
"water",39
"location",38
"manner",38
"parks",38
"subscribers",38
"authorized",37
"channels",37
"less",37
"limited",37
"make",37
"otherwise",37
"request",37
"terms",37
"thereof",37
"thirty",37
"designated",36
"granted",36
"local",36
"period",36
"insurance",35
"purpose",35
"arizona",34
"two",34
"bicycles",33
"director",33
"front",32
"lots",32
"new",32
"available",31
"corporation",31
"federal",31
"hours",31
"installed",31
"ion",31
"mean",31
"pay",31
"planning",31
"events",30
"permits",30
"recreation",30
"said",30
"tax",30
"underground",30
"channel",29
"county",29
"must",29
"number",29
"programming",29
"residential",29
"sections",29
"used",29
"whether",29
"agreement",28
"connection",28
"easements",28
"interest",28
"place",28
"report",28
