"Word","Freq"
"shall",1416
"zoning",606
"use",495
"code",483
"section",422
"building",406
"development",401
"city",381
"area",362
"sign",342
"park",335
"litchfield",331
"property",326
"may",323
"feet",322
"part",301
"design",279
"public",251
"lot",250
"yard",250
"ord",244
"required",244
"regulations",235
"parking",234
"district",223
"review",216
"residential",213
"land",200
"plan",198
"height",192
"approval",181
"requirements",179
"one",177
"signs",175
"within",174
"uses",166
"ordinance",165
"board",162
"permit",162
"site",161
"council",156
"side",154
"buildings",141
"application",139
"minimum",136
"street",136
"areas",134
"less",133
"standards",133
"front",132
"approved",131
"structure",130
"commercial",127
"current",127
"used",125
"proposed",123
"page",122
"december",121
"passed",121
"located",120
"space",119
"including",118
"set",117
"structures",116
"open",115
"time",113
"include",112
"landscaping",112
"provided",112
"following",110
"adjacent",104
"location",102
"two",97
"additional",96
"materials",96
"general",93
"forth",92
"unit",92
"commission",90
"hearing",89
"notice",89
"setback",89
"spaces",88
"medical",86
"marijuana",84
"permitted",84
"facilities",83
"provide",83
"wall",83
"exceed",81
"upon",81
"accessory",80
"business",79
"dwelling",79
"except",79
"maximum",79
"owner",79
"unless",78
"provisions",77
"walls",74
"administrator",73
"applicant",73
"streets",73
"percent",72
"districts",71
"rear",71
"landscape",69
"line",69
"square",68
"width",68
"hundred",66
"special",66
"density",65
"existing",65
"per",65
"purpose",65
"otherwise",64
"home",63
"will",62
"community",61
"compliance",61
"units",61
"conditions",60
"lighting",60
"drainage",59
"five",59
"comply",58
"must",58
"project",58
"ten",57
"days",56
"map",56
"plans",56
"pursuant",56
"sf",56
"size",56
"distance",55
"number",55
"premises",55
"right",55
"subject",55
"temporary",55
"three",55
"violation",55
"amends",54
"way",54
"care",53
"condominium",53
"floor",53
"services",53
"accordance",52
"change",52
"dispensary",52
"purposes",52
"service",52
"common",51
"equipment",51
"means",51
"decision",50
"facility",50
"amendment",49
"appropriate",49
"definition",49
"designed",49
"limited",49
"parcel",49
"planning",49
"prior",49
"protected",49
"resort",49
"access",48
"principal",48
"depth",47
"exterior",47
"ft",47
"storage",47
"applicable",46
"officer",46
"planned",46
"subsection",46
"subsections",46
"cultivation",45
"information",45
"fences",44
"neighborhood",44
"view",44
"architectural",43
"fifty",43
"least",43
"natural",43
"procedures",43
"period",42
"person",42
"placed",42
"roof",42
"state",42
"stormwater",42
"subdivision",42
"yards",42
"construction",41
"ground",41
"properties",41
"safety",41
"twenty",41
"enforcement",40
"master",40
"signage",40
"thirty",40
"applications",39
"arizona",39
"group",39
"intended",39
"landscaped",39
"pedestrian",39
"similar",39
"water",39
"allowed",38
"control",38
"corner",38
"date",38
"necessary",38
"private",38
"vehicles",38
"designated",37
"flood",37
"new",37
"sq",37
"submitted",37
"thousand",37
"written",37
"amendments",36
"compatible",36
"comprehensive",36
"coverage",36
"made",36
"program",36
"variance",36
"visible",36
"developments",35
"loading",35
"manner",35
"total",35
"appeal",34
"constructed",34
"grade",34
"law",34
"lots",34
"multifamily",34
"on-site",34
"primary",34
"related",34
"screened",34
"thereof",34
"trees",34
"wcf",34
"circulation",33
"features",33
"health",33
"maintained",33
"persons",33
"vehicle",33
"without",33
"encouraged",32
"fence",32
"filed",32
"matrix",32
"owners",32
"plat",32
"every",31
"light",31
"mounted",31
"require",31
"retention",31
"screening",31
"surface",31
"act",30
"apply",30
"conform",30
"county",30
"elements",30
"four",30
"included",30
"name",30
"place",30
"said",30
"sale",30
"single",30
"approve",29
"character",29
"considered",29
"measured",29
"permits",29
"projects",29
"request",29
"specific",29
"authorized",28
"department",28
"fee",28
"material",28
"provision",28
"see",28
"six",28
"addition",27
"form",27
"herein",27
"high",27
"locations",27
"rental",27
"requirement",27
"separate",27
"whether",27
"condition",26
"consistent",26
"copy",26
"criteria",26
"greater",26
"installed",26
"issued",26
"lines",26
"living",26
"off-site",26
"recommendation",26
"text",26
"traffic",26
"twenty-five",26
"visual",26
"accepted",25
"adopted",25
"agreement",25
"color",25
"event",25
"interest",25
"medium",25
"members",25
"office",25
"order",25
"prohibited",25
"single-family",25
"support",25
"surrounding",25
"action",24
"adds",24
"center",24
"collector",24
"driveways",24
"energy",24
"low",24
"maricopa",24
"meeting",24
"outdoor",24
"provides",24
"rezoning",24
"setbacks",24
"caregiver",23
"colors",23
"consisting",23
"failure",23
"improvements",23
"individual",23
"level",23
"reasonable",23
"rights-of",23
"system",23
"27a",22
"away",22
"court",22
"established",22
"intersection",22
"issuance",22
"mechanical",22
"nonconforming",22
"off-street",22
"permanent",22
"regional",22
"right-of",22
"adjustment",21
"along",21
"arterial",21
"covered",21
"create",21
"defined",21
"entry",21
"foot",21
"forty",21
"identification",21
"includes",21
"leaving",21
"monument",21
"occupancy",21
"panel",21
"point",21
"requested",21
"adjoining",20
"appeals",20
"concrete",20
"directed",20
"downward",20
"entering",20
"federal",20
"frontage",20
"house",20
"internal",20
"maintain",20
"preliminary",20
"r1-",20
"removed",20
"solar",20
"stories",20
"utility",20
"value",20
"vertical",20
"wcfs",20
"acres",19
"affected",19
"boundaries",19
"buffer",19
"conforming",19
"definitions",19
"devices",19
"erected",19
"fifteen",19
"first",19
"freestanding",19
"homes",19
"illuminated",19
"industrial",19
"maintenance",19
"pathways",19
"plant",19
"recreation",19
"residents",19
"sales",19
"scale",19
"sixty",19
"split-off",19
"submit",19
"tree",19
"vehicular",19
"violations",19
"window",19
"activities",18
"activity",18
"administrative",18
"allowable",18
"another",18
"back",18
"changes",18
"circumstances",18
"contain",18
"deny",18
"eight",18
"evidence",18
"final",18
"finished",18
"flag",18
"function",18
"guidelines",18
"handicapped",18
"metal",18
"patient",18
"placement",18
"regulation",18
"type",18
"wireless",18
"aggregate",17
"attached",17
"case",17
"combination",17
"dedication",17
"details",17
"display",17
"given",17
"gross",17
"impacts",17
"irrigation",17
"major",17
"make",17
"masonry",17
"months",17
"overlay",17
"ownership",17
"portion",17
"process",17
"qualifying",17
"recreational",17
"safe",17
"specifically",17
"staff",17
"vote",17
"work",17
"abuts",16
"accessible",16
"address",16
"alley",16
"boundary",16
"buffers",16
"can",16
"category",16
"citizen",16
"classification",16
"consideration",16
"day",16
"designee",16
"horizontal",16
"inches",16
"intent",16
"minor",16
"net",16
"nonresidential",16
"official",16
"overall",16
"real",16
"schedule",16
"showing",16
"structural",16
"top",16
"welfare",16
"year",16
"27b",15
"allow",15
"clubs",15
"codes",15
"communications",15
"developer",15
"estate",15
"face",15
"fees",15
"fine",15
"garage",15
"good",15
"impact",15
"installation",15
"legal",15
"local",15
"main",15
"modified",15
"multiple",15
"non-conforming",15
"prevent",15
"protect",15
"restrictive",15
"retail",15
"rules",15
"shown",15
"term",15
"agent",14
"alterations",14
"alternative",14
"architecturally",14
"centers",14
"chairman",14
"complete",14
"consider",14
"continuum",14
"courtyards",14
"dissimilar",14
"elevations",14
"environment",14
"establishment",14
"extension",14
"formerly",14
"hours",14
"illumination",14
"imposed",14
"items",14
"list",14
"long",14
"meetings",14
"modify",14
"motor",14
"providing",14
"records",14
"refuse",14
"registered",14
"repair",14
"requiring",14
"restrictions",14
"security",14
"serve",14
"treatment",14
"twenty-four",14
"walkways",14
"abutting",13
"accompanied",13
"adequate",13
"administration",13
"agritourism",13
"architecture",13
"base",13
"based",13
"cause",13
"clerk",13
"conducted",13
"contained",13
"corporate",13
"described",13
"driveway",13
"ensure",13
"exception",13
"exposed",13
"feature",13
"full",13
"golf",13
"granted",13
"however",13
"inspection",13
"integrated",13
"letter",13
"livable",13
"municipal",13
"offices",13
"organization",13
"painted",13
"patio",13
"patterns",13
"penalties",13
"penalty",13
"products",13
"receive",13
"record",13
"report",13
"resolution",13
"room",13
"rooms",13
"secure",13
"separated",13
"shade",13
"sides",13
"submittal",13
"terms",13
"using",13
"well",13
"aisles",12
"also",12
"co-location",12
"conflict",12
"continued",12
"cover",12
"created",12
"curb",12
"decisions",12
"decorative",12
"determine",12
"determines",12
"determining",12
"electrical",12
"elevation",12
"exaction",12
"family",12
"filing",12
"findings",12
"fraternal",12
"future",12
