"Word","Freq"
"shall",2796
"city",1691
"ord",671
"council",578
"chapter",557
"may",548
"public",543
"section",523
"person",485
"department",483
"building",451
"year",429
"lynn",382
"part",333
"one",319
"code",303
"permit",299
"within",279
"dollars",266
"license",262
"time",261
"violation",261
"prior",258
"provisions",257
"fire",252
"upon",247
"required",245
"use",239
"owner",234
"provided",224
"general",223
"mayor",221
"office",213
"board",206
"means",205
"duties",204
"street",200
"police",199
"chief",196
"buildings",195
"property",195
"must",191
"penalty",188
"following",182
"committee",180
"business",177
"feet",176
"except",171
"used",170
"subject",169
"will",167
"members",163
"two",161
"clerk",157
"hundred",157
"parking",157
"less",156
"service",156
"codified",155
"vehicle",154
"days",151
"regulations",151
"commission",150
"health",150
"notice",150
"fees",149
"ch",146
"fee",146
"laws",145
"place",144
"vehicles",144
"made",143
"sections",143
"permits",142
"premises",139
"purpose",139
"thereof",137
"licenses",136
"work",136
"per",134
"officer",132
"sale",132
"day",130
"member",129
"commissioner",128
"persons",127
"sign",127
"animal",125
"three",125
"election",121
"without",121
"ordinance",116
"area",115
"every",115
"number",115
"removal",114
"sewer",114
"date",111
"first",111
"water",111
"unless",110
"hours",109
"five",107
"application",106
"title",106
"way",105
"control",104
"offense",102
"alm",101
"gl",99
"employees",98
"law",98
"motor",98
"school",97
"special",97
"agent",96
"district",95
"dog",95
"lot",95
"term",95
"1st",94
"necessary",94
"officers",94
"authority",92
"cause",92
"construction",92
"wires",92
"works",92
"charter",90
"duty",90
"fine",90
"order",90
"purposes",90
"years",89
"fifty",88
"requirements",88
"otherwise",87
"terms",87
"approval",86
"issued",86
"ten",86
"industrial",85
"permitted",85
"services",84
"inspection",83
"four",82
"sidewalk",82
"signs",82
"tobacco",82
"established",81
"manner",81
"massachusetts",81
"districts",80
"inspector",80
"2nd",79
"3rd",79
"least",79
"repair",79
"six",79
"streets",79
"charge",78
"solicitor",78
"written",78
"state",77
"animals",76
"licensed",76
"make",76
"period",76
"rules",76
"ways",76
"including",75
"maintenance",75
"private",74
"effective",73
"house",73
"land",73
"set",73
"assistant",72
"enforcement",72
"establishment",72
"sales",72
"storage",72
"case",71
"said",71
"vote",71
"powers",70
"accordance",69
"corporation",69
"facilities",69
"report",69
"wastewater",69
"elected",68
"appointed",67
"authorized",67
"additional",65
"emergency",65
"hearing",65
"company",64
"definitions",64
"height",64
"name",64
"space",64
"uses",64
"approved",63
"wastes",63
"designated",62
"gas",62
"operation",62
"position",62
"structure",62
"whether",62
"act",61
"amount",61
"food",61
"yard",61
"prohibited",60
"provide",60
"residence",60
"unit",60
"equipment",59
"ordinances",59
"purchasing",59
"refuse",59
"times",59
"traffic",59
"appointment",58
"conduct",58
"form",58
"line",58
"pay",58
"engineer",57
"full",57
"safety",57
"drainage",56
"dwelling",56
"deemed",55
"measure",55
"apply",54
"certificate",54
"discharge",54
"products",54
"require",54
"square",54
"agency",53
"existing",53
"proposed",53
"thirty",53
"adopted",52
"electrician",52
"exceed",52
"granted",52
"harbormaster",52
"minimum",52
"operator",52
"record",52
"removed",52
"request",52
"residential",52
"division",51
"held",51
"include",51
"perform",51
"room",51
"spaces",51
"vacancy",51
"alcoholic",50
"commercial",50
"commonwealth",50
"given",50
"percent",50
"personnel",50
"petition",50
"regular",50
"collector",49
"exceeding",49
"individual",49
"insurance",49
"open",49
"side",49
"snow",49
"whenever",49
"collection",48
"defined",48
"electrical",48
"employment",48
"front",48
"licensing",48
"limits",48
"second",48
"agencies",47
"employee",47
"expense",47
"failure",47
"kept",47
"location",47
"mooring",47
"new",47
"tenant",47
"action",46
"allowed",46
"cemetery",46
"class",46
"dangerous",46
"determined",46
"either",46
"library",46
"placed",46
"revocation",46
"taxicab",46
"twenty-five",46
"commissioners",45
"determine",45
"devices",45
"high",45
"located",45
"orders",45
"superintendent",45
"treatment",45
"boat",44
"conditions",44
"january",44
"limited",44
"twenty",44
"working",44
"annual",43
"automobile",43
"inches",43
"see",43
"subsection",43
"thousand",43
"available",42
"comply",42
"follows",42
"hold",42
"housing",42
"places",42
"prevention",42
"proper",42
"taxes",42
"telephone",42
"thereto",42
"veterans",42
"filed",41
"found",41
"laborer",41
"permission",41
"receiving",41
"right",41
"beverages",40
"bond",40
"civil",40
"generally",40
"materials",40
"municipal",40
"paid",40
"power",40
"using",40
"writing",40
"adoption",39
"age",39
"care",39
"considered",39
"director",39
"eight",39
"expiration",39
"forth",39
"herein",39
"nuisance",39
"pursuant",39
"single",39
"temporary",39
"therein",39
"treasurer",39
"areas",38
"compensation",38
"device",38
"however",38
"injury",38
"keep",38
"maintained",38
"off-street",38
"sewers",38
"taken",38
"total",38
"apartment",37
"cost",37
"issue",37
"keeping",37
"permanent",37
"poles",37
"procedures",37
"purchase",37
"received",37
"seven",37
"system",37
"user",37
"voters",37
"addition",36
"amusement",36
"annually",36
"cases",36
"condominium",36
"dogs",36
"electric",36
"give",36
"information",36
"meetings",36
"plan",36
"responsible",36
"specific",36
"take",36
"together",36
"towing",36
"trustees",36
"duly",35
"head",35
"hour",35
"issuance",35
"jurisdiction",35
"local",35
"provision",35
"serve",35
"similar",35
"structures",35
"therefor",35
"units",35
"violations",35
"agreement",34
"also",34
"budget",34
"charges",34
"condition",34
"costs",34
"court",34
"demolition",34
"firm",34
"known",34
"matter",34
"minor",34
"months",34
"performance",34
"reasonable",34
"suspension",34
"twelve",34
"vicious",34
"whose",34
"administrative",33
"call",33
"librarian",33
"licensee",33
"massage",33
"sum",33
"thereon",33
"agents",32
"another",32
"bills",32
"containing",32
"copy",32
"establish",32
"measures",32
"remove",32
"review",32
"salary",32
"senior",32
"sidewalks",32
"station",32
"supplies",32
"alteration",31
"applicant",31
"become",31
"boats",31
"compliance",31
"constructed",31
"damage",31
"domestic",31
"effect",31
"gasoline",31
"grounds",31
"houses",31
"identification",31
"inspectors",31
"landing",31
"light",31
"lots",31
"meter",31
"personal",31
"records",31
"responsibility",31
"retail",31
"standards",31
"acts",30
"contract",30
"done",30
"floor",30
"list",30
"rear",30
"registered",30
"remain",30
"resident",30
"wall",30
"applicable",29
"articles",29
"bureau",29
"certified",29
"contain",29
"development",29
"driver",29
"fifteen",29
"foreman",29
"man",29
"management",29
"paint",29
"portion",29
"president",29
"separate",29
"signed",29
"surface",29
"tax",29
"taxicabs",29
"words",29
"article",28
"assigned",28
"based",28
"body",28
"dealers",28
"designee",28
"flow",28
"force",28
"ground",28
"immediate",28
"initiative",28
"material",28
"names",28
"owned",28
"owners",28
"payment",28
"planning",28
"reason",28
"relative",28
"repairs",28
"restricted",28
"sanitary",28
"shop",28
"specifications",28
"submitted",28
"sufficient",28
"suitable",28
"waste",28
"waters",28
"waterways",28
"activities",27
"conversion",27
"deputy",27
"direction",27
"eighteen",27
"government",27
"hazard",27
"immediately",27
"interest",27
"machines",27
"operated",27
"prevent",27
"receipt",27
"standing",27
"type",27
"administration",26
"appropriate",26
"bonds",26
"can",26
"constitute",26
"enter",26
"etc",26
"event",26
"file",26
"free",26
"grant",26
"installation",26
"institution",26
"july",26
"maintain",26
"protection",26
"receive",26
"rise",26
"specified",26
"stations",26
"submit",26
"thereafter",26
"violating",26
"aforesaid",25
"appoint",25
"bids",25
"claims",25
"collected",25
"contracts",25
"covered",25
"designed",25
"exercise",25
"filing",25
"junk",25
"machine",25
"minors",25
"notify",25
"park",25
"parked",25
"passengers",25
"plans",25
"pool",25
"portable",25
"present",25
"recall",25
"show",25
"vending",25
"zoning",25
"change",24
"connection",24
"continue",24
"current",24
"departments",24
"discretion",24
"employed",24
"erected",24
"exceptions",24
"majority",24
"manufacture",24
"night",24
"occupancy",24
"official",24
"outside",24
"possible",24
"prescribed",24
"procedure",24
"qualified",24
"restrictions",24
"sell",24
"sixty",24
"swimming",24
"twenty-four",24
"accessory",23
"alarm",23
"appear",23
"attached",23
"bill",23
"candidates",23
"conducted",23
"containers",23
"declared",23
"direct",23
"door",23
"hall",23
"initial",23
"length",23
"meters",23
"month",23
"opinion",23
"plant",23
"regulating",23
"renewal",23
"reports",23
"result",23
"rooms",23
"stand",23
"violates",23
"ward",23
"width",23
"address",22
"advertising",22
"amendments",22
"car",22
"community",22
"conductors",22
"consist",22
"declarant",22
"discharged",22
"equal",22
"filling",22
"fixtures",22
"fund",22
"ice",22
"liability",22
"litter",22
"noise",22
"nonconforming",22
"possession",22
"recommendations",22
"schedule",22
"size",22
"spray",22
"supervision",22
"unlawful",22
"votes",22
"wild",22
"access",21
"air",21
"appeals",21
"arranged",21
"carried",21
"disposal",21
"enclosure",21
"engaged",21
"fines",21
"forthwith",21
"hereafter",21
"large",21
"loading",21
"meet",21
"meeting",21
"next",21
"operating",21
"penalties",21
"preliminary",21
"principal",21
"program",21
"selling",21
"stadium",21
"statement",21
"third",21
"auditor",20
"automatic",20
"certain",20
"charged",20
"complete",20
"disposition",20
"establishing",20
"fitting",20
"fixed",20
"funds",20
"gallons",20
"grade",20
"hand",20
"installed",20
"master",20
"mean",20
"occupant",20
"one-half",20
"ordinary",20
"ords",20
"organization",20
"parts",20
"party",20
"pipe",20
"pond",20
"prohibiting",20
"properly",20
"punishable",20
"registration",20
"regulation",20
"respect",20
"revoked",20
"safe",20
"secure",20
"uniform",20
"alley",19
"allow",19
"branch",19
"central",19
"councillor",19
"described",19
"drain",19
"dwellings",19
"excess",19
"excessive",19
"foot",19
"garage",19
"harbor",19
"kind",19
"legal",19
"miscellaneous",19
"payable",19
"potential",19
"preceding",19
"providing",19
"punished",19
"question",19
"rate",19
"requested",19
"reserved",19
"store",19
"week",19
"apparatus",18
"appeal",18
"assistants",18
"automobiles",18
"boundaries",18
"clear",18
"dealer",18
"directly",18
"display",18
"distribution",18
"due",18
"enclosed",18
"estate",18
"expire",18
"federal",18
"final",18
"financial",18
"fiscal",18
"good",18
"goods",18
"liable",18
"limit",18
"need",18
"officials",18
"proceedings",18
"publication",18
"resolution",18
"satisfactory",18
"secretary",18
"story",18
"subsequent",18
"tanks",18
"welfare",18
"wire",18
"absence",17
"aid",17
"assistance",17
"chairperson",17
"chiefs",17
"committees",17
"companies",17
"container",17
"contractor",17
"contractual",17
"deem",17
"definition",17
"delivered",17
"deposit",17
"engage",17
"entrance",17
"explosives",17
"exterior",17
"fill",17
"filled",17
"garbage",17
"giving",17
"granting",17
"income",17
"inspections",17
"merchandise",17
"money",17
"notices",17
"occupied",17
"occur",17
"old",17
"ordered",17
"paper",17
"put",17
"quality",17
"real",17
"rental",17
"requiring",17
"served",17
"shops",17
"sold",17
"solids",17
"stated",17
"tour",17
"vacancies",17
"window",17
"word",17
"accommodation",16
"acting",16
"applications",16
"appointing",16
"april",16
"authorities",16
"average",16
"boards",16
"burial",16
"capacity",16
"cemeteries",16
"connected",16
"contained",16
"daily",16
"deeds",16
"designate",16
"exception",16
"executive",16
"fined",16
"forty",16
"furnished",16
"handicapped",16
"heads",16
"highest",16
"lien",16
"maximum",16
"multiple",16
"notification",16
"notwithstanding",16
"now",16
"passenger",16
"peace",16
"point",16
"policy",16
"process",16
"referred",16
"repaired",16
"schools",16
"standard",16
"suspended",16
"systems",16
"towed",16
"vendor",16
"wastewaters",16
"whole",16
"worker",16
"affixed",15
"calendar",15
"capital",15
"carnivals",15
"carry",15
"citizens",15
"concerning",15
"degree",15
"description",15
"dumpster",15
"exchange",15
"fails",15
"finance",15
"fixture",15
"forfeit",15
"future",15
"intended",15
"june",15
"left",15
"life",15
"low",15
"manufacturing",15
"meaning",15
"mentioned",15
"nature",15
"newspaper",15
"obstruct",15
"obtained",15
"oil",15
"operate",15
"physical",15
"plumbing",15
"posted",15
"prohibition",15
"projecting",15
"published",15
"replacement",15
"representative",15
"respective",15
"rubbish",15
"shift",15
"step",15
"successor",15
"taking",15
"town",15
"towns",15
"tree",15
"trust",15
"woods",15
"according",14
"activity",14
"affected",14
"amended",14
"assessors",14
"auction",14
"books",14
"carrying",14
"certificates",14
"chapters",14
"circuses",14
"claim",14
"confirmation",14
"conform",14
"construed",14
"delivery",14
"denial",14
"distance",14
"door-to",14
"dress",14
"entertainment",14
"entitled",14
"estimated",14
"examination",14
"exists",14
"extended",14
"family",14
"flax",14
"furnish",14
"heavy",14
"hereinafter",14
"home",14
"human",14
"judgment",14
"lane",14
"later",14
"leave",14
"lighting",14
"lodging",14
"measured",14
"midnight",14
"near",14
"notified",14
"nuisances",14
"offenses",14
"opening",14
"pole",14
"pools",14
"programs",14
"purchases",14
"quarters",14
"relating",14
"requires",14
"rights",14
"run",14
"states",14
"stories",14
"supervisor",14
"weights",14
"actual",13
"advance",13
"aging",13
"appliances",13
"associate",13
"audit",13
"back",13
"ballot",13
"basis",13
"cars",13
"cmr",13
"complaint",13
"conduits",13
"conformity",13
"courts",13
"custodian",13
"demand",13
"depth",13
"determination",13
"dollar",13
"elections",13
"employ",13
"enforce",13
"enforcing",13
"engineering",13
"erection",13
"establishments",13
"evidence",13
"exist",13
"extension",13
"fail",13
"fourteen",13
"fraction",13
"freestanding",13
"gross",13
"hospital",13
"imposed",13
"includes",13
"inspect",13
"intent",13
"involved",13
"lights",13
"longevity",13
"membership",13
"methods",13
"monitoring",13
"moorings",13
"natural",13
"nine",13
"oath",13
"offered",13
"offices",13
"ownership",13
"passage",13
"performed",13
"plants",13
"properties",13
"protect",13
"recorded",13
"referendum",13
"related",13
