"Word","Freq"
"shall",17
"trees",16
"plan",15
"chapter",10
"proposed",10
"areas",8
"development",8
"o-",8
"ord",8
"within",8
"landscape",7
"part",6
"preservation",6
"required",6
"species",6
"tree",6
"code",5
"design",5
"existing",5
"landscaping",5
"limits",5
"permit",5
"public",5
"requirements",5
"site",5
"accordance",4
"application",4
"building",4
"department",4
"may",4
"planning",4
"review",4
"utilities",4
"wildlife",4
"zoning",4
"annapolis",3
"approval",3
"approved",3
"blank",3
"dbh",3
"grading",3
"inches",3
"ordinances",3
"planting",3
"project",3
"recommended",3
"section",3
"structures",3
"adaptability",2
"appearance",2
"applicant",2
"apply",2
"boundaries",2
"buffer",2
"can",2
"complement",2
"conflict",2
"conflicting",2
"conformance",2
"consideration",2
"control",2
"criteria",2
"damaged",2
"designs",2
"disease",2
"disturbance",2
"driplines",2
"erosion",2
"feet",2
"forest",2
"given",2
"good",2
"guidelines",2
"include",2
"including",2
"individual",2
"installation",2
"locations",2
"lod",2
"management",2
"parking",2
"particular",2
"planted",2
"preserved",2
"prior",2
"property",2
"relevant",2
"removed",2
"replaced",2
"replacement",2
"sections",2
"size",2
"special",2
"stormwater",2
"street",2
"subject",2
"submitted",2
"title",2
"undertaken",2
"use",2
"used",2
"value",2
"variety",2
"acceptable",1
"accepted",1
"access",1
"act",1
"additional",1
"adjacent",1
"administrative",1
"advantage",1
"affected",1
"agencies",1
"agreement",1
"alteration",1
"although",1
"amended",1
"applicability",1
"applicable",1
"architecture",1
"area",1
"assessed",1
"assigned",1
"augment",1
"beauty",1
"blocks",1
"botanical",1
"branching",1
"breast",1
"caliper",1
"capabilities",1
"certain",1
"change",1
"characteristics",1
"clearing",1
"clearly",1
"common",1
"conditions",1
"considered",1
"consistent",1
"corridor",1
"corridors",1
"cover",1
"cruising",1
"cutting",1
"demonstrate",1
"demonstrated",1
"depict",1
"designated",1
"desirable",1
"detail",1
"details",1
"determined",1
"determining",1
"diameter",1
"digging",1
"director",1
"drives",1
"effect",1
"enhancement",1
"environmental",1
"equal",1
"etc",1
"evaluation",1
"event",1
"exception",1
"exceptions",1
"excess",1
"exhibit",1
"exist",1
"fifteen",1
"finished",1
"five",1
"food",1
"footprints",1
"forth",1
"forty",1
"free",1
"furtherance",1
"general",1
"generally",1
"grades",1
"granted",1
"greater",1
"ground",1
"groupings",1
"heat",1
"height",1
"identification",1
"identified",1
"inch",1
"incorporation",1
"increased",1
"individually",1
"information",1
"injurious",1
"insect",1
"insects",1
"islands",1
"issuance",1
"legal",1
"lists",1
"location",1
"lots",1
"maintenance",1
"maryland",1
"master",1
"measured",1
"methods",1
"mitigation",1
"must",1
"mutually",1
"name",1
"natural",1
"neither",1
"nesting",1
"noting",1
"november",1
"number",1
"one",1
"outside",1
"parcel",1
"parks",1
"planned",1
"plans",1
"prepare",1
"present",1
"preserving",1
"procedures",1
"process",1
"projects",1
"properties",1
"provide",1
"provided",1
"provisions",1
"purposes",1
"quantity",1
"reason",1
"recognized",1
"regardless",1
"regime",1
"regular",1
"renders",1
"requiring",1
"resistant",1
"restricted",1
"revised",1
"revisions",1
"roads",1
"rooting",1
"rootstock",1
"scale",1
"sediment",1
"sedimentation",1
"selecting",1
"service",1
"set",1
"show",1
"sidewalks",1
"significance",1
"sites",1
"six",1
"source",1
"specimens",1
"streets",1
"streetscape",1
"strong",1
"submittal",1
"subsequent",1
"subsequently",1
"substantive",1
"substituted",1
"successor",1
"sunlight",1
"terms",1
"tolerant",1
"twelve",1
"two",1
"type",1
"typical",1
"undesirable",1
"unreasonable",1
"utility",1
"varieties",1
"water",1
"whichever",1
"wind",1
