"Word","Freq"
"shall",1319
"city",669
"feet",606
"use",544
"zoning",543
"ordinance",519
"uses",448
"district",443
"building",404
"parking",399
"lot",379
"jackson",374
"residential",373
"may",339
"street",315
"area",306
"permitted",289
"minimum",276
"plan",275
"site",275
"development",268
"one",260
"commercial",249
"property",244
"public",237
"yard",236
"structures",235
"page",231
"within",226
"side",225
"november",218
"located",211
"-a",208
"areas",200
"provided",189
"land",185
"buildings",179
"required",179
"front",178
"space",176
"line",174
"rear",171
"regulations",171
"height",169
"accessory",168
"review",168
"planning",163
"used",150
"structure",146
"will",136
"existing",135
"square",135
"adjacent",130
"facilities",130
"following",129
"lots",124
"dwelling",122
"include",121
"open",121
"provide",120
"single-family",120
"business",119
"including",119
"r-",119
"council",118
"except",117
"neighborhood",117
"five",116
"permit",115
"design",114
"purpose",114
"proposed",113
"storage",111
"maximum",110
"permits",110
"provisions",109
"requirements",109
"accordance",107
"board",107
"must",107
"owner",106
"general",105
"districts",103
"special",103
"setback",100
"principal",98
"location",97
"administrator",96
"article",96
"floor",96
"less",96
"new",93
"access",90
"retail",87
"two",87
"time",85
"care",84
"hearing",82
"service",82
"spaces",82
"center",81
"outdoor",81
"limited",80
"width",80
"approval",79
"committee",79
"state",79
"subject",79
"least",78
"units",78
"application",77
"detached",77
"percent",77
"housing",76
"industrial",74
"services",74
"standards",74
"store",74
"established",73
"overlay",73
"department",72
"adult",71
"facility",71
"fifty",71
"hundred",71
"materials",71
"fifteen",70
"food",66
"ten",66
"type",66
"home",65
"corner",64
"dwellings",64
"health",64
"depth",63
"unit",63
"upon",63
"centers",62
"change",62
"defined",62
"landscaping",62
"office",62
"pedestrian",62
"mississippi",61
"similar",61
"construction",60
"private",60
"twenty-five",60
"yards",60
"zoned",60
"living",59
"map",59
"also",58
"days",58
"notice",58
"streets",58
"establishment",57
"section",57
"gross",56
"approved",55
"community",55
"off-street",55
"parcel",55
"per",55
"see",55
"common",54
"way",54
"changes",53
"mobile",53
"part",53
"restaurant",53
"six",53
"thousand",53
"bed",52
"designed",52
"sale",52
"stores",52
"",52
"exceed",51
"mixed",51
"applicant",50
"guidelines",50
"plans",50
"rezoning",50
"c-",49
"first",49
"park",49
"recreational",49
"three",49
"vehicles",49
"adopted",48
"breakfast",48
"fence",48
"procedures",48
"record",48
"regulated",48
"shared",48
"high",47
"liquor",47
"wall",47
"along",46
"lines",46
"multi-family",46
"sign",46
"architectural",45
"display",45
"lighting",45
"owners",45
"prior",45
"purposes",45
"related",45
"set",45
"twenty",45
"code",44
"exceptions",44
"however",44
"official",44
"signs",44
"size",44
"density",43
"exterior",43
"intent",43
"light",43
"personal",43
"residents",43
"subdistrict",43
"tax",43
"class",42
"features",42
"single",42
"-b",41
"activities",41
"landscaped",41
"request",41
"restaurants",41
"said",41
"sales",41
"case",40
"date",40
"exception",40
"properties",40
"right-of",40
"schools",40
"sites",40
"clerk",39
"compatible",39
"historic",39
"sidewalks",39
"character",38
"number",38
"small",38
"acre",37
"combination",37
"conditions",37
"intended",37
"listed",37
"mixed-use",37
"require",37
"specific",37
"types",37
"vehicle",37
