"Word","Freq"
"shall",5504
"city",1893
"section",1592
"may",1249
"public",1148
"updated",874
"permit",872
"ordinance",812
"building",735
"provided",732
"within",707
"said",697
"use",696
"malden",686
"property",645
"person",642
"business",611
"board",595
"department",591
"license",584
"alarm",518
"feet",498
"required",491
"fire",471
"director",464
"council",452
"upon",452
"provisions",445
"following",444
"parking",444
"police",434
"plan",429
"one",425
"time",402
"owner",384
"st",371
"general",367
"application",366
"violation",360
"area",356
"chapter",353
"used",345
"site",340
"minimum",337
"days",326
"sp",324
"water",323
"health",322
"works",312
"including",310
"chief",303
"year",299
"regulations",298
"will",294
"per",293
"notice",285
"planning",279
"residential",272
"date",270
"order",270
"premises",269
"buildings",267
"commission",265
"along",263
"laws",263
"street",262
"service",256
"inspector",255
"without",254
"requirements",252
"except",248
"review",248
"conditions",247
"massachusetts",247
"must",244
"special",242
"hearing",241
"uses",241
"issued",236
"proceeding",236
"line",235
"development",234
"services",233
"manner",231
"provide",231
"vehicle",230
"yes",228
"construction",227
"work",226
"compliance",223
"offense",223
"subject",223
"private",222
"land",221
"accordance",218
"lot",218
"system",218
"period",217
"proposed",217
"authority",216
"employee",216
"made",216
"three",215
"every",210
"licensed",210
"location",210
"fee",209
"purpose",209
"agent",208
"two",207
"traffic",203
"number",202
"safety",201
"waste",200
"permits",199
"applicant",198
"approved",198
"include",197
"less",196
"state",194
"stories",194
"mayor",193
"officer",193
"structure",193
"purposes",190
"persons",189
"control",188
"prior",187
"dwelling",186
"materials",186
"fine",185
"place",185
"vehicles",183
"thereof",182
"allowed",178
"existing",178
"law",178
"areas",177
"committee",176
"space",174
"spaces",173
"unless",173
"step",170
"purchasing",165
"written",165
"years",165
"unit",163
"granted",162
"clerk",161
"first",159
"equipment",158
"hours",158
"necessary",158
"part",158
"located",157
"removal",157
"repair",156
"additional",155
"employees",155
"access",154
"failure",152
"cause",151
"way",151
"floor",149
"limited",148
"open",147
"approval",144
"sign",144
"applicable",142
"engineer",142
"appeal",141
"office",141
"sale",141
"apply",140
"rules",140
"set",140
"storage",139
"emergency",136
"height",136
"housing",136
"information",136
"gross",135
"municipal",134
"otherwise",134
"comply",133
"make",133
"prohibited",133
"day",132
"human",132
"terms",131
"five",130
"common",129
"mbe",128
"authorized",127
"operation",127
"signs",127
"form",126
"motor",126
"amount",125
"determined",124
"officers",124
"sewer",124
"defined",123
"facilities",123
"project",123
"square",122
"tree",122
"violations",121
"systems",120
"least",119
"temporary",119
"21d",118
"controller",118
"center",117
"accounts",116
"means",116
"new",116
"duties",115
"schedule",115
"designated",114
"ft",114
"code",113
"placed",113
"leave",112
"retail",111
"deemed",110
"reasonable",110
"salary",110
"drainage",109
"head",109
"members",109
"dog",108
"exceed",108
"facility",108
"forth",108
"paid",108
"permitted",108
"request",108
"annually",107
"appropriate",106
"cost",106
"herein",106
"loading",106
"maintenance",106
"program",106
"sq",106
"resources",105
"record",104
"report",104
"family",103
"inspection",103
"maintain",103
"sales",103
"lines",102
"issue",101
"pay",101
"require",101
"standards",101
"whether",101
"name",100
"treasurer",100
"district",99
"employment",99
"installation",99
"streets",99
"issuance",98
"residents",98
"event",97
"fines",97
"also",96
"school",96
"grade",95
"management",95
"registered",95
"agents",94
"charge",94
"accessory",93
"community",93
"imposed",93
"yard",93
"action",92
"districts",92
"fees",92
"receipt",92
"holder",91
"interest",91
"plans",91
"structures",91
"licensing",90
"remove",90
"separate",90
"designee",89
"master",89
"six",89
"take",89
"units",89
"available",88
"maximum",88
"permanent",88
"principal",88
"provision",88
"sidewalk",88
"similar",88
"submit",88
"ten",88
"specified",87
"adequate",86
"annual",86
"however",86
"material",86
"nuisance",86
"owners",86
"park",86
"pursuant",86
"commercial",85
"enforcement",85
