"Word","Freq"
"shall",303
"town",186
"council",131
"may",93
"mayor",80
"public",60
"charter",58
"ordinance",55
"property",45
"board",44
"office",40
"c6-",38
"election",37
"members",37
"c5-",36
"res",35
"time",35
"elections",33
"section",32
"thereof",30
"amended",28
"year",28
"vote",27
"water",27
"provisions",26
"special",26
"voter",26
"budget",25
"director",24
"finance",24
"part",24
"supervisors",24
"c3-",23
"notice",23
"person",23
"within",23
"days",22
"service",22
"system",22
"upon",22
"made",21
"provided",21
"taxes",21
"elected",20
"law",20
"power",20
"c9-",19
"county",19
"ordinances",19
"approval",18
"effective",18
"passed",18
"way",18
"necessary",17
"qualified",17
"following",16
"must",16
"one",16
"powers",16
"provide",16
"state",16
"tax",16
"will",16
"contracts",15
"indebtedness",15
"term",15
"least",14
"maintain",14
"member",14
"nomination",14
"required",14
"voters",14
"written",14
"years",14
"assessment",13
"date",13
"municipal",13
"notes",13
"c7-",12
"corporate",12
"majority",12
"manner",12
"meeting",12
"proposed",12
"removal",12
"amount",11
"approved",11
"assessments",11
"charges",11
"duties",11
"effect",11
"evidences",11
"levy",11
"name",11
"party",11
"place",11
"project",11
"rules",11
"subject",11
"ways",11
"administrator",10
"assessed",10
"ballot",10
"c12-",10
"classified",10
"court",10
"deems",10
"every",10
"general",10
"hold",10
"issued",10
"regulations",10
"two",10
"violation",10
"anticipation",9
"become",9
"bonds",9
"construct",9
"construction",9
"contract",9
"cost",9
"exceed",9
"first",9
"fiscal",9
"government",9
"hearing",9
"held",9
"manchester",9
"misdemeanor",9
"next",9
"number",9
"payment",9
"purpose",9
"require",9
"unless",9
"action",8
"c4-",8
"candidate",8
"candidates",8
"carroll",8
"deemed",8
"emergency",8
"interest",8
"maryland",8
"officer",8
"open",8
"operate",8
"operation",8
"paid",8
"prior",8
"reasonable",8
"said",8
"salary",8
"second",8
"sewage",8
"sewer",8
"six",8
"take",8
"three-fifths",8
"total",8
"votes",8
"voting",8
"attorney",7
"authority",7
"c11-",7
"c8-",7
"charge",7
"conditions",7
"connection",7
"corporation",7
"disapproval",7
"expenditures",7
"financial",7
"fine",7
"four",7
"immediately",7
"keep",7
"main",7
"merit",7
"otherwise",7
"owner",7
"persons",7
"polling",7
"polls",7
"registration",7
"regular",7
"removed",7
"right",7
"terms",7
"use",7
"used",7
"without",7
"accordance",6
"adopted",6
"affirmative",6
"appeal",6
"appointed",6
"article",6
"authorized",6
"ballots",6
"becomes",6
"business",6
"c10-",6
"challenger",6
"collected",6
"conflict",6
"convicted",6
"day",6
"declared",6
"due",6
"elective",6
"employee",6
"employees",6
"existing",6
"funds",6
"hours",6
"installments",6
"limits",6
"making",6
"monday",6
"order",6
"petition",6
"preceding",6
"president",6
"purchases",6
"requested",6
"resolution",6
"sanitary",6
"stormwater",6
"systems",6
"unclassified",6
"vacancies",6
"veto",6
"act",5
"added",5
"agent",5
"annual",5
"appoint",5
"appointment",5
"appropriations",5
"assistance",5
"cause",5
"certificate",5
"change",5
"chief",5
"circuit",5
"constitute",5
"copy",5
"decision",5
"determined",5
"disposal",5
"enter",5
"extent",5
"form",5
"given",5
"grade",5
"holding",5
"included",5
"increase",5
"kind",5
"legal",5
"levied",5
"levying",5
"mains",5
"maintained",5
"meet",5
"meetings",5
"months",5
"oath",5
"official",5
"overdue",5
"passage",5
"pay",5
"penalties",5
"perform",5
"period",5
"positions",5
"prescribed",5
"private",5
"question",5
"receipt",5
"receive",5
"referendum",5
"repealed",5
"revenues",5
"set",5
"sewerage",5
"sewers",5
"specified",5
"succeeding",5
"taxation",5
"therein",5
"thereto",5
"things",5
"third",5
"watcher",5
"abutting",4
"according",4
"account",4
"accounting",4
"adoption",4
"anticipated",4
"appeals",4
"applicant",4
"assist",4
"bid",4
"calendar",4
"case",4
"certification",4
"checks",4
"clerk",4
"code",4
"collection",4
"condemnation",4
"condition",4
"contain",4
"control",4
"conviction",4
"corruptly",4
"delivery",4
"determine",4
"discretion",4
"dollars",4
"employ",4
"equal",4
"establish",4
"established",4
"expense",4
"favorable",4
"filing",4
"filled",4
"give",4
"good",4
"health",4
"heard",4
"hereby",4
"however",4
"imprisonment",4
"include",4
"inspection",4
"involving",4
"judge",4
"laws",4
"lease",4
"lien",4
"mail",4
"make",4
"materials",4
"money",4
"obtain",4
"officers",4
"offices",4
"parts",4
"personal",4
"personnel",4
"plans",4
"plant",4
"political",4
"prevent",4
"qualification",4
"real",4
"reconstruct",4
"record",4
"registered",4
"remove",4
"repair",4
"requirements",4
"resolutions",4
"return",4
"seeking",4
"services",4
"signed",4
"signs",4
"structures",4
"submitted",4
"ten",4
"thousand",4
"twenty",4
"whatever",4
"whole",4
"willfully",4
"administration",3
"administrative",3
"affect",3
"age",3
"aggrieved",3
"allowed",3
"along",3
"alter",3
"among",3
"amounts",3
"appear",3
"apply",3
"area",3
"attempt",3
"available",3
"basis",3
"bear",3
"becoming",3
"beginning",3
"belonging",3
"benefit",3
"bids",3
"bond",3
"boundaries",3
"c1-",3
"casting",3
"centum",3
"changed",3
"charged",3
"circulation",3
"civil",3
"collect",3
"compensation",3
"concerning",3
"connections",3
"consideration",3
"constitution",3
"continue",3
"curbs",3
"decrease",3
"different",3
"disapproved",3
"divided",3
"duty",3
"either",3
"elect",3
"elsewhere",3
