"Word","Freq"
"shall",4546
"city",2290
"may",1435
"use",1340
"development",1292
"zoning",1261
"section",1239
"code",1153
"public",1119
"article",1021
"required",978
"person",964
"within",875
"permit",864
"building",824
"business",809
"area",796
"license",755
"feet",715
"regulations",701
"provided",673
"maricopa",672
"plan",662
"council",661
"parking",650
"property",648
"lot",628
"requirements",620
"uses",603
"standards",601
"means",586
"ordinance",573
"application",564
"provisions",538
"districts",537
"space",534
"following",532
"services",527
"residential",522
"one",515
"chapter",495
"land",494
"areas",484
"street",484
"district",474
"facilities",474
"sec",467
"review",465
"general",462
"including",459
"applicant",455
"sign",455
"approval",453
"establishment",444
"minimum",438
"upon",420
"open",411
"subdivision",409
"time",407
"include",406
"will",391
"state",377
"fee",375
"service",375
"must",374
"approved",371
"provide",368
"purpose",361
"proposed",356
"applicable",351
"subject",348
"site",338
"structure",335
"located",334
"office",333
"design",328
"location",328
"hearing",322
"violation",322
"department",321
"permitted",320
"vehicle",320
"necessary",316
"facility",315
"days",314
"signs",312
"date",309
"notice",306
"per",304
"county",303
"height",300
"licensee",300
"commercial",295
"administrator",294
"limited",292
"table",292
"fees",291
"existing",288
"permits",286
"unless",286
"issued",275
"manager",275
"number",272
"additional",271
"conditions",266
"construction",265
"used",265
"commission",262
"series",259
"otherwise",258
"premises",257
"prior",257
"traffic",257
"flood",253
"information",252
"plat",252
"least",249
"arizona",247
"pursuant",246
"buildings",243
"law",242
"private",242
"set",241
"structures",241
"improvements",239
"floodplain",237
"line",237
"storage",237
"sales",235
"materials",231
"apply",230
"owner",230
"compliance",227
"water",225
"alarm",224
"control",223
"two",221
"except",215
"new",215
"plans",215
"maximum",214
"unit",213
"accordance",212
"percent",212
"adopted",208
"less",207
"specific",207
"board",206
"without",206
"streets",205
"massage",204
"adjacent",203
"terms",203
"outdoor",200
"temporary",200
"employee",199
"name",199
"spaces",199
"lots",198
"forth",197
"impact",195
"purposes",193
"pinal",192
"day",191
"made",191
"care",189
"meeting",189
"equipment",188
"floor",187
"industrial",186
"way",186
"authorized",184
"community",184
"specified",184
"access",182
"court",182
"officer",182
"home",179
"planning",179
"square",179
"landscaping",178
"preliminary",177
"individual",176
"material",176
"meet",176
"final",174
"persons",173
"tobacco",171
"manner",170
"part",169
"established",167
"period",167
"hours",166
"police",166
"project",165
"agent",164
"overlay",164
"fire",163
"members",163
"ft",162
"procedures",162
"licensed",161
"request",161
"size",161
"wall",161
"order",159
"written",159
"engineer",158
"place",158
"minor",157
"figure",156
"similar",156
"action",155
"activity",155
"body",155
"addition",154
"exceed",154
"related",154
"also",152
"multiple",152
"see",152
"committee",151
"subsection",151
"system",151
"safety",150
"submitted",150
"appropriate",149
"developer",149
"designed",148
"side",148
"conduct",146
"defined",146
"pad",146
"setback",146
"appeal",145
"administrative",144
"revocation",143
"designated",142
"enforcement",142
"includes",142
"accessory",141
"director",141
"management",141
"towers",141
"authority",140
"require",140
"effective",139
"form",139
"retail",139
"base",138
"either",138
"pedestrian",138
"unlawful",138
"clerk",137
"five",137
"animal",136
"licensing",136
"allowed",135
"report",135
"walls",135
"administration",134
"first",134
"tax",134
"years",134
"parcel",133
"whether",133
"comply",132
"landscape",132
"personal",132
"special",131
"vehicles",131
"three",129
"amount",127
"antenna",127
"dwelling",127
"make",127
"process",127
"requirement",127
"screening",127
"units",127
"address",126
"thereof",126
"corporation",125
"official",125
"front",124
"work",124
"ch",123
"conditional",123
"event",123
"local",123
"oriented",122
"single",122
"determined",121
"density",120
"nonconforming",120
"year",120
"operation",119
"said",119
"cause",118
"organization",118
"change",117
"controlling",117
"interest",117
"placed",117
"agreement",116
"antennas",116
"utilities",116
"decision",115
"legal",115
"utility",115
"automobile",114
"definitions",114
"reasonable",114
"rules",114
"total",114
"herein",113
"intended",113
"mayor",113
"applicability",112
"capital",112
"december",112
"map",112
"refuse",112
"right-of",112
"title",112
"case",111
"developments",110
"ground",110
"improvement",110
"loading",110
"type",110
"changes",109
"collector",109
"current",109
"provision",109
"sale",109
"tower",109
"width",109
"amendments",108
"applications",108
"greater",108
"prohibited",108
"considered",107
"health",107
"civil",106
"drainage",106
"emergency",106
"master",106
"based",105
"federal",105
"group",105
"interior",105
"available",104
"yard",104
"medical",103
"applying",102
"major",102
"granted",101
"schedule",101
"activities",100
"denial",98
"providing",98
"issuance",97
"maintained",97
"noise",97
"planned",97
"designee",96
"lighting",96
"member",96
"recreational",96
"employees",95
"foot",95
"housing",95
"classification",94
"exterior",94
"infrastructure",94
"right",94
"separate",94
"setbacks",94
"act",93
"duties",93
"parks",93
"portion",92
