"Word","Freq"
"shall",2075
"town",835
"section",623
"board",590
"article",553
"may",503
"permit",466
"use",448
"public",441
"building",428
"bylaw",385
"street",361
"water",346
"special",342
"within",339
"regulations",269
"lot",258
"required",244
"one",235
"marshfield",232
"area",228
"plan",227
"district",214
"structure",210
"units",210
"road",207
"provided",204
"feet",203
"proposed",194
"person",192
"will",192
"property",190
"zoning",187
"conditions",183
"requirements",183
"housing",181
"development",180
"including",179
"page",175
"land",173
"following",164
"provisions",164
"atm",163
"time",157
"space",155
"facilities",152
"meeting",150
"upon",150
"employee",148
"site",148
"used",148
"uses",147
"parking",145
"existing",143
"planning",142
"application",140
"construction",140
"subject",140
"general",138
"applicant",137
"days",137
"open",136
"st",136
"said",134
"amended",131
"department",130
"affordable",129
"buildings",129
"residential",129
"areas",128
"system",128
"health",127
"approval",125
"selectmen",124
"except",122
"updated",122
"minimum",121
"per",121
"ground",118
"line",118
"state",118
"authority",115
"owner",115
"massachusetts",113
"purpose",112
"by-law",111
"works",109
"approved",108
"two",108
"way",108
"service",107
"structures",105
"set",104
"accordance",103
"permitted",102
"violation",101
"date",99
"include",99
"wecf",99
"without",99
"applicable",97
"removal",97
"business",95
"facility",95
"located",95
"provide",95
"employees",93
"sewer",93
"sign",93
"adopted",92
"new",92
"year",92
"safety",89
"waste",89
"notice",88
"treatment",88
"chapter",87
"b-",85
"lane",83
"natural",83
"storm",83
"compliance",82
"defined",82
"permits",82
"standards",82
"fire",81
"inspector",81
"materials",81
"et",80
"number",80
"access",79
"commission",78
"less",78
"floor",77
"otherwise",77
"conservation",76
"dwelling",76
"traffic",76
"purposes",75
"work",75
"location",74
"mounted",74
"part",74
"ro",74
"table",74
"annual",73
"period",73
"protection",73
"re",73
"stm",73
"least",72
"necessary",72
"apply",71
"day",71
"signs",71
"accessory",70
"ad",70
"scale",70
"wastewater",70
"issued",69
"limited",69
"provision",69
"appeals",68
"authorized",68
"exceed",68
"must",68
"written",68
"years",68
"made",67
"persons",67
"unit",67
"committee",66
"laws",66
"three",66
"control",65
"local",65
"april",64
"design",64
"determined",64
"discharge",64
"overlay",64
"review",64
"unless",64
"appropriate",63
"disposal",63
"offense",63
"establishment",62
"height",62
"surface",62
"density",61
"leave",61
"medical",61
"principal",61
"private",61
"square",61
"thereof",61
"avenue",60
"condition",60
"granted",60
"management",60
"premises",60
"require",60
"rules",60
"commercial",59
"designated",59
"fall",59
"installation",59
"law",59
"police",59
"project",59
"spaces",59
"amount",58
"cause",58
"lots",58
"material",58
"municipal",58
"r-",58
"size",58
"wastes",58
"established",57
"forth",57
"industrial",57
"prior",57
"pursuant",57
"mean",56
"mooring",56
"agent",55
"districts",55
"drainage",55
"emergency",55
"maintenance",55
"map",55
"position",55
"allowed",54
"connection",54
"office",54
"order",54
"place",54
"wetlands",54
"administrator",53
"comply",53
"five",53
"maximum",53
"portion",53
"storage",53
"cost",52
"hearing",52
"information",52
"waters",52
"definitions",51
"designed",51
"harbormaster",51
"operation",51
"total",51
"act",50
"also",50
"marijuana",50
"pay",50
"ch",49
"either",49
"hundred",49
"level",49
"prohibited",49
"streets",49
"submitted",49
"agency",48
"considered",48
"event",48
"flood",48
"large",48
"loading",48
"performance",48
"spga",48
"community",47
"equipment",47
"federal",47
"make",47
"means",47
"report",47
"right",47
"wrpd",47
"adjacent",46
"front",46
"nonconforming",46
"personnel",46
"supply",46
"plans",45
"ten",45
"drive",44
"energy",44
"hazardous",44
"occupancy",44
"officer",44
"reasonable",44
"addition",43
"first",43
"owned",43
"partnership",43
"whether",43
"action",42
"constructed",42
"given",42
"roof",42
"writing",42
"case",41
"cmr",41
"effective",41
"individual",41
"parcel",41
"percent",41
"permanent",41
"services",41
"activities",40
"available",40
"compensation",40
"k11",40
"lighting",40
"manner",40
"photovoltaic",40
"pl",40
"properties",40
"result",40
"single",40
"solar",40
"alteration",39
"capital",39
"dimensional",39
"every",39
"fees",39
"maintained",39
"regulation",39
"request",39
"vehicle",39
"additional",38
"deemed",38
"determination",38
"equal",38
"granting",38
"listed",38
"pmud",38
"recreation",38
"shown",38
"six",38
"soil",38
"wind",38
"employment",37
"engineer",37
"green",37
"hour",37
"license",37
"lottery",37
"removed",37
"adequate",36
"adult",36
"commonwealth",36
"elevation",36
"environmental",36
"lieu",36
"off-street",36
"paid",36
"setback",36
"subdivision",36
"term",36
"damage",35
"dpw",35
"ft",35
"intended",35
"interest",35
"la",35
"protect",35
"specified",35
"demolition",34
"determine",34
"dollars",34
"due",34
"er",34
"greater",34
"groundwater",34
"k10",34
"marketing",34
"point",34
"rear",34
"receipt",34
"restriction",34
"side",34
"utility",34
"yard",34
"boundary",33
"chief",33
"classification",33
"drain",33
"eet",33
"erected",33
"fee",33
"four",33
"frontage",33
"hours",33
"impacts",33
"insurance",33
"lip",33
"m8",33
"boundaries",32
"center",32
