"Word","Freq"
"shall",6227
"city",4293
"subd",3087
"section",2225
"may",1793
"zoning",1501
"use",1414
"feet",1400
"code",1282
"within",1216
"required",1201
"property",1196
"building",1137
"area",1136
"medina",1128
"district",1116
"ordinance",1079
"public",1039
"page",885
"water",867
"permit",864
"lot",848
"plan",821
"requirements",803
"standards",798
"following",784
"parking",766
"uses",765
"council",735
"must",721
"residential",715
"site",666
"development",639
"areas",623
"land",616
"minimum",593
"provisions",592
"one",589
"provided",537
"person",524
"system",520
"permitted",510
"street",494
"will",473
"park",471
"yard",468
"application",463
"way",460
"upon",454
"structure",451
"except",436
"service",432
"time",429
"located",427
"setback",427
"applicant",426
"subject",424
"used",423
"equipment",421
"minnesota",420
"including",418
"approved",415
"amended",410
"conditions",404
"owner",400
"sign",399
"proposed",392
"facilities",389
"materials",388
"license",386
"design",385
"percent",384
"business",378
"grantee",373
"commercial",369
"adjacent",364
"less",360
"districts",358
"buildings",355
"construction",355
"ord",355
"means",354
"space",350
"include",348
"subdivision",348
"exceed",344
"necessary",343
"regulations",342
"trees",329
"additional",328
"purpose",327
"set",327
"access",325
"approval",320
"existing",319
"fire",316
"information",314
"least",314
"private",314
"signs",313
"right-of",311
"location",308
"sewer",306
"franchise",305
"provide",304
"surface",304
"height",303
"outdoor",302
"lighting",300
"storage",295
"conditional",294
"landscaping",292
"structures",292
"compliance",290
"two",290
"state",287
"home",281
"special",280
"square",279
"review",277
"performance",273
"days",271
"unless",271
"enforcement",269
"size",267
"notice",265
"services",265
"lots",263
"per",260
"maximum",258
"line",257
"open",255
"regarding",249
"streets",248
"administrator",245
"accessory",244
"pud",244
"natural",242
"commission",240
"applicable",239
"control",238
"management",238
"established",237
"fee",237
"buffer",233
"number",233
"made",232
"allowed",229
"limited",229
"safety",228
"without",228
"principal",226
"width",226
"designed",225
"order",224
"purposes",224
"event",221
"mobile",220
"storm",218
"premises",216
"tree",216
"waste",214
"dwelling",211
"meet",211
"similar",211
"plans",210
"maintenance",209
"cable",206
"unit",206
"prior",205
"industrial",204
"noise",203
"violation",203
"require",202
"emergency",200
"health",200
"flood",195
"year",195
"part",194
"planning",194
"general",193
"said",193
"side",192
"vehicles",192
"forth",191
"vehicle",190
"grading",187
"loading",187
"issued",186
"new",185
"otherwise",185
"amount",182
"date",180
"light",180
"systems",180
"consistent",176
"front",176
"chapter",175
"treatment",172
"impact",171
"drainage",169
"administration",168
"also",167
"exterior",166
"greater",166
"material",166
"persons",166
"statutes",165
"sewage",164
"sanitary",163
"sections",163
"accordance",162
"defined",162
"designated",162
"stormwater",162
"place",160
"specified",160
"activities",159
"considered",159
"constructed",159
"individual",158
"recreational",157
"rural",157
"supply",156
"thereof",156
"type",156
"ground",154
"operation",154
"products",154
"subsection",154
"terms",154
"floor",153
"determined",151
"engineer",151
"based",150
"written",148
"family",147
"specifications",147
"described",146
"apply",145
"units",144
"zone",144
"licensed",143
"traffic",143
"wetland",142
"period",141
"properties",141
"protect",141
"provision",141
"setbacks",141
"submitted",141
"acres",140
"hours",140
"outside",140
"sales",140
"spaces",140
"addition",138
"lines",138
"uptown",138
"law",136
"appeal",135
"herein",135
"parcel",135
"appropriate",134
"day",134
"hamel",134
"impervious",134
"urban",134
"maintained",133
"utility",133
"work",132
"adequate",131
"conservation",131
"prohibited",131
"single",131
"total",131
"fees",129
"discharge",128
"manner",128
"utilities",128
"improvements",127
"permits",126
"reduction",126
"screening",126
"temporary",126
"adopted",123
"police",123
"soil",123
"wall",123
"adult",122
"authorized",122
"case",122
"responsible",122
"animal",121
"every",121
"five",121
"rear",121
"reasonable",121
"activity",120
"county",120
"hearing",120
"mixed",119
"roadway",119
"department",118
"high",118
"preservation",118
"right",118
"connection",117
"decorative",117
"granted",117
"disposal",116
"quality",116
"whether",116
"identified",115
"landscape",115
"portion",115
"wetlands",115
"devices",114
"density",113
"pursuant",113
"removal",113
"walls",113
"animals",112
"available",112
"condition",112
"protection",112
"repair",112
"screened",112
"change",111
"specific",111
"television",111
"amendment",110
"level",110
"display",109
"inches",109
"mu",109
"plat",109
"comply",108
"inspection",107
"road",107
"given",106
"soils",106
"three",106
"cause",105
"form",105
"replacement",105
"rules",105
"sale",105
"action",104
"final",104
"ft",104
"liquor",104
"placed",104
"included",103
"installed",103
"conduct",102
"related",102
"comprehensive",100
"facility",100
"suitable",100
"term",100
"elevation",99
"landscaped",99
"reduce",99
"containing",98
"project",98
"back",97
"concept",97
"financial",97
"increased",97
"local",97
"maintain",97
"request",97
"ordinances",96
"runoff",96
"unlawful",96
"welfare",96
"changes",95
"off-street",95
"owners",95
"along",94
"concrete",94
"limitations",94
"variance",94
"allow",93
"costs",93
"make",93
"minor",93
"official",93
"charge",92
"federal",91
"insurance",91
"licensee",91
"restrictions",91
"well",91
"cost",90
"office",90
"on-site",90
"submit",90
"contain",89
"failure",89
"fence",89
"licenses",89
"nuisance",89
"prevent",89
"species",89
"times",89
"vibration",89
"architectural",88
"can",88
"complete",88
"distance",88
"full",88
"measured",88
"vegetation",88
"waters",88
"charges",87
"coverage",87
"depth",87
"issuance",87
"practices",87
"resolution",87
"significant",87
"stored",87
"user",87
"homes",86
"parks",86
"planting",86
"report",86
"served",86
"tobacco",86
"acre",85
"arterial",85
"community",85
"damage",85
"process",85
"reasonably",85
"intended",84
"map",84
"upland",84
"collector",83
"director",83
"driveways",83
"electrical",83
"extent",83
"first",83
"floodplain",83
"installation",83
"hereby",82
"includes",82
"measures",82
"agreement",81
"compatible",81
"definitions",81
"dog",81
"doors",81
"future",81
"history",81
"meter",81
"result",81
"acceptable",80
"another",80
"effective",80
"establishment",80
"hazardous",80
"relevant",80
"surrounding",80
"added",79
"cemetery",79
"either",79
"operate",79
"permanent",79
"reduced",79
"garage",78
"name",78
"providing",78
"solar",78
"due",77
"highway",77
"impacts",77
"staff",77
"stage",77
"utilized",77
"writing",77
"driveway",76
"irrigation",76
"minimize",76
"works",76
"common",75
"conform",75
"erosion",75
"fully",75
"inside",75
"regulation",75
"retail",75
"serve",75
"address",74
"dwellings",74
"features",74
"manufacturing",74
"meeting",74
"procedures",74
"sufficient",74
"accommodate",73
"decision",73
"deems",73
"elements",73
"integrated",73
"major",73
"none",73
"receipt",73
"ten",73
"care",72
"delivery",72
"events",72
"follows",72
"four",72
"however",72
"point",72
"pollution",72
"record",72
"showing",72
"years",72
"alcoholic",71
"description",71
"employees",71
"grade",71
"payment",71
"resources",71
"roads",71
"source",71
"tower",71
"wecs",71
"connections",70
"cover",70
"listed",70
"motor",70
"preliminary",70
"removed",70
"shared",70
"docks",69
"operating",69
"possible",69
"requirement",69
"standard",69
"associated",68
"attached",68
"clerk",68
"determine",68
"effect",68
"ensure",68
"establishments",68
"goods",68
"gross",68
"intent",68
"plants",68
"separate",68
"capacity",67
"completed",67
"conducted",67
"device",67
"enclosed",67
"pedestrian",67
"plant",67
"six",67
"face",66
