"Word","Freq"
"shall",3387
"street",1899
"city",1447
"board",891
"ord",855
"feet",782
"may",765
"chapter",693
"public",689
"aldermen",654
"melrose",651
"parking",528
"building",502
"section",487
"line",453
"use",438
"area",430
"code",426
"charter",416
"permit",415
"within",415
"person",414
"department",405
"mgl",398
"amended",361
"west",353
"acts",350
"commission",337
"ch",325
"provided",323
"lot",316
"following",315
"mayor",310
"along",305
"time",305
"water",305
"avenue",304
"east",304
"upon",300
"order",298
"one",294
"required",294
"vehicle",294
"accepted",291
"st",285
"point",284
"property",284
"proceeding",273
"provisions",273
"main",270
"clerk",256
"police",253
"northerly",249
"except",243
"license",237
"regulations",237
"southerly",237
"special",237
"easterly",235
"amendment",229
"law",228
"north",226
"south",224
"article",222
"land",216
"thereof",216
"will",214
"fire",213
"including",213
"plan",213
"ords",212
"place",212
"rev",212
"application",205
"office",205
"development",203
"notice",200
"westerly",199
"subject",198
"service",196
"state",195
"distance",191
"general",190
"side",190
"committee",189
"days",188
"planning",187
"business",185
"school",184
"district",182
"used",181
"buildings",180
"chief",179
"made",175
"sign",171
"said",170
"requirements",169
"traffic",168
"streets",167
"vehicles",167
"date",166
"project",166
"areas",164
"signs",163
"authority",160
"park",159
"site",159
"fee",155
"residential",155
"first",151
"members",150
"owner",149
"per",148
"way",148
"space",147
"road",146
"see",146
"year",145
"engineer",144
"proposed",144
"part",138
"art",137
"services",136
"number",135
"set",135
"structure",134
"unless",134
"location",133
"least",132
"member",132
"applicant",130
"two",130
"established",128
"conditions",127
"officer",127
"health",126
"hearing",126
"without",126
"accordance",125
"must",125
"persons",125
"premises",125
"review",125
"necessary",123
"purpose",122
"sewer",121
"control",120
"designated",119
"permitted",119
"zoning",119
"a-",118
"minimum",118
"name",118
"private",118
"foster",117
"works",117
"approved",116
"permits",116
"work",116
"wyoming",115
"manner",114
"square",114
"emergency",113
"every",113
"open",113
"day",112
"hours",112
"include",112
"municipal",112
"otherwise",112
"voters",112
"act",109
"certain",108
"election",108
"violation",108
"case",107
"construction",107
"less",107
"cause",105
"duties",105
"make",104
"term",104
"authorizing",103
"issued",103
"ordinance",103
"authorized",101
"provide",101
"stop",101
"cost",100
"existing",99
"uses",99
"apply",97
"information",97
"emerson",96
"portion",96
"franklin",95
"unit",95
"additional",94
"facilities",94
"request",94
"body",93
"height",93
"laws",93
"massachusetts",93
"new",93
"dwelling",92
"motor",91
"approval",90
"located",90
"ordinances",90
"purposes",90
"system",90
"also",89
"fees",89
"note",89
"reference",89
"rules",89
"ways",89
"added",88
"employees",88
"adopted",87
"deemed",87
"intersection",87
"report",87
"sewers",87
"surface",87
"written",87
"administrative",86
"director",86
"officers",86
"exceed",85
"maintenance",85
"years",85
"editor's",84
"floor",84
"industrial",83
"spaces",83
"ave",82
"community",82
"materials",82
"maximum",82
"removal",82
"right",82
"structures",82
"total",82
"fine",81
"legal",81
"safety",81
"schedule",81
"effective",80
"action",79
"period",79
"appointed",78
"lebanon",78
"temporary",78
"commercial",77
"limited",77
"multiple-member",77
"provision",77
"three",77
"commonwealth",76
"defined",76
"device",76
"prior",76
"sale",76
"terms",76
"certificate",75
"drainage",75
"green",75
"protection",75
"establishment",74
"licenses",74
"subsection",74
"wires",74
"applicable",73
"units",73
"allowed",72
"charge",72
"direction",72
"management",72
"record",71
"effect",70
"essex",70
"grove",70
"november",70
"operation",70
"powers",70
"commissioner",69
"discharge",69
"sidewalk",69
"vote",69
"fells",68
"follows",68
"front",68
"payment",68
"upham",68
"writing",68
"beginning",67
"division",67
"forth",67
"given",67
"lynn",67
"offense",67
"five",66
"form",66
"districts",65
"measures",65
"serve",65
"amount",64
"petition",64
"require",64
"whether",64
"appeals",63
"held",63
"parts",63
"responsibilities",63
"sgd",63
"appropriate",62
"budget",62
"collector",62
"compliance",62
"tc",62
"treasurer",62
"design",61
"devices",61
"hereby",61
"six",61
"december",60
"decision",60
"filed",60
"placed",60
"times",60
"appointment",59
"available",59
"court",59
"measure",59
"paid",59
"take",59
"either",58
"granted",58
"livery",58
"prohibited",58
"pursuant",58
"whenever",58
"access",57
"annual",57
"copy",57
"responsible",57
"a250-",56
"considered",56
"described",56
"reasonable",56
"collection",55
"connection",55
"grant",55
"gross",55
"rd",55
"designed",54
"light",54
"pedestrian",54
"sidewalks",54
"standards",54
"systems",54
"common",53
"former",53
"housing",53
"lots",53
"malden",53
"pond",53
"registered",53
"tax",53
"yard",53
"elected",52
"enforcement",52
"granting",52
"intended",52
"interest",52
"licensed",52
"proper",52
"addition",51
"affordable",51
"change",51
"drain",51
"filing",51
"january",51
"lines",51
"agency",50
"immediately",50
"official",50
"operating",50
"rcod",50
"repair",50
"similar",50
"wastes",50
"zone",50
"abutting",49
"determined",49
"driver",49
"inspection",49
"keep",49
"off-street",49
"permanent",49
"providing",49
"signal",49
"specific",49
"therefor",49
"vacancy",49
"waste",49
"auditor",48
"charges",48
"included",48
"june",48
"known",48
"plans",48
"agencies",47
"authorities",47
"failure",47
"meeting",47
"owners",47
"single",47
"table",47
"thereto",47
"facility",46
"four-way",46
"maintained",46
"relating",46
"separate",46
"size",46
"storage",46
"town",46
"accessory",45
"address",45
"adoption",45
"alteration",45
"estate",45
"material",45
"noise",45
"pay",45
"porter",45
"user",45
"adjacent",44
"allow",44
"direct",44
"illuminated",44
"process",44
"roof",44
"words",44
"accept",43
"activities",43
"agent",43
"commissioners",43
"condition",43
"containing",43
"file",43
"give",43
"hackney",43
"loading",43
"marijuana",43
"meter",43
"principal",43
"references",43
"bodies",42
"comply",42
"departments",42
"four",42
"herein",42
"lane",42
"perform",42
