"Word","Freq"
"shall",5970
"city",3049
"section",1795
"chapter",1639
"reso",1619
"person",1526
"may",1463
"tax",1212
"license",1057
"property",1014
"within",1014
"building",1005
"code",952
"public",946
"required",906
"business",905
"mesa",842
"provided",768
"use",765
"permit",742
"upon",713
"following",702
"fire",683
"one",650
"area",608
"department",608
"services",578
"state",556
"construction",540
"requirements",536
"vehicle",530
"manager",522
"including",513
"service",512
"violation",507
"safety",498
"provisions",497
"system",496
"time",489
"application",487
"development",481
"board",480
"director",480
"civil",477
"approved",472
"fees",461
"used",456
"will",450
"hearing",444
"facilities",435
"street",431
"alarm",428
"fee",427
"accordance",424
"arizona",422
"notice",421
"subject",419
"licensee",412
"water",406
"days",400
"applicant",399
"police",396
"council",394
"equipment",388
"pursuant",385
"except",384
"collector",383
"without",383
"feet",381
"traffic",379
"taxpayer",375
"date",372
"owner",372
"authorized",368
"two",366
"period",357
"officer",347
"residential",347
"provide",329
"gross",328
"include",328
"sales",327
"persons",325
"place",320
"must",313
"information",308
"subsection",306
"regulations",305
"unless",305
"areas",304
"road",304
"applicable",303
"issued",303
"less",302
"income",300
"sale",299
"parking",292
"premises",290
"purposes",290
"control",289
"purpose",288
"means",287
"minimum",287
"made",285
"care",282
"licensing",277
"personal",276
"hundred",275
"streets",275
"responsible",274
"facility",273
"title",272
"group",270
"apply",269
"set",269
"amount",268
"request",268
"prior",267
"way",267
"work",260
"access",257
"part",257
"land",256
"necessary",256
"private",255
"standards",255
"systems",255
"location",254
"buildings",251
"new",250
"designated",248
"otherwise",248
"five",246
"written",246
"commercial",245
"compliance",245
"engineer",243
"installed",243
"storage",242
"court",241
"approval",240
"three",239
"activity",237
"food",237
"materials",237
"amended",236
"r-",229
"imposed",228
"structure",227
"comply",225
"charges",223
"occupancy",223
"office",223
"user",222
"gas",221
"existing",220
"whether",220
"exceed",219
"health",218
"industrial",218
"vehicles",218
"every",217
"general",217
"article",216
"designee",215
"order",215
"deemed",214
"name",213
"paid",213
"manner",212
"number",210
"records",210
"design",209
"payment",209
"event",207
"cause",206
"agent",204
"appeal",204
"follows",204
"limited",204
"permitted",202
"located",201
"similar",201
"due",200
"forth",200
"tangible",200
"utilities",200
"conditions",199
"year",199
"impact",198
"review",198
"space",198
"defined",196
"party",195
"special",195
"rental",194
"lot",193
"authority",188
"activities",187
"additional",187
"chief",187
"said",186
"taxes",185
"park",184
"pay",183
"specified",183
"violations",183
"either",182
"technical",182
"right-of",181
"thereof",181
"limits",180
"law",179
"penalty",178
"real",177
"action",176
"establishment",176
"percent",176
"waste",176
"also",174
"costs",173
"interest",172
"penalties",172
"type",172
"form",171
"devices",170
"dollars",170
"items",170
"maintenance",169
"prohibited",169
"signs",169
"calendar",168
"permits",168
"protection",167
"considered",166
"issuance",166
"massage",166
"utility",166
"plan",165
"codes",164
"definitions",164
"reserved",164
"inches",163
"members",163
"per",163
"motor",162
"open",162
"individual",161
"make",161
"site",161
"decision",160
"dwelling",160
"enforcement",160
"licensed",160
"sprinkler",160
"inspection",158
"aircraft",156
"occupancies",156
"unlawful",156
"addition",155
"determined",155
"least",155
"structures",155
"operation",154
"page",154
"portion",154
"customer",153
"installation",153
"day",152
"dog",152
"fine",152
"official",151
"term",151
"prescribed",150
"duties",149
"federal",149
"rules",149
"hours",148
"terms",148
"emergency",147
"read",147
"device",146
"established",146
"improvements",146
"maintain",146
"material",145
"exterior",144
"program",144
"unit",144
"appropriate",143
"maintained",143
"years",143
"final",142
"proposed",142
"address",141
"agreement",141
"maximum",141
"repair",141
"ten",141
"thirty",141
"cost",140
"ordinance",140
"includes",139
"member",139
"cable",138
"natural",138
"privilege",138
"fuel",137
"schedule",137
"subdivision",137
"first",136
"renewal",136
"county",135
"statement",135
"thousand",135
"reasonable",134
"corporation",133
"discharge",133
"failure",133
"hazard",133
"herein",133
"act",132
"separate",132
"exception",131
"automatic",130
"exempt",130
"sewer",130
"conduct",129
"contract",129
"offense",129
"citation",128
"connection",128
"issue",128
"serve",128
"total",128
"based",127
"determine",127
"election",127
"revocation",127
"received",126
"charge",125
"employees",125
"liability",125
"operate",125
"airport",124
"certain",124
"certificate",124
"collection",124
"condition",124
"officers",124
"providing",124
"door",123
"entity",123
"products",123
"right",123
"transfer",123
"available",122
"local",122
"months",122
"sign",122
"table",122
"wastewater",122
"hereby",121
"procedures",121
"report",121
"submitted",121
"adjacent",120
"change",120
"employee",120
"recreation",120
"solid",120
"described",119
"provision",119
"temporary",119
"animal",118
"drainage",118
"direct",117
"intended",117
"retail",117
"another",116
"effective",116
"statutes",116
"units",116
"air",115
"current",115
"designed",115
"determination",115
"laws",115
"retention",115
"assessment",114
"home",114
"in98-",114
"operator",114
"roadway",114
"file",113
"plat",113
"case",112
"electrical",112
"jurisdiction",112
"operated",112
"rate",112
"desert",111
"doors",111
"energy",111
"immediately",111
"line",111
"potw",111
"record",111
"sanction",111
"engaged",110
"legal",110
"six",110
"walls",110
"evidence",109
"sold",109
"square",109
"store",109
"require",108
"class",107
"filed",107
"specific",107
"allowed",106
"basis",106
"end",105
"meet",105
"misdemeanor",105
"placed",105
"transaction",105
"convenience",104
"revised",104
"adopted",103
"criminal",103
"false",103
"constructed",102
"prevent",102
"receipt",102
"storm",102
"times",102
"administrative",101
"customers",101
"engineering",101
"four",101
"return",101
"international",100
"obtain",100
"sexually",100
"zone",100
"annual",99
"containers",99
"exceptions",99
"constitute",98
"lines",98
"process",98
"removal",98
"full",97
"mayor",97
"related",97
"consumption",96
"filing",96
"licenses",96
"plans",96
"plants",96
"taxable",96
"allow",95
"contained",95
"light",95
"mechanical",95
"paragraph",95
"parks",95
"fifty",94
"hazardous",94
"outside",94
"responsibility",94
"side",94
"directly",93
"smoking",93
"value",93
"writing",93
"agency",92
"however",92
"lease",92
"residence",92
"size",92
"collected",91
"improvement",91
"sections",91
"housing",90
"leasing",90
"oriented",90
"procedure",90
"remove",90
"zoning",90
"flow",89
"greater",89
"single",88
"sufficient",88
