"Word","Freq"
"shall",12201
"city",8300
"ord",3866
"code",2999
"may",2981
"public",2390
"board",2079
"sec",2058
"property",2038
"section",1998
"within",1877
"department",1719
"permit",1712
"commission",1539
"service",1466
"page",1409
"article",1354
"required",1335
"upon",1301
"time",1295
"fee",1269
"use",1261
"provided",1206
"building",1202
"director",1190
"manager",1172
"business",1104
"street",1082
"person",1072
"member",1059
"will",1052
"development",1047
"notice",1010
"parking",973
"per",958
"pursuant",932
"state",916
"days",903
"including",898
"provisions",893
"application",890
"special",883
"following",881
"chapter",874
"owner",868
"retirement",862
"area",854
"one",852
"subject",849
"plan",820
"date",805
"fees",798
"set",789
"year",789
"members",785
"requirements",775
"zoning",774
"services",749
"miami",742
"said",732
"violation",729
"prior",724
"applicant",702
"construction",701
"system",694
"applicable",687
"trust",687
"event",683
"law",663
"period",661
"license",658
"forth",657
"provide",648
"made",647
"means",635
"amount",626
"district",609
"florida",600
"issued",593
"hearing",590
"subsection",589
"office",587
"used",586
"percent",585
"county",580
"herein",579
"officer",577
"review",577
"payment",576
"accordance",575
"adopted",575
"written",573
"feet",569
"police",567
"include",564
"way",559
"defined",556
"planning",553
"approval",550
"necessary",541
"must",540
"years",538
"vehicle",536
"new",527
"persons",524
"authorized",522
"fire",522
"ordinance",521
"avenue",517
"licensee",508
"employees",507
"facilities",503
"pay",501
"certificate",499
"enforcement",499
"employee",494
"authority",487
"without",487
"limited",482
"approved",477
"order",477
"amended",476
"structure",470
"tax",470
"work",468
"compliance",467
"request",467
"thereof",467
"less",464
"paid",463
"general",462
"mean",462
"ten",462
"park",459
"except",456
"tree",454
"designated",452
"land",451
"historic",447
"number",443
"works",434
"established",431
"proposed",431
"purpose",425
"regulations",423
"interest",421
"sale",421
"additional",419
"unless",418
"designee",417
"waste",417
"fund",416
"agreement",415
"purposes",415
"minimum",414
"receipt",411
"local",406
"otherwise",404
"division",403
"information",401
"management",392
"terms",392
"commercial",390
"first",389
"conditions",387
"place",387
"city's",384
"existing",384
"two",382
"day",379
"location",379
"improvements",374
"reference",374
"removal",371
"term",368
"apply",366
"cost",366
"available",362
"due",359
"five",359
"costs",358
"rules",357
"permitted",356
"permits",355
"action",354
"facility",353
"committee",351
"annual",350
"program",350
"benefit",344
"three",339
"issuance",337
"private",336
"records",336
"failure",334
"part",334
"areas",331
"right-of",329
"form",327
"operation",325
"assessment",324
"chief",323
"make",322
"whether",322
"ch",321
"official",321
"compensation",317
"appropriate",316
"community",315
"manner",315
"name",313
"sidewalk",312
"vending",312
"temporary",311
"safety",310
"based",308
"equipment",308
"hereby",307
"hours",307
"duties",306
"vehicles",306
"located",305
"act",304
"rate",304
"administrative",303
"insurance",303
"right",303
"square",303
"appeal",302
"deemed",302
"least",302
"effective",301
"also",300
"funds",300
"reasonable",300
"maintenance",298
"contract",297
"btr",296
"final",294
"resolution",294
"addition",293
"civil",292
"franchise",291
"meetings",288
"member's",288
"residential",288
"streets",287
"lot",286
"eligible",285
"water",285
"prohibited",284
"reserved",284
"collection",283
"comply",282
"cause",281
"officers",281
"standards",281
"bid",279
"full",278
"impact",275
"determined",273
"preservation",273
"report",273
"sign",272
"require",271
"serve",266
"described",264
"individual",263
"site",263
"court",261
"note",261
"total",261
"contributions",260
"inspection",260
"premises",259
"exceed",258
"clerk",257
"agency",256
"control",256
"maintain",254
"procedures",254
"structures",254
"basis",253
"membership",253
"meeting",252
"decision",251
"submitted",250
"calendar",248
"receive",248
"trees",248
"case",247
"criteria",247
"result",246
"value",246
"executive",245
"plat",245
"west",245
"writing",245
"account",242
"current",242
"activities",241
"real",241
"october",240
"provision",240
"cable",239
"granted",239
"vessel",239
"master",236
"credit",235
"legal",235
"submit",235
"benefits",234
"charge",234
"zone",233
"specified",229
"federal",228
"given",228
"maximum",228
"equal",227
"financial",227
"telephone",227
"line",226
"appointed",225
"emergency",225
"housing",225
"change",224
"performance",224
"downtown",222
"buildings",221
"owners",221
"appeals",219
"certified",219
"improvement",219
"considered",218
"effect",218
"however",218
"open",218
"either",217
"mayor",217
"north",217
"received",217
"applications",216
"finance",216
"materials",215
"south",215
"address",214
"attorney",214
"evidence",214
"laws",214
"related",214
"parks",213
"process",213
"conduct",211
"environmental",211
"placed",210
"editor's",209
"miami-dade",209
"traffic",209
"responsible",208
"follows",207
"activity",205
"establishment",205
"every",205
"fiscal",205
"waiver",205
"similar",204
"connection",203
"unlawful",203
"events",202
"uses",202
"registration",201
"net",200
"personnel",200
"intent",199
"constitute",198
"vote",198
"mural",197
"condition",196
"present",196
"lien",195
"removed",195
"solid",195
"plans",194
"contractor",192
"procedure",192
"project",192
"purchase",192
"secs",192
"exceeding",191
"monthly",191
"portion",191
"procurement",191
"space",191
"permittee",190
"professional",190
"type",190
"leave",189
"material",189
"rescue",189
"overtown",188
"permanent",187
"held",185
"charges",184
"drop",184
"rights",184
"sections",184
"imposed",183
"schedule",183
"determine",182
"employment",182
"copy",181
"entity",181
"generally",181
"appointment",180
"contained",180
"months",180
"operator",180
"file",179
"four",179
"rule",179
"establish",178
"transfer",178
"requires",177
"departments",176
"immediately",176
"bond",175
"design",175
"along",174
"filing",174
"budget",173
"contracts",173
"providing",173
"units",173
"scheduled",172
"access",171
"completed",171
"alarm",170
"fine",170
"health",170
"specific",170
"average",169
"filed",169
"signs",169
"title",169
"allowed",168
"regular",167
"take",167
"creditable",166
"etc",166
"powers",166
"revenue",166
"entitled",165
"month",165
"penalties",165
"september",165
"violations",165
"exemption",164
"expenses",164
"notwithstanding",164
"properties",164
"advisory",163
"consideration",163
"duty",163
"party",163
"unit",163
"advertising",162
"initial",162
"known",162
"liability",162
"motor",162
"ordinances",162
"renewal",162
"assessed",161
"determination",161
"issue",161
"security",160
"cross",159
"maintained",159
"remove",159
"excess",158
"intended",158
"transportation",158
"footnotes",157
"payable",157
"penalty",157
"qualifications",157
"qualified",157
"charter",155
"obtain",155
"administration",154
"et",154
"power",154
"revocation",154
"seq",154
"allowance",153
"repair",153
"support",153
"off-street",152
"recommendation",151
"rental",151
"agent",150
"times",150
"age",149
"alcoholic",149
"operate",149
"storage",149
"valid",149
"governmental",148
"municipal",148
"occupancy",148
"proper",148
"representative",148
"charged",147
"extent",147
"operating",147
"remain",147
"requested",147
"vessels",147
"actions",145
"goods",145
"record",145
"alley",144
"damage",144
"death",144
"recommendations",144
"utility",144
"art",143
"definitions",142
"statement",142
"supplemental",142
"beverages",141
"boards",141
"election",141
"completion",140
"description",140
"grant",140
"holder",140
"programs",140
"separate",140
"agencies",139
"biscayne",139
"created",139
"january",139
"sales",139
"whose",139
"gross",138
"protection",138
"reports",138
"subsequent",138
"distance",137
"hold",137
"liens",137
"hour",136
"method",136
"replacement",136
"rights-of",136
"disability",135
"key",135
"corporation",134
"fire-rescue",134
"lease",134
"life",134
"position",134
"alternate",133
"personal",133
"retail",133
"zones",133
"cip",132
"installation",132
"lots",132
"matter",132
"operated",132
"option",132
"responsibility",132
"found",131
"list",130
"agreements",129
"base",129
"complete",129
"comprehensive",129
"government",129
"names",129
"rates",129
"can",128
"establishments",128
"mooring",128
"states",128
"capital",127
"normal",127
"1st",126
"certain",126
"six",126
"trustees",126
"company",125
"return",125
"united",125
"competitive",124
"plus",124
"prescribed",124
"requirement",124
"trash",124
"adjacent",123
"construed",123
"council",123
"mail",123
"physical",123
"proceedings",123
"actual",122
"distribution",122
"foot",122
"ft",122
"functions",122
"listed",122
"annually",121
"capacity",121
"nature",121
"particular",121
"pedicab",121
"southeast",121
"grove",120
"meet",120
"perform",120
"proof",120
"regarding",120
"using",120
"words",120
"flood",119
"landscape",119
"payments",119
"projects",119
"thereafter",119
"allow",118
"commissioner",118
"contain",118
"contribution",118
"document",118
"future",118
"limits",118
"policy",118
"price",118
"proposals",118
"sq",118
"unsafe",118
"voting",118
"collected",117
"limitations",117
"recreation",117
"registered",117
"staff",117
"become",116
"derived",116
"properly",116
"award",115
"center",115
"obtained",115
"user",115
"certificates",114
"certification",114
"coconut",114
"discretion",114
"participation",114
"show",114
"sufficient",114
"systems",114
"taken",114
"classification",113
"previously",113
"city-owned",112
"districts",112
"fill",112
"included",112
"jurisdiction",112
"later",112
"national",112
"products",112
"quality",112
"affordable",111
"direct",111
"east",111
"evaluation",111
"floor",111
"making",111
"accumulated",110
"credits",110
"designation",110
"includes",110
"organization",110
"petition",110
"prepared",110
"air",109
"circumstances",109
"deposit",109
"documents",109
"easement",109
"greater",109
"another",108
"extension",108
"guidelines",108
"locations",108
"notify",108
"size",108
"specifically",108
"status",108
"boundaries",107
"food",107
"good",107
"incurred",107
"lines",107
"nothing",107
"operations",107
"sidewalks",107
"spaces",107
"liberty",106
"money",106
"performed",106
"quorum",106
"adoption",105
"fines",105
"firm",105
"highway",105
"subsections",105
"thence",105
"appoint",104
"directly",104
"enterprise",104
"fully",104
"recorded",104
"virginia",104
"class",103
"former",103
"market",103
"policies",103
"sum",103
"denial",102
"licensed",102
"owned",102
"therein",102
"vendor",102
"appropriateness",101
"chairperson",101
"standard",101
"subdivision",101
"amounts",100
"conducted",100
"container",100
"investigation",100
"matters",100
"residents",100
"taxes",100
"absence",99
"administrator",99
"estimated",99
"fails",99
"original",99
"relating",99
"shown",99
"actuarial",98
"audit",98
"boulevard",98
"covered",98
"merchandise",98
"next",98
"referred",98
"respect",98
"abutting",97
"hearings",97
"register",97
"road",97
"vacant",97
"well",97
"whenever",97
"pedestrian",96
"reason",96
"references",96
"reservation",96
"stadium",96
"valet",96
"abandoned",95
"device",95
"directors",95
"income",95
"together",95
"centerline",94
"changes",94
"dwelling",94
"notification",94
"parcel",94
"prevention",94
"reasons",94
"remedies",94
"restaurant",94
"stormwater",94
"welfare",94
"best",93
"display",93
"governing",93
"minutes",93
"places",93
"violator",93
"accounts",92
"claims",92
"cash",91
"communications",91
"contractual",91
"ensure",91
"pension",91
"proposal",91
"second",91
"consistent",90
"immediate",90
"point",90
"single",90
"vacation",90
"behalf",89
"duly",89
"exception",89
"level",89
"requests",89
"resources",89
"spouse",89
