"Word","Freq"
"shall",6936
"city",3426
"may",1470
"property",1299
"public",1296
"building",1221
"ord",1160
"section",1148
"use",1091
"sec",1023
"means",978
"within",972
"required",970
"article",874
"council",874
"development",857
"code",850
"provided",838
"area",791
"permit",753
"person",746
"following",713
"business",702
"feet",690
"upon",649
"county",642
"requirements",625
"sign",609
"application",596
"department",588
"used",578
"state",577
"owner",573
"will",572
"time",558
"including",546
"parking",541
"minimum",536
"official",523
"street",520
"structure",517
"one",509
"facilities",507
"provisions",502
"services",502
"administrative",499
"service",495
"special",489
"vehicle",487
"violation",487
"chapter",486
"subject",477
"zoning",477
"signs",475
"permitted",472
"construction",468
"plan",464
"areas",455
"site",445
"approved",442
"uses",438
"standards",433
"board",429
"notice",429
"compliance",428
"applicant",422
"approval",412
"way",410
"residential",408
"accordance",402
"per",392
"manager",385
"proposed",381
"certificate",380
"lot",378
"order",377
"include",374
"applicable",373
"except",373
"enforcement",371
"regulations",371
"set",370
"dwelling",369
"law",368
"must",365
"facility",364
"purpose",364
"located",362
"number",358
"days",356
"land",342
"unit",340
"provide",339
"limited",335
"premises",333
"prior",331
"date",325
"district",324
"event",324
"forth",322
"ordinance",320
"structures",318
"hearing",311
"made",307
"pursuant",303
"unless",301
"division",295
"water",291
"location",289
"review",286
"issued",285
"without",283
"fee",282
"florida",280
"buildings",279
"percent",279
"officer",277
"open",276
"existing",274
"office",273
"authorized",272
"otherwise",268
"necessary",267
"private",267
"storage",267
"commercial",264
"local",264
"said",261
"persons",260
"square",260
"herein",257
"members",256
"place",256
"space",256
"height",249
"line",248
"less",247
"two",243
"wall",240
"information",239
"member",237
"system",234
"city's",233
"final",233
"landscape",233
"vehicles",233
"part",232
"appropriate",231
"park",228
"request",226
"tax",226
"written",225
"committee",221
"established",221
"general",221
"equipment",220
"period",219
"right-of",219
"new",217
"home",216
"type",216
"apply",215
"maximum",214
"term",213
"conditions",212
"copy",211
"design",211
"subsection",210
"year",209
"accessory",207
"thereof",207
"action",206
"plat",206
"prohibited",206
"tree",206
"name",205
"comply",204
"every",204
"maintained",204
"access",202
"maintenance",202
"miami",202
"spaces",202
"sale",201
"units",201
"first",200
"safety",200
"address",199
"traffic",199
"ft",198
"materials",198
"purposes",198
"defined",197
"fees",196
"master",196
"appeals",195
"least",195
"additional",194
"director",194
"mobile",192
"streets",191
"vacant",191
"issuance",189
"impact",188
"parks",188
"police",188
"manner",187
"trees",187
"day",185
"gardens",185
"rules",185
"three",185
"also",184
"contract",184
"reserved",184
"adjacent",182
"housing",182
"appeal",181
"ordinances",180
"similar",180
"terms",179
"work",179
"alarm",178
"form",178
"hours",178
"whether",178
"works",178
"exceed",177
"authority",175
"removal",174
"determination",173
"legal",173
"make",173
"adopted",172
"based",172
"material",171
"decision",170
"evidence",170
"establishment",169
"right",168
"intended",167
"clerk",166
"considered",166
"determined",166
"permits",165
"floor",164
"waste",164
"community",163
"addition",161
"planning",160
"procedures",160
"setback",160
"deemed",159
"project",159
"occupancy",158
"total",158
"health",157
"meeting",157
"properties",157
"size",156
"ten",156
"food",155
"sales",155
"care",154
"amount",153
"mayor",153
"receipt",153
"specific",152
"five",151
"costs",150
"provision",150
"control",149
"improvements",149
"placed",149
"repair",149
"designated",148
"providing",148
"secs",148
"hereby",147
"inspection",147
"agency",144
"collection",144
"condition",144
"designed",144
"either",144
"intent",144
"require",144
"available",143
"reasonable",143
"reference",143
"activities",142
"however",142
"principal",142
"activity",141
"agreement",141
"management",141
"school",141
"individual",140
"plans",140
"real",140
"districts",139
"interest",138
"lines",138
"payment",138
"utility",138
"criteria",136
"designee",136
"ground",136
"recreation",136
"temporary",136
"common",135
"art",134
"court",134
"due",133
"miami-dade",133
"program",133
"se",133
"license",131
"cause",130
"charter",130
"removed",130
"failure",129
"records",129
"serve",129
"concurrency",128
"flood",128
"proportionate",128
"submitted",128
"file",127
"case",125
"inches",125
"portion",125
"related",125
"lighting",124
"meet",124
"retail",124
"emergency",123
"level",123
"change",122
"entity",122
"manufacturing",122
"act",121
"stormwater",121
"variance",121
"amended",120
"capacity",120
"cost",120
"installed",120
"penalties",119
