"Word","Freq"
"shall",1657
"section",634
"town",531
"board",479
"building",435
"may",399
"permit",370
"feet",324
"parking",318
"use",316
"lot",288
"special",253
"land",249
"bylaw",244
"one",232
"chapter",227
"development",226
"area",222
"residence",215
"district",209
"within",209
"zoning",207
"public",195
"planning",191
"provided",176
"dwelling",169
"open",168
"meeting",162
"general",156
"business",155
"provisions",147
"upon",146
"space",144
"used",140
"buildings",137
"subsection",135
"plan",129
"proposed",125
"less",124
"time",123
"including",121
"unit",118
"article",117
"except",117
"selectmen",117
"requirements",113
"application",112
"lots",112
"milton",112
"spaces",111
"following",110
"height",110
"person",110
"areas",109
"site",105
"approved",103
"facility",103
"number",102
"required",102
"bylaws",101
"purpose",100
"said",100
"appeals",98
"applicant",98
"water",98
"voted",94
"construction",91
"least",91
"part",91
"conditions",89
"existing",89
"square",89
"uses",89
"housing",87
"paragraph",87
"will",87
"without",87
"commission",85
"subject",84
"two",84
"place",83
"property",83
"permitted",81
"committee",80
"purposes",80
"street",80
"units",80
"additional",79
"issued",79
"planned",79
"temporary",79
"five",76
"line",76
"include",75
"march",74
"members",74
"exceed",73
"owner",73
"set",73
"districts",72
"erected",72
"floor",72
"pursuant",72
"way",72
"regulations",71
"days",70
"department",69
"law",69
"amend",68
"thereof",68
"adjacent",67
"facilities",67
"unless",67
"cluster",66
"made",66
"necessary",66
"aa",65
"annual",65
"approval",64
"term",64
"year",64
"attorney",63
"event",63
"laws",63
"structures",63
"home",62
"commissioner",61
"alarm",60
"notice",60
"prior",60
"three",60
"flood",59
"premises",59
"new",58
"review",58
"family",57
"ground",57
"residential",57
"design",56
"otherwise",56
"police",56
"date",55
"provide",55
"wind",55
"every",54
"provision",54
"written",54
"driveways",53
"accessory",51
"authorized",51
"ownership",51
"total",51
"turbine",51
"applicable",50
"buildable",50
"hearing",50
"located",50
"order",50
"persons",50
"reasonable",50
"stormwater",50
"vote",50
"access",49
"apply",49
"common",49
"maintained",49
"service",49
"sign",49
"structure",49
"cause",48
"system",48
"attached",47
"frontage",47
"whether",47
"act",46
"appropriate",46
"recorded",46
"terms",46
"wireless",46
"dollars",45
"occupation",45
"years",45
"registered",44
"traffic",44
"grade",43
"mean",43
"offense",43
"state",43
"violation",43
"accordance",42
"fire",42
"first",42
"member",42
"side",42
"apartment",41
"hundred",41
"location",41
"personnel",41
"regarding",41
"religious",41
"removal",41
"chief",40
"elected",40
"four",40
"massachusetts",40
"material",40
"corporation",39
"excess",39
"exterior",39
"health",39
"plans",39
"signs",39
"systems",39
"adequate",38
"amended",38
"amendment",38
"control",38
"deemed",38
"elderly",38
"means",38
"streets",38
"warrant",38
"condominium",37
"determined",37
"granted",37
"held",37
"management",37
"natural",37
"telecommunications",37
"back",36
"containing",36
"educational",36
"established",36
"materials",36
"municipal",36
"work",36
"designed",35
"discharge",35
"separate",35
"vehicles",35
"wetlands",35
"authority",34
"central",34
"officer",34
"significant",34
"dog",33
"portion",33
"services",33
"single",33
"specified",33
"appearance",32
"avenue",32
"determine",32
"dpw",32
"election",32
"fill",32
"maintenance",32
"project",32
"reasonably",32
"storm",32
"writing",32
"case",31
"officers",31
"owned",31
"parcel",31
"pay",31
"safety",31
"also",30
"amendments",30
"clerk",30
"drainage",30
"effect",30
"information",30
"make",30
"adjoining",29
"demolition",29
"earth",29
"fee",29
"lines",29
"permanent",29
"action",28
"addition",28
"day",28
"features",28
"minimum",28
"period",28
"permits",28
"showing",28
"take",28
"ways",28
"adding",27
"amount",27
"compliance",27
"connection",27
"decision",27
"non",27
"office",27
"paragraphs",27
"protection",27
"rear",27
"report",27
"rules",27
"school",27
"vehicle",27
"altered",26
"description",26
"either",26
"front",26
"gross",26
"limited",26
"manner",26
"measured",26
"request",26
"respect",26
"thirty",26
"voters",26
"available",25
"chairman",25
"constitute",25
"employees",25
"exclusive",25
"herein",25
"hours",25
"included",25
"issue",25
"map",25
"neighborhood",25
"private",25
"ten",25
"width",25
"counted",24
"deposit",24
"emergency",24
"federal",24
"june",24
"need",24
"whichever",24
"change",23
"condition",23
"contiguous",23
"defined",23
"failure",23
"filed",23
"fine",23
"free",23
"lighting",23
"owners",23
"require",23
"requirement",23
"serve",23
"suitable",23
"tower",23
"acts",22
"assembly",22
"expiration",22
"finding",22
"finished",22
"landscaping",22
"level",22
"occupied",22
"precinct",22
"present",22
"principal",22
"properties",22
"substantial",22
"sufficient",22
"surface",22
"times",22
"twenty",22
"activities",21
"base",21
"conservation",21
"drain",21
"effective",21
"meetings",21
"permissible",21
"projects",21
"sale",21
"storage",21
"story",21
"substantially",21
"trees",21
"user",21
"violates",21
"zone",21
"associated",20
"basis",20
"conducted",20
"considered",20
"contained",20
"definitions",20
"designated",20
"eight",20
"food",20
"handicapped",20
"however",20
"interest",20
"percent",20
"possible",20
"sections",20
"size",20
"stream",20
"adoption",19
"architectural",19
"authorize",19
"certificate",19
"compensation",19
"completion",19
"constructed",19
"cover",19
"determining",19
"egress",19
"employee",19
"enforcement",19
"final",19
"foregoing",19
"greater",19
"hereby",19
"limitations",19
"long",19
"maintain",19
"motor",19
"occupant",19
"outside",19
"position",19
"providing",19
"quarters",19
"relating",19
"representative",19
"subdivision",19
"sum",19
"towers",19
"worship",19
"acres",18
"can",18
"determination",18
"environmental",18
"equipment",18
"expense",18
"false",18
"february",18
"fifty",18
"meet",18
"moderator",18
"operation",18
"park",18
"qualified",18
"right",18
"submitted",18
"thereto",18
"together",18
"whoever",18
"adopted",17
"adverse",17
"april",17
"commercial",17
"convenient",17
"costs",17
"coverage",17
"engineer",17
"excluding",17
"immediately",17
"limitation",17
"maximum",17
"nearby",17
"organization",17
"paid",17
"places",17
"specify",17
"spire",17
"standing",17
"submit",17
"visual",17
"word",17
"appointment",16
"automobiles",16
"changes",16
"comply",16
"copies",16
"dome",16
"extent",16
"flow",16
"given",16
"impact",16
"increase",16
"intent",16
"measures",16
"must",16
"names",16
"next",16
"pool",16
"requisite",16
"residents",16
"show",16
"standards",16
"stories",16
"thereon",16
"tree",16
"type",16
"utilities",16
"appointed",15
"brownfield",15
"clean",15
"cupola",15
"data",15
"deed",15
"determines",15
"duties",15
"dwellings",15
"elevation",15
"entitled",15
"erosion",15
"filing",15
"forfeit",15
"good",15
"house",15
"insofar",15
"interior",15
"issuance",15
"name",15
"notwithstanding",15
"operations",15
"plain",15
"prepared",15
"procedures",15
"professional",15
"program",15
"quality",15
"regulation",15
"related",15
"repair",15
"safe",15
"sidewalk",15
"sidewalks",15
"statement",15
"study",15
"subsequent",15
"successor",15
"swimming",15
"third",15
"trust",15
"trustees",15
"addresses",14
"amenities",14
"attractive",14
"certified",14
"chimneys",14
"clearing",14
"concurrent",14
"copy",14
"cost",14
"court",14
"covered",14
"deem",14
"device",14
"driveway",14
"exist",14
"fifteen",14
"grant",14
"highest",14
"impacts",14
"legal",14
"matter",14
"payment",14
"placed",14
"point",14
"prohibited",14
"reason",14
"receiving",14
"relief",14
"resident",14
"restrictions",14
"satisfaction",14
"scale",14
"seats",14
"second",14
"seven",14
"shown",14
"sixty",14
"soil",14
"step",14
"yards",14
"alteration",13
"articles",13
"ballot",13
"cemetery",13
"contain",13
"current",13
"described",13
"file",13
"garage",13
"hazard",13
"high",13
"independent",13
"known",13
"majority",13
"notify",13
"pedestrian",13
"penalty",13
"powers",13
"preserve",13
"protect",13
"question",13
"receipt",13
"recreational",13
"removed",13
"requested",13
"safeguards",13
"similar",13
"towards",13
"40a",12
"added",12
"another",12
"circumstances",12
"combination",12
"commissioners",12
"community",12
"components",12
"consideration",12
"detached",12
"developments",12
"discretion",12
"disposal",12
"distance",12
"drive-through",12
"give",12
"incurred",12
"involving",12
"large",12
"lawful",12
"license",12
"limits",12
"noise",12
"occupancy",12
"opinion",12
"power",12
"pre",12
"rate",12
"receive",12
"requiring",12
"six",12
"specific",12
"stated",12
"wall",12
"walls",12
"welfare",12
"whole",12
"address",11
"administration",11
"agents",11
"appoint",11
"bodies",11
"body",11
"characteristics",11
"conform",11
"consultants",11
"create",11
"currently",11
"deeds",11
"detailed",11
"detrimental",11
"discharges",11
"due",11
"employment",11
"equal",11
"far",11
"filling",11
"foot",11
"forth",11
"forty",11
"grievance",11
"groundwater",11
"history",11
"hold",11
"immediate",11
"improvement",11
"improvements",11
"july",11
"life",11
"like",11
"maintaining",11
"matters",11
"months",11
"operated",11
"particular",11
"per",11
"pertaining",11
"positions",11
"profit",11
"prohibit",11
"proper",11
"real",11
"recommendations",11
"recommended",11
"record",11
"recording",11
"records",11
"reduce",11
"remove",11
"resources",11
"resulting",11
"rights",11
"salary",11
"specifically",11
"supply",11
"thereafter",11
"twenty-five",11
"underground",11
"walkways",11
"yard",11
"agency",10
"applications",10
"authorization",10
"automobile",10
"bond",10
"boundary",10
"built",10
"capital",10
"charge",10
"commenced",10
"completed",10
"consent",10
"consistent",10
"consisting",10
"conversion",10
"converted",10
"corrective",10
"energy",10
"evidence",10
"exceeding",10
"exists",10
"finalists",10
"force",10
"gardens",10
"goods",10
"governed",10
"historically",10
"implement",10
"impose",10
"inconsistent",10
"inserting",10
"interests",10
"job",10
"kind",10
"left",10
"levels",10
"lightning",10
"mail",10
"master",10
"needs",10
"notification",10
"original",10
"perform",10
"petition",10
"potential",10
"procedure",10
"rates",10
"registry",10
"regular",10
"renewed",10
"restricted",10
"rods",10
"room",10
"schedule",10
"signal",10
"stock",10
"telephone",10
"title",10
"trade",10
"various",10
"well",10
"whenever",10
"abutting",9
"activity",9
"aggregate",9
"agreement",9
"allowed",9
"alter",9
"antennas",9
"anticipated",9
"appropriation",9
"assessed",9
"bonus",9
"brook",9
"buses",9
"capacity",9
"care",9
"changed",9
"chap",9
"character",9
"commonwealth",9
"conduct",9
"construed",9
"contains",9
"contours",9
"course",9
"dangerous",9
"detail",9
"direction",9
"enforce",9
"environment",9
"establishment",9
"estate",9
"exclusively",9
"expansion",9
"expenditures",9
"fails",9
"form",9
"forthwith",9
"grounds",9
"guests",9
"hereafter",9
"heretofore",9
"hereunder",9
"illicit",9
"increased",9
"individual",9
"installed",9
"insurance",9
"intended",9
"involved",9
"landscape",9
"length",9
"light",9
"living",9
"making",9
"national",9
"normal",9
"operator",9
"paths",9
"pedestrians",9
"pools",9
"practical",9
"prevent",9
