"Word","Freq"
"shall",13810
"-or",7529
"city",6928
"may",3819
"code",3665
"license",3045
"section",2958
"chapter",2910
"person",2817
"public",2450
"service",1975
"permit",1891
"required",1889
"within",1866
"property",1863
"council",1842
"amend",1729
"page",1708
"upon",1582
"building",1557
"application",1556
"provided",1500
"minneapolis",1425
"department",1416
"vehicle",1392
"one",1389
"services",1382
"minnesota",1374
"official",1328
"business",1316
"owner",1311
"use",1264
"must",1261
"fee",1238
"time",1223
"notice",1134
"director",1126
"ord",1093
"said",1082
"will",1078
"area",1067
"used",1061
"state",1057
"following",1043
"water",1039
"district",1030
"street",1027
"applicant",1024
"provisions",1002
"including",995
"pursuant",994
"year",987
"health",974
"issued",949
"premises",933
"days",899
"licensee",873
"article",867
"means",861
"sale",841
"hearing",840
"licensed",839
"licensing",830
"requirements",819
"adopted",809
"place",802
"date",777
"special",775
"food",761
"number",748
"provide",714
"made",711
"persons",711
"employee",709
"law",707
"plan",707
"violation",703
"fire",702
"authority",692
"approved",691
"purpose",678
"work",676
"authorized",673
"board",673
"parking",671
"except",667
"thereof",667
"without",661
"dwelling",658
"officer",639
"police",633
"established",632
"information",630
"prior",630
"unless",627
"feet",625
"ordinance",625
"engineer",618
"subject",612
"statutes",608
"control",607
"include",607
"necessary",604
"establishment",598
"set",598
"two",591
"reserved",589
"note",588
"hundred",586
"animal",585
"first",576
"system",571
"written",571
"manner",566
"maintenance",560
"construction",556
"equipment",555
"development",551
"amount",550
"charges",549
"employees",549
"licenses",543
"part",542
"charge",540
"event",539
"name",537
"limited",536
"every",532
"editor's",530
"way",527
"avenue",525
"dollars",525
"location",525
"vehicles",525
"order",521
"applicable",519
"defined",515
"annual",514
"period",513
"also",511
"compliance",509
"hours",508
"purposes",507
"commercial",503
"ch",501
"cause",496
"otherwise",494
"action",492
"make",492
"operation",492
"fees",486
"insurance",479
"motor",478
"less",477
"apply",474
"pet",473
"herein",471
"land",467
"new",467
"approval",466
"least",461
"contract",460
"cost",459
"materials",458
"laws",456
"payment",453
"calendar",452
"conditions",452
"housing",450
"address",448
"repealed",448
"title",447
"unit",444
"lot",438
"ordinances",435
"tax",427
"safety",425
"costs",424
"three",424
"permits",423
"zoning",420
"years",419
"city's",417
"terms",417
"whether",417
"reference",416
"condition",413
"located",413
"planning",413
"pay",410
"certificate",409
"commission",409
"facilities",407
"management",403
"regulations",402
"five",396
"market",396
"thousand",395
"emergency",394
"conduct",393
"designated",391
"comply",390
"private",388
"inspection",385
"appropriate",384
"line",384
"commissioner",382
"interest",380
"paid",380
"reasonable",377
"review",377
"agency",375
"liquor",374
"report",374
"temporary",373
"waste",371
"office",369
"rules",369
"ten",369
