"Word","Freq"
"shall",3140
"city",1963
"may",963
"public",807
"sec",724
"code",696
"permit",632
"property",600
"use",595
"ord",592
"means",583
"section",561
"council",554
"feet",552
"building",532
"license",515
"within",515
"will",471
"area",462
"person",458
"must",447
"required",441
"article",417
"lot",416
"time",392
"application",368
"chapter",362
"provisions",351
"following",349
"state",344
"one",341
"upon",327
"provided",317
"dock",313
"owner",297
"structure",297
"business",295
"requirements",295
"way",292
"street",290
"water",288
"land",274
"minn",274
"fee",266
"applicant",264
"service",258
"facilities",249
"days",242
"signs",241
"areas",239
"used",236
"parking",234
"including",233
"said",233
"sign",228
"site",226
"system",226
"residential",225
"construction",223
"zoning",223
"except",222
"right-of",221
"district",219
"minimum",212
"permitted",210
"regulations",207
"notice",203
"stats",202
"grantee",200
"law",200
"development",197
"conditions",195
"premises",194
"located",193
"fees",190
"approved",189
"lots",187
"plan",186
"proposed",184
"established",183
"general",183
"fire",181
"issued",181
"purpose",180
"location",179
"unless",179
"uses",178
"watercraft",178
"necessary",171
"without",171
"provide",170
"subject",170
"year",169
"manager",168
"streets",165
"applicable",163
"subdivision",162
"violation",160
"set",159
"per",158
"include",157
"square",157
"storage",157
"two",156
"flood",155
"permits",154
"control",152
"date",152
"made",152
"safety",151
"franchise",149
"less",148
"line",148
"standards",148
"structures",148
"commercial",146
"health",146
"commission",144
"existing",144
"licensee",144
"exceed",143
"buildings",140
"services",140
"height",139
"planning",139
"setback",139
"subsection",139
"work",139
"private",136
"limited",135
"term",135
"written",135
"information",134
"lake",134
"order",134
"emergency",133
"least",133
"materials",131
"sewer",131
"department",129
"place",126
"approval",125
"accordance",124
"dwelling",124
"management",123
"space",123
"additional",122
"liquor",122
"access",121
"compliance",119
"manner",119
"number",119
"slip",119
"insurance",118
"otherwise",118
"part",118
"sale",118
"yard",117
"persons",116
"special",116
"plat",115
"prior",115
"ordinance",114
"percent",114
"prohibited",114
"costs",113
"equipment",113
"official",113
"width",113
"designated",112
"conditional",111
"forth",111
"paid",111
"traffic",111
"hours",110
"open",110
"authorized",109
"reference",107
"reserved",107
"accessory",106
"placed",106
"adult",105
"division",105
"police",105
"thereof",105
"granted",104
"hearing",104
"licensed",104
"reasonable",104
"municipal",103
"period",103
"ten",103
"unit",103
"industrial",102
"new",102
"side",102
"first",101
"administration",100
"maintenance",100
"pursuant",100
"specified",100
"animal",99
"vehicle",99
"whether",99
"cable",98
"front",98
"determined",97
"director",97
"inspection",97
"right",97
"also",96
"parcel",96
"comply",95
"holder",95
"terms",94
"allowed",93
"apply",93
"discharge",93
"make",93
"licenses",92
"secs",92
"require",91
"vehicles",91
"waters",91
"adjacent",90
"rules",90
"similar",90
"clerk",89
"establishment",89
"purposes",89
"removal",89
"cost",88
"operation",88
"variance",88
"connection",87
"units",87
"designed",86
"either",86
"facility",86
"natural",86
"permittee",86
"constructed",85
"follows",85
"installation",85
"request",85
"review",85
"surface",85
"material",84
"temporary",84
"districts",83
"principal",83
"amended",81
"boat",81
"name",81
"responsible",81
"defined",80
"portion",80
"protection",80
"addition",79
"appropriate",79
"considered",79
"staff",79
"every",78
"excavation",78
"maximum",78
"size",78
"cause",77
"engineer",77
"floor",77
"maintained",77
"amount",76
"authority",76
"county",76
"day",76
"officer",76
"r-",76
"resolution",76
"revocation",76
"utility",76
"address",75
"charges",75
"issuance",75
"subd",75
"abutting",74
"adopted",74
"three",74
"form",73
"local",73
"minnesota",73
"nuisance",73
"act",72
"provision",72
"appeal",70
"damage",70
"five",70
