"Word","Freq"
"shall",2252
"town",1506
"may",764
"water",547
"plan",542
"commission",531
"airy",530
"mount",524
"ord",468
"public",458
"property",440
"within",434
"feet",415
"building",403
"code",381
"area",369
"will",369
"required",357
"sewer",353
"lot",345
"chapter",336
"use",329
"development",320
"time",318
"planning",301
"council",296
"upon",291
"must",286
"ch",282
"provided",274
"site",269
"person",265
"amended",262
"one",260
"owner",252
"requirements",249
"district",245
"article",244
"approval",241
"including",235
"board",230
"parking",227
"review",223
"approved",221
"allocation",215
"county",215
"following",212
"zoning",207
"applicant",206
"except",206
"residential",206
"streets",205
"uses",205
"section",204
"street",200
"permit",199
"subject",194
"violation",189
"provisions",187
"application",182
"permitted",181
"commercial",178
"subdivision",177
"per",174
"final",172
"service",172
"said",170
"minimum",168
"used",168
"space",165
"set",164
"see",163
"proposed",161
"amendment",160
"facilities",155
"dwelling",154
"land",154
"order",153
"existing",152
"mayor",151
"added",150
"areas",150
"business",147
"regulations",147
"vehicles",147
"include",146
"plans",143
"special",143
"concept",142
"days",141
"made",139
"construction",137
"general",137
"project",137
"official",136
"square",135
"capacity",133
"subsection",132
"yard",132
"located",131
"vehicle",131
"notice",130
"provide",130
"state",130
"date",129
"accordance",127
"municipal",126
"line",123
"office",122
"services",122
"structure",120
"available",119
"ordinance",119
"-62f",118
"forth",117
"without",117
"sidewalks",116
"two",115
"terms",113
"buildings",112
"authorized",111
"appropriate",110
"carroll",110
"industrial",110
"year",109
"designated",108
"new",106
"premises",106
"issued",105
"sign",105
"fee",104
"adopted",103
"conditions",103
"members",103
"action",102
"information",102
"maryland",102
"pursuant",102
"unit",102
"fire",101
"least",101
"open",101
"employee",100
"purpose",98
"three",98
"place",97
"thereof",97
"waste",97
"charges",96
"connection",96
"town's",95
"violations",95
"floor",94
"less",94
"storage",94
"width",94
"lots",93
"part",93
"persons",93
"request",93
"unlicensed",93
"clerk",92
"preliminary",92
"front",91
"prior",91
"applicable",90
"charge",90
"standards",90
"necessary",89
"setback",89
"permits",88
"plat",88
"first",87
"license",87
"private",87
"staff",87
"system",87
"maintenance",86
"principal",85
"unless",85
"years",85
"hearing",84
"offense",84
"otherwise",84
"period",83
"structures",83
"way",83
"developer",82
"height",82
"law",81
"units",81
"unlawful",81
"limited",79
"management",79
"additional",78
"hereby",78
"infraction",77
"materials",77
"rear",77
"total",76
"access",75
"department",75
"prohibited",75
"case",74
"exceed",74
"health",74
"limits",74
"purposes",74
"appeals",73
"interest",73
"issuance",73
"maximum",73
"apply",72
"improvements",72
"meeting",72
"submit",72
"adequate",71
"side",71
"written",71
"also",70
"equipment",70
"exception",70
"lighting",70
"make",70
"signs",70
"statement",70
"fees",69
"light",69
"police",69
"addition",68
"agencies",68
"cause",68
"herein",68
"lines",68
"condition",67
"districts",67
"amount",66
"day",66
"report",66
"serve",66
"appointed",65
"control",65
"every",65
"future",65
"outdoor",65
"note",64
"solid",64
"individual",63
"traffic",63
"copies",62
"established",62
"event",62
"fine",62
"spaces",62
"accessory",61
"agreement",61
"conservation",61
"location",61
"park",61
"repair",61
"adjacent",60
"considered",60
"demand",60
"list",60
"penalties",60
"vote",60
"art",59
"based",59
"number",59
