"Word","Freq"
"",1842
"sun",818
"ph",530
"shade",504
"allowed",483
"use",448
"full",437
"plant",391
"part",380
"tree",352
"trees",331
"name",304
"location",246
"shrubs",246
"cultivars",230
"area",222
"native",208
"soils",198
"soil",188
"table",186
"common",182
"sf",178
"well-drained",177
"water-wise",158
"approved",156
"prefers",156
"coverage",154
"buffers",152
"tier",151
"scientific",150
"riparian",149
"rounded",149
"hedge",148
"information",148
"type",147
"constructed",144
"vehicle",143
"categories",141
"cultural",141
"cultivar",140
"solid",140
"moist",138
"dense",132
"species",130
"upright",127
"site",125
"height",122
"plants",121
"maintained",107
"deciduous",103
"root",101
"distance",96
"evergreen",94
"mature",94
"spreading",93
"can",92
"best",91
"canopy",91
"triangle",89
"conditions",87
"required",87
"urban",86
"predicated",85
"large",83
"planting",83
"street",83
"good",82
"compact",76
"shrub",76
"areas",73
"understory",72
"invasive",71
"wet",71
"adaptable",68
"will",67
"landscape",66
"minimum",64
"pyramidal",62
"small",62
"rural",61
"suburban",61
"tolerant",60
"form",58
"water",58
"lines",57
"power",57
"japanese",56
"needs",56
"downtown",55
"used",55
"udo",54
"neighborhood",53
"previous",53
"see",52
"shall",52
"2b",51
"acid",51
"flowers",51
"dry",50
"dwarf",50
"round",48
"viburnum",47
"carolina",46
"feet",46
"2a",45
"high",43
"open",43
"rich",43
"branches",42
"north",42
"drought",41
"low",41
"organic",41
"pruning",41
"heat",40
"oval",40
"1a",39
"growth",39
"loose",39
"durham",37
"growing",37
"leaves",37
"tendencies",37
"within",37
"ground",36
"manual",36
"protection",36
"red",36
"well",36
"winter",36
"holly",35
"multi-stemmed",35
"recommended",35
"ilex",34
"japonica",34
"many",34
"oak",34
"tall",34
"grow",33
"magnolia",33
"may",33
"moisture",33
"mulch",33
"chinese",32
"content",31
"fragrant",31
"arching",30
"green",30
"colonies",29
"paragraph",29
"quercus",29
"specimen",29
"drainage",28
"southern",28
"suckering",28
"deep",27
"material",27
"maple",26
"ordinance-required",26
"planted",26
"requirements",26
"var",26
"1b",25
"city",25
"leaf",25
"must",25
"acer",24
"also",24
"color",24
"established",24
"exotic",24
"plantings",24
"american",23
"better",23
"figure",23
"fruit",23
"often",23
"provided",23
"rhododendron",23
"white",23
"wind",23
"found",22
"one",22
"poor",22
"roots",22
"stems",22
"along",21
"avoid",21
"cover",21
"fall",21
"flowering",21
"generally",21
"inches",21
"larger",21
"less",21
"parking",21
"proposed",21
"tables",21
"uses",21
"weeping",21
"hybrid",20
"lots",20
"medium",20
"size",20
"around",19
"ball",19
"columnar",19
"detail",19
"disease",19
"foliage",19
"formerly",19
"juniperus",19
"listed",19
"low-growing",19
"pine",19
"plan",19
"slightly",19
"tip",19
"usually",19
"available",18
"credit",18
"groundcover",18
"juniper",18
"mounding",18
"new",18
"ordinance",18
"per",18
"prunus",18
"section",18
"smaller",18
"south",18
"tolerance",18
"top",18
"trunk",18
"types",18
"varies",18
"acidic",17
"age",17
"deer",17
"department",17
"eastern",17
"least",17
"pollution",17
"problems",17
"protect",17
"specific",17
"streams",17
"tolerate",17
"coarse",16
"cotoneaster",16
"erect",16
"especially",16
"hybrids",16
"landscaping",16
"seed",16
"sites",16
"somewhat",16
"space",16
"specified",16
"varieties",16
"withstands",16
"yellow",16
"chinensis",15
"clay",15
"cold",15
"depending",15
"existing",15
"forms",15
"grasses",15
"https",15
"irregular",15
"keep",15
"loamy",15
"locations",15
"needed",15
"practices",15
"prior",15
"remove",15
"sand",15
"season",15
"standards",15
"wild",15
"years",15
"cherry",14
"cut",14
"definition",14
"diseases",14
"fertile",14
"grows",14
"hot",14
"indica",14
"irrigation",14
"land",14
"like",14
"nutrients",14
"osmanthus",14
"provide",14
"pruned",14
"rate",14
"sec",14
"semi-evergreen",14
"similar",14
"slow",14
"stormwater",14
"stream",14
"watering",14
"azalea",13
"buffer",13
"damage",13
"depends",13
"drought-tolerant",13
"due",13
"heavy",13
"horticultural",13
"include",13
"maturity",13
"meet",13
"otherwise",13
"resistant",13
"sight",13
"spread",13
"spring",13
"textured",13
"time",13
"turf",13
"www",13
"zone",13
"abelia",12
"bark",12
"blooms",12
"cold-hardy",12
"construction",12
"container",12
"euonymus",12
"example",12
"formal",12
"grandiflora",12
"grass",12
"male",12
"multi-stem",12
"names",12
"narrow",12
"nc",12
"orientalis",12
"ph-adaptable",12
"planning",12
"pounds",12
"preserved",12
"prune",12
"removed",12
"rubrum",12
"salt",12
"salt-tolerant",12
"sarcococca",12
"stiff",12
"sucker",12
"swamps",12
"system",12
"tiers",12
"tolerates",12
"typically",12
"unless",12
"using",12
"arborvitae",11
"attaining",11
"base",11
"category",11
"cedar",11
"characteristics",11
"conical",11
"county",11
"criteria",11
"development",11
"easy",11
"exposure",11
"fencing",11
"fine",11
"following",11
"garden",11
"including",11
"lagerstroemia",11
"laurel",11
"lespedeza",11
"list",11
"live",11
"maintain",11
"occidentalis",11
"quality",11
"states",11
"swamp",11
"taller",11
"thuja",11
"tough",11
"typical",11
"vegetation",11
"virginiana",11
"wood",11
"acre",10
"air",10
"banks",10
"black",10
"boxwood",10
"camellia",10
"chamaecyparis",10
"climbing",10
"culture",10
"dark",10
"design",10
"difficult",10
"early",10
"ecosystem",10
"english",10
"florida",10
"habit",10
"healthy",10
"hydrangea",10
"insect",10
"interest",10
"little",10
"loropetalum",10
"mass",10
"materials",10
"ncsu",10
"rocky",10
"rose",10
"sandy",10
"science",10
"six",10
"smooth",10
"specifications",10
"spp",10
"suckers",10
"texture",10
"two",10
"utility",10
"application",9
"appropriate",9
"back",9
"bed",9
"botanical",9
"buxus",9
"coastal",9
"environment",9
"even",9
"falsecypress",9
"fertilizer",9
"hardy",9
"hedges",9
"http",9
"irregularly",9
"myrtle",9
"nursery",9
"online",9
"org",9
"oriental",9
"others",9
"performance",9
"photinia",9
"piedmont",9
"plans",9
"preferred",9
"prohibited",9
"range",9
"removal",9
"replacement",9
"requires",9
"revised",9
"seeding",9
"short-lived",9
"shown",9
"sizes",9
"spirea",9
"survey",9
"test",9
"united",9
"variety",9
"weather",9
"accordance",8
"activities",8
"amendments",8
"backfill",8
"basic",8
"broad",8
"broadly",8
"code",8
"control",8
"cornuta",8
"crape",8
"damaged",8
"disturbance",8
"dogwood",8
"drained",8
"european",8
"female",8
"heat-tolerant",8
"horizontal",8
"installation",8
"installed",8
"leucothoe",8
"life",8
"lower",8
"medium-height",8
"mountain",8
"national",8
"natural",8
"need",8
"perform",8
"rejuvenate",8
"selection",8
"shallow",8
"slender",8
"spiraea",8
"sweet",8
"tends",8
"times",8
"way",8
"wide",8
"without",8
"applicable",7
"april",7
"berries",7
"branch",7
"considered",7
"cornus",7
"crenata",7
"cultivate",7
"day",7
"december",7
"defined",7
"double",7
"drought-tolerance",7
"edu",7
"elm",7
"except",7
"excessive",7
"fauriei",7
"fence",7
"fine-textured",7
"fire",7
"flat",7
"forming",7
"free",7
"glossy",7
"graceful",7
"habitat",7
"hole",7
"hours",7
"improve",7
"late",7
"latifolia",7
"light",7
"linden",7
"lower-growing",7
"mary",7
"maximum",7
"near",7
"nellie",7
"nigra",7
"notably",7
"pavement",7
"plain",7
"poorly",7
"preservation",7
"problem",7
"restoration",7
"result",7
"rosa",7
"shape",7
"shrubby",7
"slopes",7
"staking",7
"stevens",7
"suited",7
"surface",7
"susceptible",7
"take",7
"thoroughly",7
"thunbergii",7
"transplant",7
"triangles",7
"twiggy",7
"unkempt",7
"utilities",7
"vine",7
"weed",7
"widely",7
"woodlands",7
"allow",6
"amount",6
"applied",6
