"Word","Freq"
"shall",216
"town",192
"accepted",133
"ch",120
"laws",107
"gen",102
"sect",84
"section",73
"june",59
"nahant",57
"meeting",54
"march",52
"april",51
"committee",51
"by-laws",38
"members",37
"article",36
"year",35
"chapter",31
"may",31
"said",31
"acts",30
"selectmen",28
"annual",26
"massachusetts",26
"posted",26
"updated",26
"page",25
"rev",25
"officers",24
"act",23
"motion",22
"vote",22
"board",21
"july",21
"three",21
"moderator",20
"one",20
"report",20
"tax",19
"years",19
"public",18
"commission",17
"day",17
"time",17
"certain",16
"clerk",16
"law",16
"real",16
"upon",16
"advisory",15
"provides",15
"warrant",15
"appoint",14
"estate",14
"except",14
"exemption",14
"property",14
"voters",14
"appointed",13
"employees",13
"mgl",13
"police",13
"sects",13
"term",13
"voted",13
"appointment",12
"clause",12
"finance",12
"fire",12
"insurance",12
"license",12
"meet",12
"member",12
"office",12
"order",12
"provided",12
"thereof",12
"two",12
"ways",12
"allows",11
"fiscal",11
"governmental",11
"made",11
"officer",11
"recreation",11
"rules",11
"adjournment",10
"amended",10
"annually",10
"chairman",10
"collector",10
"committees",10
"every",10
"general",10
"meetings",10
"program",10
"required",10
"serve",10
"special",10
"amount",9
"approval",9
"authorizes",9
"capital",9
"less",9
"list",9
"original",9
"pensions",9
"person",9
"personal",9
"preceding",9
"printed",9
"within",9
"body",8
"business",8
"council",8
"including",8
"otherwise",8
"proper",8
"provisions",8
"purpose",8
"question",8
"records",8
"regulations",8
"subject",8
"thereon",8
"writing",8
"account",7
"administrator",7
"amendment",7
"amounts",7
"appropriation",7
"authority",7
"by-law",7
"cause",7
"days",7
"department",7
"duties",7
"fund",7
"given",7
"incl",7
"licensing",7
"party",7
"pay",7
"persons",7
"private",7
"repairs",7
"reports",7
"requirements",7
"revocation",7
"without",7
"accounts",6
"affairs",6
"articles",6
"ballot",6
"bill",6
"conduct",6
"duty",6
"effect",6
"exemptions",6
"granted",6
"however",6
"immediately",6
"increase",6
"municipal",6
"name",6
"permit",6
"recommendations",6
"statement",6
"suspension",6
"take",6
"unless",6
"use",6
"votes",6
"voting",6
"32b",5
"acceptance",5
"action",5
"adjourned",5
"agency",5
"bodies",5
"budget",5
"compensation",5
"copy",5
"date",5
"denial",5
"elderly",5
"employ",5
"enterprise",5
