"Word","Freq"
"shall",684
"section",427
"town",418
"may",286
"board",224
"permit",182
"bylaw",170
"public",164
"meeting",163
"person",140
"commission",133
"annual",118
"water",110
"department",105
"upon",104
"updated",89
"application",86
"selectmen",85
"stormwater",85
"within",84
"building",83
"article",81
"property",77
"days",73
"said",72
"regulations",71
"fine",70
"owner",67
"management",66
"committee",65
"dog",65
"system",65
"massachusetts",62
"use",62
"authority",60
"chapter",60
"general",60
"municipal",60
"norfolk",59
"police",59
"provided",59
"hearing",58
"notice",58
"sign",58
"one",57
"violation",57
"applicant",56
"offense",56
"signs",55
"time",54
"issued",53
"officer",53
"provisions",52
"required",52
"special",51
"enforcement",49
"without",49
"removal",48
"structure",48
"control",47
"land",47
"license",47
"prior",47
"purpose",47
"state",47
"street",47
"allowed",46
"authorized",46
"by-law",46
"including",45
"day",44
"will",43
"necessary",42
"planning",41
"thereof",41
"agent",40
"include",40
"maintenance",40
"moderator",40
"way",40
"following",39
"laws",39
"must",39
"order",39
"alarm",38
"amended",38
"fee",38
"plan",38
"storm",38
"three",38
"construction",37
"subject",37
"act",36
"discharge",36
"activities",35
"persons",35
"site",35
"conservation",34
"place",34
"work",34
"writing",34
"written",34
"area",33
"earth",33
"year",33
"conditions",32
"date",32
"except",32
"first",32
"made",32
"operation",32
"protection",32
"cause",31
"clerk",30
"law",30
"requirements",30
"used",30
"drainage",29
"make",29
"approval",28
"chief",28
"schedule",28
"animal",27
"fire",27
"hundred",27
"otherwise",27
"unless",27
"also",26
"approved",26
"copy",26
"costs",26
"finance",26
"proposed",26
"provision",26
"request",26
"articles",25
"community",25
"deemed",25
"determination",25
"dollars",25
"existing",25
"health",25
"material",25
"members",25
"officers",25
"part",25
"regulation",25
"set",25
"years",25
"demolition",24
"final",24
"fund",24
"materials",24
"number",24
"office",24
"preservation",24
"action",23
"appointed",23
"commissioner",23
"compliance",23
"court",23
"designated",23
"require",23
"significant",23
"supply",23
"two",23
"wetlands",23
"apply",22
"boards",22
"business",22
"bylaws",22
"drain",22
"emergency",22
"given",22
"per",22
"receipt",22
"rules",22
"surface",22
"temporary",22
"activity",21
"commonwealth",21
"director",21
"disposition",21
"event",21
"information",21
"non-criminal",21
"premises",21
"report",21
"separate",21
"whether",21
"accountant",20
"areas",20
"defined",20
"established",20
"failure",20
"feet",20
"financial",20
"period",20
"pursuant",20
"removed",20
"safety",20
"terms",20
"vote",20
"zoning",20
"address",19
"agency",19
"case",19
"consent",19
"forth",19
"groundwater",19
"issue",19
"location",19
"responsibility",19
"runoff",19
"term",19
"1st",18
"advisory",18
"constitute",18
"discharges",18
"list",18
"standards",18
"violations",18
"amount",17
"collector",17
