"Word","Freq"
"shall",3145
"town",1002
"may",711
"commission",706
"reading",653
"north",640
"general",624
"plan",605
"approved",587
"district",551
"permit",526
"art",524
"building",520
"section",515
"provisions",508
"within",495
"public",474
"planning",468
"land",459
"community",456
"said",441
"board",432
"zoning",430
"use",425
"feet",421
"special",417
"lot",404
"chapter",374
"bylaw",346
"required",341
"atm",338
"amended",336
"water",331
"regulations",318
"one",317
"area",314
"article",312
"site",309
"following",304
"proposed",304
"provided",298
"applicant",295
"property",294
"application",289
"upon",265
"code",262
"including",246
"street",246
"development",237
"approval",233
"requirements",233
"time",230
"service",224
"otm",221
"department",220
"will",219
"space",218
"construction",214
"open",207
"authority",205
"existing",204
"selectmen",204
"subject",204
"areas",200
"structure",200
"subdivision",197
"project",195
"person",194
"days",193
"act",192
"buildings",191
"ch",191
"historic",190
"facilities",187
"police",186
"line",183
"residential",180
"parking",174
"include",173
"system",173
"meeting",169
"date",168
"uses",165
"purpose",163
"minimum",161
"provide",161
"registered",161
"used",161
"sign",160
"owner",159
"materials",158
"state",158
"facility",157
"two",157
"alarm",154
"purposes",154
"pursuant",154
"laws",153
"review",152
"law",147
"lines",146
"except",144
"located",144
"structures",144
"notice",143
"design",142
"drainage",142
"control",141
"made",141
"permitted",139
"services",138
"fire",137
"way",137
"housing",135
"amendment",134
"subsection",134
"thereof",132
"accordance",129
"committee",129
"health",129
"necessary",129
"removal",129
"dwelling",128
"massachusetts",128
"order",128
"location",127
"without",127
"personal",122
"see",122
"signs",122
"conditions",121
"set",121
"equipment",119
"applicable",117
"must",117
"clerk",116
"unless",116
"height",115
"offense",115
"authorized",114
"least",114
"member",114
"appeals",113
"hearing",113
"rules",113
"wireless",113
"conservation",112
"inspector",112
"number",112
"parcel",111
"added",110
"affordable",110
"limited",110
"storm",110
"new",109
"issued",107
"maintenance",107
"acts",106
"business",106
"part",105
"decision",104
"lots",104
"school",104
"costs",103
"members",103
"portion",103
"office",102
"plans",101
"prior",101
"shown",101
"chief",99
"unit",99
"less",98
"standards",98
"enforcement",97
"map",97
"streets",97
"units",97
"information",96
"officer",96
"submitted",95
"violation",95
"forth",94
"by-law",93
"provision",93
"defined",92
"maximum",92
"municipal",92
"protection",92
"surface",92
"vote",92
"year",92
"apply",91
"appropriate",91
"first",91
"management",89
"material",89
"permits",89
"written",89
"private",88
"safety",88
"court",87
"persons",87
"otherwise",86
"square",86
"work",86
"also",85
"mgl",85
"place",84
"require",84
"copy",83
"period",83
"case",82
"compliance",82
"follows",81
"three",81
"access",80
"report",79
"effect",78
"filed",78
"form",78
"frontage",78
"request",78
"certificate",77
"accessory",76
"certified",76
"commonwealth",76
"house",76
"marijuana",76
"side",76
"premises",75
"agency",74
"districts",74
"granting",74
"hereby",74
"exceed",73
"front",73
"interest",73
"name",73
"adopted",72
"emergency",72
"hundred",72
"note",72
"operation",72
"systems",72
"action",71
"natural",71
