"Word","Freq"
"shall",3381
"city",1903
"may",1075
"public",771
"building",768
"code",745
"chapter",716
"property",683
"council",672
"use",667
"person",644
"permit",633
"license",598
"time",564
"within",559
"area",475
"required",456
"must",442
"owner",408
"plan",398
"water",393
"passed",387
"section",384
"ord",381
"structure",362
"application",349
"state",346
"following",340
"feet",334
"one",330
"upon",325
"provided",319
"lot",313
"provisions",308
"fire",299
"system",299
"will",298
"business",297
"used",297
"manager",293
"requirements",291
"parking",290
"zoning",276
"district",275
"notice",274
"including",272
"dwelling",271
"street",264
"premises",262
"way",260
"purpose",251
"days",249
"land",249
"service",249
"development",247
"vehicle",239
"applicant",232
"sign",231
"penalty",229
"violation",229
"unit",225
"see",222
"unless",221
"except",220
"areas",216
"general",212
"regulations",211
"issued",207
"materials",207
"facilities",205
"flood",204
"services",200
"located",199
"commission",198
"residential",198
"animal",196
"right-of",195
"uses",195
"provide",194
"site",193
"without",193
"location",191
"safety",191
"signs",191
"fee",189
"department",188
"licensed",185
"control",183
"structures",183
"proposed",182
"standards",182
"order",180
"approved",174
"approval",172
"buildings",171
"construction",171
"minnesota",171
"open",170
"conditions",168
"include",168
"place",168
"sale",168
"compliance",166
"energy",165
"licensee",164
"necessary",164
"ordinance",164
"persons",163
"storage",163
"law",161
"hearing",160
"made",158
"date",157
"existing",155
"least",155
"part",155
"space",155
"amended",154
"design",154
"floor",154
"established",152
"line",150
"allowed",149
"two",149
"commercial",147
"health",147
"nuisance",147
"number",147
"set",145
"work",144
"otherwise",143
"per",143
"review",143
"limited",142
"police",142
"permitted",140
"apply",139
"ft",139
"subject",138
"specified",137
"written",137
"equipment",136
"information",136
"private",136
"authority",135
"said",135
"authorized",134
"adopted",133
"applicable",133
"maintenance",133
"minimum",133
"officer",133
"every",132
"emergency",131
"less",131
"year",130
"districts",127
"special",127
"square",127
"ground",125
"prohibited",125
"sewer",125
"height",123
"systems",123
"thereof",123
"manner",122
"new",121
"designed",120
"establishment",120
"liquor",120
"also",119
"vehicles",119
"waste",119
"event",118
"streets",118
"purposes",117
"pursuant",117
"park",116
"wind",116
"material",115
"adjacent",114
"definitions",114
"permits",114
"facility",113
"period",113
"action",112
"hours",112
"yard",112
"activities",111
"access",110
"collection",110
"rules",109
"sales",109
"accessory",108
"chief",108
"day",108
"defined",107
"designated",107
"prior",107
"storm",105
"three",105
"comply",104
"enforcement",104
"tobacco",104
"additional",101
"make",101
"similar",101
"costs",100
"maintained",100
"official",100
"pud",99
"exterior",98
"inspection",98
"subd",98
"cost",97
"fees",97
"north",97
"portion",97
"surface",97
"accordance",96
"intended",96
"occupant",96
"whether",96
"amount",95
"devices",95
"management",95
"appropriate",94
"can",94
"home",94
"total",94
"determined",93
"paul",92
"reasonable",92
"device",91
"means",91
"natural",91
"activity",90
"local",90
"planning",90
"condition",89
"office",89
"another",88
"cause",88
"family",88
"insurance",88
