"Word","Freq"
"shall",3165
"city",1742
"subd",931
"section",676
"may",639
"public",617
"chapter",533
"within",491
"property",481
"feet",474
"use",472
"building",463
"council",412
"required",407
"america",396
"young",396
"norwood",394
"water",387
"person",386
"lot",365
"permit",355
"following",353
"one",324
"code",320
"amended",316
"street",314
"zoning",310
"must",299
"license",297
"area",285
"ord",278
"plan",272
"provided",254
"uses",253
"development",250
"application",249
"owner",248
"requirements",243
"time",239
"residential",232
"ordinance",231
"district",229
"standards",227
"areas",226
"facilities",223
"permitted",223
"upon",220
"mean",215
"structure",215
"sign",210
"subdivision",208
"site",204
"state",204
"business",198
"provisions",190
"parking",188
"applicant",187
"minnesota",185
"subject",184
"approved",182
"land",181
"including",180
"notice",179
"proposed",179
"service",179
"used",178
"dwelling",176
"fee",175
"approval",171
"days",169
"administrator",168
"conditions",165
"commission",164
"located",164
"fire",163
"park",163
"purpose",161
"structures",161
"construction",159
"unit",159
"will",159
"line",158
"streets",157
"minimum",155
"existing",153
"system",153
"include",152
"regulations",152
"buildings",151
"yard",151
"pud",148
"violation",145
"premises",143
"home",142
"march",141
"animal",139
"except",138
"space",138
"commercial",136
"location",136
"final",135
"date",134
"hearing",133
"vehicle",133
"materials",130
"safety",130
"sewer",129
"allowed",127
"official",125
"least",123
"square",123
"control",122
"without",122
"open",121
"signs",121
"design",120
"general",119
"per",119
"way",119
"two",118
"place",117
"set",116
"exceed",115
"issued",115
"prohibited",115
"provide",115
"established",114
"planning",114
"plat",114
"accessory",113
"lots",112
"made",111
"unless",110
"information",108
"storm",106
"height",105
"mobile",105
"licensed",104
"period",104
"review",104
"work",104
"equipment",102
"side",102
"tobacco",102
"wastewater",102
"compliance",101
"front",101
"industrial",101
"law",100
"manner",100
"necessary",100
"waste",99
"persons",98
"width",98
"size",96
"treatment",95
"health",93
"limited",93
"county",92
"otherwise",92
"private",92
"purposes",92
"action",91
"recreational",91
"day",90
"principal",90
"traffic",90
"written",90
"accordance",89
"administrative",89
"applicable",89
"operation",89
"number",88
"sale",88
"vehicles",87
"hours",86
"year",86
"fees",85
"plans",85
"preliminary",85
"similar",85
"prior",84
"pursuant",84
"storage",84
"access",83
"authority",83
"ground",83
"part",83
"statutes",83
"units",83
"authorized",82
"company",82
"designed",82
"officer",82
"adopted",81
"dog",79
"less",79
"three",79
"designated",78
"inspection",78
"setbacks",78
"adjacent",77
"alarm",76
"also",76
"animals",76
"apply",76
"management",76
"percent",76
"determined",74
"material",74
"means",74
"right-of",74
"waters",74
"conditional",73
"facility",73
"family",73
"local",73
"natural",73
"temporary",73
"dangerous",72
"density",72
"condition",71
"constructed",71
"cost",71
"parks",71
"permits",71
"collection",70
"ten",70
"amount",69
"districts",69
"establishment",69
"level",69
"licensee",69
"rear",69
"rental",69
"event",68
"five",68
"high",67
"order",67
"reasonable",67
"systems",67
"type",67
"lines",66
"board",65
"defined",65
"drainage",65
"liquor",65
"paid",65
"portion",65
"request",65
"setback",65
"surface",65
"enforcement",64
"every",64
"maintenance",64
"new",64
"prevent",64
"conduct",63
"department",63
"engineer",63
"improvements",63
"intended",63
"meet",63
"services",63
"cause",62
"community",61
"conform",61
"maximum",61
"penalty",61
"planned",61
"specified",61
"thereof",61
"appropriate",60
"first",60
"placed",60
"require",60
"single",60
"terms",60
"addition",59
"address",59
"forth",59
"light",59
"trees",59
"comply",58
"connection",58
"permanent",58
"additional",57
"charges",57
"given",57
"inspector",57
"meeting",57
"outdoor",57
"tree",57
"homes",56
"nuisance",56
"unlawful",56
"utility",56
"activities",55
"charge",55
"costs",55
"excavation",55
"issuance",55
"responsible",55
"years",55
"licensing",54
"schedule",54
"considered",53
"floor",53
"granted",53
"properties",53
"right",53
"sidewalks",53
"appeals",52
"coverage",52
"form",52
"hereby",52
"impact",52
"intent",52
"parcel",52
"r-",52
"related",52
"repair",52
"sewage",52
"spaces",52
"variance",52
"whether",52
"another",51
"exterior",51
"housing",51
"maintained",51
"owners",51
"project",51
"road",51
"sidewalk",51
"writing",51
"display",50
