"Word","Freq"
"		",256
"								",243
"landscaping",229
"manual",184
"tree",170
"broadleaf",145
"deciduous",137
"			",135
"plant",130
"yes",129
"trees",128
"plants",124
"required",97
"must",96
"fsun",94
"feet",90
"ptshd",71
"drought",70
"parking",68
"shrubs",67
"tolerant",66
"standard",61
"native",60
"landscp",59
"lu",59
"may",57
"sun",56
"shade",55
"cover",51
"ground",51
"can",50
"area",49
"lists",49
"per",46
"protection",45
"planting",42
"best",41
"development",41
"spacing",41
"water",41
"evergreen",40
"height",40
"one",40
"e		",39
"lot",39
"summer",38
"standards",36
"information",35
"species",35
"zoning",35
"interior",34
"portland",34
"soil",34
"large",33
"use",33
"high",32
"name",32
"p1",32
"zone",32
"						",31
"code",31
"list",31
"small",31
"tolerates",30
"							",29
"l3",29
"medium",29
"perimeter",29
"suggested",29
"common",28
"l2",28
"planted",27
"requires",27
"site",27
"size",27
"conifer",26
"ft",26
"landscaped",26
"linear",25
"materials",25
"quercus",25
"requirements",25
"conditions",24
"d		",24
"good",24
"pdx",24
"plan",24
"spread",24
"will",24
"also",23
"growth",23
"stormwater",23
"time",23
"wall",23
"adjacent",22
"e			",22
"number",22
"botanical",21
"color",21
"management",21
"rate",21
"screen",21
"blossoms",20
"city",20
"cvs",20
"irrigation",20
"least",20
"needs",20
"oak								",20
"pl",20
"red",20
"remarks",20
"within",20
"acer",19
"prefers",19
"years",19
"areas",18
"canopy",18
"fall",18
"flowers",18
"fragrant",18
"l1",18
"landscape",18
"stalls",18
"oak",17
"prohibited",17
"services",17
"sq",17
"white",17
"apply",16
"control",16
"erosion",16
"hardy",16
"maintenance",16
"street",16
"used",16
"wet",16
"width",16
"full",15
"heat",15
"include",15
"meet",15
"root",15
"setback",15
"soils",15
"tall",15
"western",15
"winter",15
"grows",14
"low",14
"number		",14
"bureau",13
"groundcover",13
"japanese",13
"property",13
"screening",13
"shrub",13
"sources",13
"spiraea",13
"spring",13
"using",13
"adaptable",12
"construction",12
"d			",12
"factor		",12
"growing",12
"line",12
"need",12
"planter			",12
"preservation",12
"proposed",12
"provided",12
"require",12
"table",12
"viburnum",12
"zones",12
"attractive",11
"california",11
"commercial",11
"fruit",11
"http",11
"including",11
"l2-l3",11
"list		",11
"listed",11
"minimum",11
"stall",11
"three",11
"title",11
"www",11
"bds",10
"characteristics",10
"cultivar",10
"cultivars",10
"death",10
"deep",10
"dry",10
"environmental",10
"form",10
"fraxinus",10
"grasses",10
"host",10
"inches",10
"l4",10
"l4-l5",10
"lots",10
"maple								",10
"min",10
"moist",10
"nuisance",10
"oregon",10
"pdx		",10
"section",10
"shall",10
"sudden",10
"tolerate",10
"type",10
"varieties",10
"wide",10
"available",9
"blue",9
"branches",9
"building",9
"diameter",9
"existing",9
"factor",9
"fully",9
"magnolia",9
"mature",9
"methods",9
"plans",9
"provide",9
"residential",9
"selection",9
"valley",9
"cent",8
"center",8
"cut",8
"drop",8
"established",8
"fast",8
"found",8
"fshd",8
"garden",8
"green",8
"layout",8
"many",8
"maple",8
"measures",8
"name			",8
"or			",8
"permit",8
"prunus",8
"show",8
"space",8
"spaces",8
"square",8
"sweet",8
"tree								",8
"well",8
"addition",7
"american",7
"arborist",7
"berberis",7
"berm",7
"calculate",7
"calculations",7
"coast",7
"columnar",7
"european",7
"except",7
"following",7
"grow",7
"impacts",7
"inch",7
"l5",7
"less",7
"lineal",7
"lines",7
"location",7
"part",7
"perimeters",7
"resistant",7
"see",7
"seed",7
"select",7
"sheets",7
"state",7
"uses",7
"var",7
"watering",7
"yellow",7
"young",7
"abutting",6
"alternative",6
"appropriate",6
"approved",6
"ash",6
"ash								",6
"become",6
"black",6
"book",6
"branched",6
"crown",6
"different",6
"edu",6
"ensure",6
"etc",6
"fastigiata",6
"fence",6
"find",6
"first",6
"flowering",6
"forester",6
"general",6
"help",6
"identifies",6
"includes",6
"installation",6
"intent",6
"leaf",6
"length",6
"mahonia",6
"maintained",6
"masonry",6
"moisture",6
"mulch",6
"needed",6
"note",6
"nursery",6
"pavement",6
"plantings",6
"plants				",6
"project",6
"providing",6
"published",6
"rules",6
"slow",6
"smaller",6
"spreading",6
"sufficient",6
"sunset",6
"total",6
"triangular",6
"two",6
"vegetation",6
"viburnum						",6
"				",5
"		if",5
"activity",5
"additional",5
"bush",5
"cedar								",5
"changes",5
"cherry								",5
"come",5
"contact",5
"cornus",5
"count",5
"density",5
"deutzia",5
"develop",5
"disease",5
"diversity",5
"drainage",5
"example",5
"family",5
"feet			",5
"fill",5
"flower",5
"foot",5
"four",5
"gov",5
"hydrangea",5
"ilex",5
"inspection",5
"intended",5
"internet",5
"know",5
"messy",5
"met",5
"new",5
"nigra",5
"nurseries",5
"older",5
"performance",5
"pot",5
"produce",5
"produces",5
"ptsun",5
"r-zoned",5
"sempervirens",5
"sizes",5
"suitable",5
"taller",5
"tends",5
"trees								",5
"trunk",5
"types",5
"university",5
"urban",5
"variety",5
"visual",5
"want",5
"whether",5
"worksheet",5
"wv",5
"-foot",4
"alnifolia",4
"along",4
"amount",4
"ample",4
"applicant",4
"arctostaphyllos",4
"back",4
"bamboo",4
"based",4
"birds",4
"bradford",4
"californica",4
"carpinus",4
"ceanothus",4
"chinese",4
"column",4
"conifers",4
"coverage",4
"covers",4
"daphne",4
"database",4
"described",4
"description",4
"distances",4
"documentation",4
"documented",4
"drops",4
"dwarf",4
"encroachment",4
"entire",4
"every",4
"explanation",4
"front",4
"gallon",4
"get",4
"ginkgo",4
"grass",4
"hardiness",4
"healthy",4
"hedge",4
"included",4
"inspections",4
"japonica",4
"late",4
"leaves",4
"lilac",4
"little",4
"looks",4
"maximum",4
"method",4
"mixture",4
"mod",4
"much",4
"noise",4
"numbers",4
"nw",4
"observed",4
"pacific",4
"partial",4
"percent",4
"pink",4
"pinus",4
"place",4
"planter",4
"plants		",4
"portlandoregon",4
"potential",4
"projects",4
"protected",4
"range",4
"responsibility",4
"room",4
"roots",4
"rounded",4
"rubrum",4
"selected",4
"semi",4
"showing",4
"side",4
"sites",4
"sod",4
"somewhat",4
"sp",4
"specific",4
"ssp",4
"still",4
"storage",4
"surface",4
"sylvatica",4
"system",4
"tilia",4
